,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,96670.0,89600.0,335.0,896.0,107.890625,14.620535714285715,131.0
1,1.0,5.0,102.0,0.9,77700.0,75700.0,335.0,757.0,102.64200792602378,14.663143989431967,111.0
2,1.0,5.0,102.0,0.92,68450.0,67500.0,335.0,675.0,101.40740740740742,14.814814814814813,100.0
3,1.0,5.0,104.0,0.85,89490.0,86600.0,335.0,866.0,103.33718244803696,13.74133949191686,119.0
4,1.0,5.0,104.0,0.9,66670.0,69400.0,335.0,694.0,96.06628242074929,12.968299711815561,90.0
5,1.0,5.0,104.0,0.92,60130.0,62300.0,335.0,623.0,96.51685393258427,13.001605136436597,81.0
6,1.0,5.0,106.0,0.85,96310.0,92200.0,335.0,922.0,104.45770065075921,13.34056399132321,123.0
7,1.0,5.0,106.0,0.9,79690.0,77800.0,335.0,778.0,102.4293059125964,13.624678663239074,106.0
8,1.0,5.0,106.0,0.92,74650.0,70500.0,335.0,705.0,105.88652482269502,14.184397163120568,100.0
9,1.0,5.0,108.0,0.85,90220.0,89800.0,335.0,898.0,100.46770601336303,12.583518930957686,113.0
10,1.0,5.0,108.0,0.9,71420.0,72000.0,335.0,720.0,99.19444444444444,13.333333333333334,96.0
11,1.0,5.0,108.0,0.92,67410.0,66100.0,335.0,661.0,101.98184568835099,13.767019667170954,91.0
12,1.0,5.0,110.0,0.85,93740.0,88800.0,335.0,888.0,105.56306306306307,14.18918918918919,126.0
13,1.0,5.0,110.0,0.9,77930.0,72400.0,335.0,724.0,107.63812154696133,14.3646408839779,104.0
14,1.0,5.0,110.0,0.92,68450.0,64400.0,335.0,644.0,106.28881987577641,14.285714285714285,92.0
15,1.0,5.0,112.0,0.85,84610.0,84100.0,335.0,841.0,100.6064209274673,13.198573127229487,111.0
16,1.0,5.0,112.0,0.9,72520.0,68200.0,335.0,682.0,106.33431085043988,14.076246334310852,96.0
17,1.0,5.0,112.0,0.92,65490.0,60100.0,335.0,601.0,108.9683860232945,14.64226289517471,88.0
18,1.0,5.0,114.0,0.85,78560.0,78600.0,335.0,786.0,99.94910941475827,13.867684478371501,109.0
19,1.0,5.0,114.0,0.9,70690.0,63200.0,335.0,632.0,111.85126582278482,15.348101265822786,97.0
20,1.0,5.0,114.0,0.92,64830.0,55200.0,335.0,552.0,117.44565217391305,15.942028985507244,88.0
21,1.0,5.0,116.0,0.85,101970.0,92300.0,335.0,923.0,110.47670639219935,13.976164680390033,129.0
22,1.0,5.0,116.0,0.9,91290.0,77300.0,335.0,773.0,118.09831824062096,14.359637774902975,111.0
23,1.0,5.0,116.0,0.92,85410.0,68600.0,335.0,686.0,124.50437317784258,15.014577259475217,103.0
24,1.0,5.0,118.0,0.85,81300.0,80100.0,335.0,801.0,101.49812734082397,13.857677902621724,111.0
25,1.0,5.0,118.0,0.9,61260.0,64100.0,335.0,641.0,95.56942277691107,13.884555382215288,89.0
26,1.0,5.0,118.0,0.92,56700.0,58700.0,335.0,587.0,96.59284497444634,13.969335604770016,82.0
27,1.0,5.0,120.0,0.85,86210.0,77000.0,335.0,770.0,111.96103896103895,14.805194805194805,114.0
28,1.0,5.0,120.0,0.9,67040.0,61800.0,335.0,618.0,108.47896440129449,14.724919093851133,91.0
29,1.0,5.0,120.0,0.92,58520.0,53800.0,335.0,538.0,108.7732342007435,14.869888475836431,80.0
30,1.0,5.0,122.0,0.85,75000.0,79100.0,335.0,791.0,94.81668773704172,13.400758533501897,106.0
31,1.0,5.0,122.0,0.9,65130.0,64900.0,335.0,649.0,100.35439137134053,14.48382126348228,94.0
32,1.0,5.0,122.0,0.92,56960.0,56200.0,335.0,562.0,101.3523131672598,14.590747330960854,82.0
33,1.0,5.0,124.0,0.85,80710.0,72100.0,335.0,721.0,111.94174757281554,14.840499306518723,107.0
34,1.0,5.0,124.0,0.9,65150.0,58500.0,335.0,585.0,111.36752136752138,14.529914529914532,85.0
35,1.0,5.0,124.0,0.92,57510.0,51600.0,335.0,516.0,111.453488372093,14.922480620155037,77.0
36,1.0,5.0,126.0,0.85,75050.0,74500.0,335.0,745.0,100.73825503355704,13.95973154362416,104.0
37,1.0,5.0,126.0,0.9,58760.0,59500.0,335.0,595.0,98.7563025210084,13.949579831932773,83.0
38,1.0,5.0,126.0,0.92,52860.0,51800.0,335.0,518.0,102.04633204633204,14.285714285714285,74.0
39,1.0,5.0,128.0,0.85,68690.0,68600.0,335.0,686.0,100.13119533527697,14.139941690962099,97.0
40,1.0,5.0,128.0,0.9,54170.0,55100.0,335.0,551.0,98.31215970961887,14.882032667876588,82.0
41,1.0,5.0,128.0,0.92,48150.0,48100.0,335.0,481.0,100.1039501039501,15.384615384615385,74.0
42,1.0,5.0,130.0,0.85,64080.0,64300.0,335.0,643.0,99.65785381026438,14.774494556765164,95.0
