,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,148.0,0.92,33670.0,20200.0,67887.0,202.0,166.68316831683168,14.356435643564355,29.0
1,3.0,8.0,242.0,0.9,6250.0,9700.0,67887.0,97.0,64.43298969072166,5.154639175257731,5.0
2,4.0,5.0,132.0,0.85,45890.0,41000.0,67887.0,410.0,111.92682926829269,9.268292682926829,38.0
3,5.0,5.0,190.0,0.92,22260.0,11300.0,67887.0,113.0,196.99115044247787,13.274336283185843,15.0
4,8.0,8.0,186.0,0.92,25160.0,21000.0,67887.0,210.0,119.80952380952381,9.523809523809524,20.0
5,12.0,8.0,252.0,0.9,14260.0,12000.0,67887.0,120.0,118.83333333333333,7.5,9.0
6,13.0,8.0,252.0,0.92,14500.0,13900.0,67887.0,139.0,104.31654676258992,5.0359712230215825,7.0
7,17.0,5.0,128.0,0.9,18810.0,19000.0,67887.0,190.0,99.0,9.473684210526317,18.0
8,21.0,5.0,156.0,0.9,23260.0,21400.0,67887.0,214.0,108.69158878504672,9.813084112149532,21.0
9,22.0,8.0,244.0,0.85,19930.0,17900.0,67887.0,179.0,111.34078212290504,8.938547486033519,16.0
10,26.0,8.0,236.0,0.9,2580.0,7500.0,67887.0,75.0,34.4,2.666666666666667,2.0
