,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,148.0,0.92,68360.0,43100.0,310.0,431.0,158.60788863109047,16.241299303944317,70.0
1,3.0,8.0,242.0,0.9,31520.0,23800.0,156.0,238.0,132.43697478991595,10.92436974789916,26.0
2,4.0,5.0,132.0,0.85,105690.0,83000.0,114.0,830.0,127.33734939759036,5.542168674698795,46.0
3,5.0,5.0,190.0,0.92,35290.0,26100.0,182.0,261.0,135.21072796934865,12.643678160919542,33.0
4,8.0,8.0,186.0,0.92,55240.0,37800.0,90.0,378.0,146.13756613756615,5.026455026455026,19.0
5,12.0,8.0,252.0,0.9,23170.0,18500.0,67.0,185.0,125.24324324324326,6.486486486486487,12.0
6,13.0,8.0,252.0,0.92,50670.0,23700.0,105.0,237.0,213.79746835443035,12.658227848101266,30.0
7,17.0,5.0,128.0,0.9,52330.0,36200.0,63.0,362.0,144.55801104972377,5.524861878453039,20.0
8,21.0,5.0,156.0,0.9,58770.0,48200.0,93.0,482.0,121.92946058091287,6.224066390041494,30.0
9,22.0,8.0,244.0,0.85,37610.0,29100.0,71.0,291.0,129.24398625429555,6.185567010309279,18.0
10,26.0,8.0,236.0,0.9,34750.0,15100.0,45.0,151.0,230.13245033112582,7.9470198675496695,12.0
