,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,148.0,0.92,57820.0,41500.0,310.0,415.0,139.32530120481928,14.216867469879519,59.0
1,3.0,8.0,242.0,0.9,25550.0,20200.0,156.0,202.0,126.48514851485149,11.881188118811881,24.0
2,4.0,5.0,132.0,0.85,96290.0,85500.0,114.0,855.0,112.61988304093566,5.146198830409357,44.0
3,5.0,5.0,190.0,0.92,32460.0,23700.0,182.0,237.0,136.96202531645568,12.236286919831224,29.0
4,8.0,8.0,186.0,0.92,50370.0,41400.0,90.0,414.0,121.66666666666666,4.5893719806763285,19.0
5,12.0,8.0,252.0,0.9,21160.0,21300.0,67.0,213.0,99.34272300469483,4.694835680751173,10.0
6,13.0,8.0,252.0,0.92,51430.0,28800.0,105.0,288.0,178.57638888888889,9.722222222222223,28.0
7,17.0,5.0,128.0,0.9,37200.0,37000.0,63.0,370.0,100.54054054054053,4.864864864864865,18.0
8,21.0,5.0,156.0,0.9,52410.0,45700.0,93.0,457.0,114.68271334792122,5.25164113785558,24.0
9,22.0,8.0,244.0,0.85,33670.0,34300.0,71.0,343.0,98.16326530612245,4.081632653061225,14.0
10,26.0,8.0,236.0,0.9,25440.0,16000.0,45.0,160.0,159.0,6.25,10.0
