,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
21,1.0,5.0,116.0,0.85,112500.0,94900.0,310.0,949.0,118.54583772391992,11.801896733403582,112.0,7.0
33,1.0,5.0,124.0,0.85,114900.0,87200.0,310.0,872.0,131.76605504587155,12.958715596330276,113.0,11.0
42,1.0,5.0,130.0,0.85,88850.0,73600.0,310.0,736.0,120.72010869565216,12.5,92.0,14.0
51,1.0,5.0,136.0,0.85,95780.0,82000.0,310.0,820.0,116.80487804878048,11.219512195121952,92.0,17.0
54,1.0,5.0,138.0,0.85,93810.0,81000.0,310.0,810.0,115.8148148148148,12.34567901234568,100.0,18.0
60,1.0,5.0,142.0,0.85,90240.0,73500.0,310.0,735.0,122.77551020408164,12.108843537414966,89.0,20.0
69,1.0,5.0,148.0,0.85,77660.0,66000.0,310.0,660.0,117.66666666666669,12.12121212121212,80.0,23.0
78,1.0,5.0,154.0,0.85,82560.0,64300.0,310.0,643.0,128.398133748056,13.841368584758944,89.0,26.0
81,1.0,5.0,156.0,0.85,74420.0,62600.0,310.0,626.0,118.8817891373802,12.300319488817893,77.0,27.0
84,1.0,5.0,158.0,0.85,65310.0,56400.0,310.0,564.0,115.79787234042551,11.879432624113475,67.0,28.0
87,1.0,5.0,160.0,0.85,78650.0,58100.0,310.0,581.0,135.37005163511188,13.59724612736661,79.0,29.0
90,1.0,5.0,162.0,0.85,69750.0,59500.0,310.0,595.0,117.22689075630252,12.100840336134452,72.0,30.0
93,1.0,5.0,164.0,0.85,63200.0,50300.0,310.0,503.0,125.64612326043738,13.518886679920476,68.0,31.0
96,1.0,5.0,166.0,0.85,54120.0,46100.0,310.0,461.0,117.39696312364426,13.882863340563992,64.0,32.0
99,1.0,5.0,168.0,0.85,71210.0,57000.0,310.0,570.0,124.9298245614035,13.859649122807015,79.0,33.0
102,1.0,5.0,170.0,0.85,68290.0,57200.0,310.0,572.0,119.3881118881119,13.286713286713288,76.0,34.0
105,1.0,5.0,172.0,0.85,63310.0,54100.0,310.0,541.0,117.02402957486136,13.67837338262477,74.0,35.0
108,1.0,5.0,174.0,0.85,67450.0,55200.0,310.0,552.0,122.19202898550724,13.405797101449275,74.0,36.0
114,1.0,5.0,178.0,0.85,70060.0,52700.0,310.0,527.0,132.94117647058823,13.851992409867172,73.0,38.0
117,1.0,5.0,180.0,0.85,57720.0,47100.0,310.0,471.0,122.54777070063692,13.588110403397028,64.0,39.0
123,1.0,5.0,184.0,0.85,52550.0,44600.0,310.0,446.0,117.82511210762333,14.125560538116591,63.0,41.0
141,1.0,5.0,196.0,0.85,49680.0,42000.0,310.0,420.0,118.28571428571428,14.523809523809526,61.0,47.0
150,1.0,5.0,202.0,0.85,53290.0,44200.0,310.0,442.0,120.5656108597285,13.800904977375566,61.0,50.0
156,1.0,5.0,206.0,0.85,52190.0,41200.0,310.0,412.0,126.6747572815534,15.291262135922327,63.0,52.0
165,1.0,5.0,212.0,0.85,52220.0,40200.0,310.0,402.0,129.90049751243782,14.676616915422883,59.0,55.0
171,1.0,5.0,216.0,0.85,50360.0,38600.0,310.0,386.0,130.4663212435233,14.248704663212436,55.0,57.0
186,1.0,5.0,226.0,0.85,45070.0,38900.0,310.0,389.0,115.86118251928022,15.424164524421592,60.0,62.0
195,1.0,5.0,232.0,0.85,42790.0,35200.0,310.0,352.0,121.5625,15.340909090909092,54.0,65.0
198,1.0,5.0,234.0,0.85,37280.0,31900.0,310.0,319.0,116.86520376175548,15.047021943573668,48.0,66.0
10,1.0,5.0,108.0,0.9,97610.0,80400.0,310.0,804.0,121.40547263681592,13.059701492537313,105.0,3.0
40,1.0,5.0,128.0,0.9,84290.0,72800.0,310.0,728.0,115.78296703296704,12.225274725274724,89.0,13.0
43,1.0,5.0,130.0,0.9,69380.0,59600.0,310.0,596.0,116.40939597315436,13.087248322147651,78.0,14.0
46,1.0,5.0,132.0,0.9,86670.0,69400.0,310.0,694.0,124.88472622478386,12.247838616714697,85.0,15.0
49,1.0,5.0,134.0,0.9,83410.0,67300.0,310.0,673.0,123.93759286775632,12.927191679049036,87.0,16.0
52,1.0,5.0,136.0,0.9,83480.0,66200.0,310.0,662.0,126.10271903323265,11.48036253776435,76.0,17.0
61,1.0,5.0,142.0,0.9,80820.0,59500.0,310.0,595.0,135.83193277310926,13.109243697478991,78.0,20.0
64,1.0,5.0,144.0,0.9,67610.0,55800.0,310.0,558.0,121.16487455197134,13.620071684587815,76.0,21.0
70,1.0,5.0,148.0,0.9,66680.0,53500.0,310.0,535.0,124.6355140186916,12.897196261682245,69.0,23.0
76,1.0,5.0,152.0,0.9,66660.0,56000.0,310.0,560.0,119.03571428571428,13.214285714285715,74.0,25.0
79,1.0,5.0,154.0,0.9,67410.0,52300.0,310.0,523.0,128.89101338432124,13.5755258126195,71.0,26.0
88,1.0,5.0,160.0,0.9,57360.0,45500.0,310.0,455.0,126.06593406593409,13.626373626373626,62.0,29.0
91,1.0,5.0,162.0,0.9,61080.0,48400.0,310.0,484.0,126.19834710743802,12.603305785123966,61.0,30.0
94,1.0,5.0,164.0,0.9,54730.0,38900.0,310.0,389.0,140.69408740359896,14.652956298200516,57.0,31.0
100,1.0,5.0,168.0,0.9,53510.0,44600.0,310.0,446.0,119.97757847533632,14.349775784753364,64.0,33.0
109,1.0,5.0,174.0,0.9,55280.0,43800.0,310.0,438.0,126.21004566210046,13.24200913242009,58.0,36.0
