,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,139630.0,134300.0,310.0,1343.0,103.96872673119881,9.82874162323157,132.0
1,1.0,5.0,102.0,0.9,123270.0,122600.0,310.0,1226.0,100.54649265905384,9.706362153344209,119.0
2,1.0,5.0,102.0,0.92,122370.0,116500.0,310.0,1165.0,105.03862660944205,10.128755364806867,118.0
3,1.0,5.0,104.0,0.85,146740.0,133700.0,310.0,1337.0,109.75317875841438,10.471204188481675,140.0
4,1.0,5.0,104.0,0.9,138030.0,123500.0,310.0,1235.0,111.76518218623481,10.607287449392713,131.0
5,1.0,5.0,104.0,0.92,134610.0,118500.0,310.0,1185.0,113.59493670886076,10.80168776371308,128.0
6,1.0,5.0,106.0,0.85,142940.0,129600.0,310.0,1296.0,110.2932098765432,10.570987654320987,137.0
7,1.0,5.0,106.0,0.9,128590.0,116200.0,310.0,1162.0,110.66265060240963,10.585197934595525,123.0
8,1.0,5.0,106.0,0.92,123260.0,110000.0,310.0,1100.0,112.05454545454545,10.636363636363637,117.0
9,1.0,5.0,108.0,0.85,140430.0,133700.0,310.0,1337.0,105.03365744203441,9.947643979057592,133.0
10,1.0,5.0,108.0,0.9,130200.0,121500.0,310.0,1215.0,107.16049382716048,9.958847736625515,121.0
11,1.0,5.0,108.0,0.92,125060.0,115000.0,310.0,1150.0,108.74782608695652,10.08695652173913,116.0
12,1.0,5.0,110.0,0.85,138070.0,125500.0,310.0,1255.0,110.01593625498008,11.39442231075697,143.0
13,1.0,5.0,110.0,0.9,118410.0,114000.0,310.0,1140.0,103.86842105263159,11.140350877192983,127.0
14,1.0,5.0,110.0,0.92,113520.0,109000.0,310.0,1090.0,104.14678899082568,11.100917431192661,121.0
15,1.0,5.0,112.0,0.85,148570.0,133800.0,310.0,1338.0,111.03886397608372,9.865470852017937,132.0
16,1.0,5.0,112.0,0.9,132420.0,121000.0,310.0,1210.0,109.43801652892562,10.0,121.0
17,1.0,5.0,112.0,0.92,123220.0,113200.0,310.0,1132.0,108.85159010600707,10.070671378091872,114.0
18,1.0,5.0,114.0,0.85,119420.0,128200.0,310.0,1282.0,93.15132605304213,10.14040561622465,130.0
19,1.0,5.0,114.0,0.9,107160.0,117100.0,310.0,1171.0,91.51152860802732,9.90606319385141,116.0
20,1.0,5.0,114.0,0.92,104870.0,111300.0,310.0,1113.0,94.22282120395327,10.062893081761008,112.0
21,1.0,5.0,116.0,0.85,125280.0,136700.0,310.0,1367.0,91.64594001463058,9.656181419166057,132.0
22,1.0,5.0,116.0,0.9,109600.0,125100.0,310.0,1251.0,87.60991207034373,9.832134292565947,123.0
23,1.0,5.0,116.0,0.92,105200.0,118100.0,310.0,1181.0,89.07705334462321,10.076206604572397,119.0
24,1.0,5.0,118.0,0.85,118480.0,119100.0,310.0,1191.0,99.47942905121747,9.82367758186398,117.0
25,1.0,5.0,118.0,0.9,103290.0,108600.0,310.0,1086.0,95.11049723756906,9.392265193370166,102.0
26,1.0,5.0,118.0,0.92,97030.0,103000.0,310.0,1030.0,94.20388349514563,9.514563106796116,98.0
27,1.0,5.0,120.0,0.85,122510.0,119300.0,310.0,1193.0,102.69069572506287,11.064543168482817,132.0
28,1.0,5.0,120.0,0.9,113120.0,111000.0,310.0,1110.0,101.90990990990991,11.26126126126126,125.0
29,1.0,5.0,120.0,0.92,110320.0,105200.0,310.0,1052.0,104.86692015209125,11.787072243346007,124.0
30,1.0,5.0,122.0,0.85,113380.0,119100.0,310.0,1191.0,95.19731318219982,10.15952980688497,121.0
31,1.0,5.0,122.0,0.9,102000.0,108100.0,310.0,1081.0,94.35707678075855,10.26827012025902,111.0
32,1.0,5.0,122.0,0.92,100670.0,102000.0,310.0,1020.0,98.69607843137254,10.686274509803921,109.0
33,1.0,5.0,124.0,0.85,147510.0,127000.0,310.0,1270.0,116.1496062992126,11.41732283464567,145.0
34,1.0,5.0,124.0,0.9,135190.0,115700.0,310.0,1157.0,116.84528954191875,11.495246326707,133.0
35,1.0,5.0,124.0,0.92,129060.0,109700.0,310.0,1097.0,117.64813126709205,11.394712853236099,125.0
36,1.0,5.0,126.0,0.85,123530.0,119700.0,310.0,1197.0,103.19966583124479,10.35923141186299,124.0
37,1.0,5.0,126.0,0.9,106120.0,106200.0,310.0,1062.0,99.92467043314501,10.263653483992467,109.0
38,1.0,5.0,126.0,0.92,101900.0,101500.0,310.0,1015.0,100.39408866995075,10.44334975369458,106.0
39,1.0,5.0,128.0,0.85,140160.0,111400.0,310.0,1114.0,125.81687612208259,11.8491921005386,132.0
40,1.0,5.0,128.0,0.9,130260.0,100300.0,310.0,1003.0,129.8703888334995,12.063808574277168,121.0
41,1.0,5.0,128.0,0.92,118790.0,93500.0,310.0,935.0,127.04812834224599,12.406417112299465,116.0
42,1.0,5.0,130.0,0.85,108380.0,111400.0,310.0,1114.0,97.28904847396768,10.59245960502693,118.0
43,1.0,5.0,130.0,0.9,98290.0,99500.0,310.0,995.0,98.78391959798995,10.753768844221105,107.0
44,1.0,5.0,130.0,0.92,94290.0,94400.0,310.0,944.0,99.8834745762712,10.805084745762713,102.0
45,1.0,5.0,132.0,0.85,122210.0,129100.0,310.0,1291.0,94.66305189775368,9.759876065065841,126.0
46,1.0,5.0,132.0,0.9,112640.0,117300.0,310.0,1173.0,96.02728047740835,10.059676044330775,118.0
47,1.0,5.0,132.0,0.92,104290.0,109300.0,310.0,1093.0,95.41628545288198,9.972552607502287,109.0
48,1.0,5.0,134.0,0.85,116920.0,109400.0,310.0,1094.0,106.87385740402193,10.968921389396709,120.0
49,1.0,5.0,134.0,0.9,103020.0,98600.0,310.0,986.0,104.48275862068965,11.257606490872211,111.0
50,1.0,5.0,134.0,0.92,93870.0,92400.0,310.0,924.0,101.5909090909091,11.03896103896104,102.0
51,1.0,5.0,136.0,0.85,119300.0,108400.0,310.0,1084.0,110.05535055350552,10.14760147601476,110.0
52,1.0,5.0,136.0,0.9,110000.0,97300.0,310.0,973.0,113.05241521068858,10.38026721479959,101.0
53,1.0,5.0,136.0,0.92,102430.0,91800.0,310.0,918.0,111.57952069716777,10.021786492374728,92.0
54,1.0,5.0,138.0,0.85,124070.0,120800.0,310.0,1208.0,102.70695364238411,10.016556291390728,121.0
55,1.0,5.0,138.0,0.9,120290.0,110600.0,310.0,1106.0,108.76130198915008,10.488245931283906,116.0
56,1.0,5.0,138.0,0.92,112800.0,104100.0,310.0,1041.0,108.35734870317002,10.566762728146013,110.0
57,1.0,5.0,140.0,0.85,100800.0,100900.0,310.0,1009.0,99.90089197224975,10.901883052527255,110.0
58,1.0,5.0,140.0,0.9,87860.0,92200.0,310.0,922.0,95.29284164859003,11.3882863340564,105.0
59,1.0,5.0,140.0,0.92,84870.0,87200.0,310.0,872.0,97.32798165137615,11.582568807339449,101.0
60,1.0,5.0,142.0,0.85,124690.0,111000.0,310.0,1110.0,112.33333333333333,11.081081081081082,123.0
61,1.0,5.0,142.0,0.9,110030.0,101400.0,310.0,1014.0,108.51084812623274,11.439842209072978,116.0
62,1.0,5.0,142.0,0.92,102170.0,94700.0,310.0,947.0,107.88806758183738,11.510031678986273,109.0
63,1.0,5.0,144.0,0.85,114100.0,108800.0,310.0,1088.0,104.87132352941177,10.11029411764706,110.0
64,1.0,5.0,144.0,0.9,107230.0,98800.0,310.0,988.0,108.53238866396762,10.526315789473683,104.0
65,1.0,5.0,144.0,0.92,103580.0,92600.0,310.0,926.0,111.8574514038877,10.691144708423327,99.0
66,1.0,5.0,146.0,0.85,111830.0,101500.0,310.0,1015.0,110.17733990147782,11.527093596059114,117.0
67,1.0,5.0,146.0,0.9,94360.0,90400.0,310.0,904.0,104.38053097345133,11.172566371681416,101.0
68,1.0,5.0,146.0,0.92,89560.0,84100.0,310.0,841.0,106.4922711058264,11.17717003567182,94.0
69,1.0,5.0,148.0,0.85,107440.0,108900.0,310.0,1089.0,98.6593204775023,10.376492194674013,113.0
70,1.0,5.0,148.0,0.9,98590.0,97200.0,310.0,972.0,101.43004115226337,10.699588477366255,104.0
71,1.0,5.0,148.0,0.92,93650.0,90600.0,310.0,906.0,103.36644591611478,10.927152317880795,99.0
72,1.0,5.0,150.0,0.85,102910.0,95000.0,310.0,950.0,108.3263157894737,10.631578947368421,101.0
73,1.0,5.0,150.0,0.9,86720.0,84500.0,310.0,845.0,102.62721893491124,10.88757396449704,92.0
74,1.0,5.0,150.0,0.92,84100.0,79100.0,310.0,791.0,106.32111251580278,11.125158027812896,88.0
75,1.0,5.0,152.0,0.85,109800.0,99300.0,310.0,993.0,110.5740181268882,10.372608257804632,103.0
76,1.0,5.0,152.0,0.9,102130.0,89000.0,310.0,890.0,114.75280898876406,10.674157303370785,95.0
77,1.0,5.0,152.0,0.92,96800.0,84600.0,310.0,846.0,114.42080378250591,10.638297872340425,90.0
78,1.0,5.0,154.0,0.85,114570.0,93300.0,310.0,933.0,122.79742765273312,10.82529474812433,101.0
79,1.0,5.0,154.0,0.9,100840.0,83600.0,310.0,836.0,120.62200956937798,11.004784688995215,92.0
80,1.0,5.0,154.0,0.92,97480.0,79700.0,310.0,797.0,122.30865746549561,11.292346298619824,90.0
81,1.0,5.0,156.0,0.85,109640.0,99500.0,310.0,995.0,110.19095477386935,11.155778894472363,111.0
82,1.0,5.0,156.0,0.9,91530.0,88900.0,310.0,889.0,102.9583802024747,11.136107986501688,99.0
83,1.0,5.0,156.0,0.92,86820.0,84200.0,310.0,842.0,103.11163895486936,11.163895486935866,94.0
84,1.0,5.0,158.0,0.85,100160.0,87200.0,310.0,872.0,114.86238532110092,11.46788990825688,100.0
85,1.0,5.0,158.0,0.9,81320.0,76400.0,310.0,764.0,106.43979057591623,11.518324607329843,88.0
86,1.0,5.0,158.0,0.92,71760.0,70700.0,310.0,707.0,101.49929278642149,11.032531824611032,78.0
87,1.0,5.0,160.0,0.85,89050.0,83500.0,310.0,835.0,106.64670658682635,10.538922155688622,88.0
88,1.0,5.0,160.0,0.9,80120.0,73000.0,310.0,730.0,109.75342465753424,10.95890410958904,80.0
89,1.0,5.0,160.0,0.92,77370.0,68300.0,310.0,683.0,113.2796486090776,11.273792093704246,77.0
90,1.0,5.0,162.0,0.85,111550.0,95800.0,310.0,958.0,116.44050104384134,12.10855949895616,116.0
91,1.0,5.0,162.0,0.9,105480.0,87100.0,310.0,871.0,121.10218140068886,12.743972445464982,111.0
92,1.0,5.0,162.0,0.92,103450.0,82900.0,310.0,829.0,124.78890229191796,13.148371531966225,109.0
93,1.0,5.0,164.0,0.85,96240.0,84600.0,310.0,846.0,113.75886524822695,10.874704491725769,92.0
94,1.0,5.0,164.0,0.9,92930.0,76500.0,310.0,765.0,121.47712418300654,11.50326797385621,88.0
95,1.0,5.0,164.0,0.92,88180.0,72200.0,310.0,722.0,122.13296398891967,11.357340720221606,82.0
96,1.0,5.0,166.0,0.85,100870.0,84200.0,310.0,842.0,119.79809976247031,10.688836104513063,90.0
97,1.0,5.0,166.0,0.9,84560.0,74200.0,310.0,742.0,113.9622641509434,10.91644204851752,81.0
98,1.0,5.0,166.0,0.92,80980.0,70300.0,310.0,703.0,115.19203413940255,11.095305832147938,78.0
99,1.0,5.0,168.0,0.85,107920.0,97200.0,310.0,972.0,111.02880658436214,11.213991769547325,109.0
100,1.0,5.0,168.0,0.9,98300.0,86400.0,310.0,864.0,113.77314814814814,11.689814814814815,101.0
101,1.0,5.0,168.0,0.92,96470.0,80400.0,310.0,804.0,119.98756218905473,12.313432835820896,99.0
102,1.0,5.0,170.0,0.85,88530.0,90800.0,310.0,908.0,97.5,10.682819383259911,97.0
103,1.0,5.0,170.0,0.9,70660.0,80000.0,310.0,800.0,88.325,10.0,80.0
104,1.0,5.0,170.0,0.92,69270.0,74900.0,310.0,749.0,92.48331108144193,10.413885180240321,78.0
105,1.0,5.0,172.0,0.85,107560.0,88200.0,310.0,882.0,121.9501133786848,11.791383219954648,104.0
106,1.0,5.0,172.0,0.9,90040.0,77700.0,310.0,777.0,115.88159588159587,11.840411840411841,92.0
107,1.0,5.0,172.0,0.92,82300.0,73200.0,310.0,732.0,112.43169398907105,11.475409836065573,84.0
108,1.0,5.0,174.0,0.85,102140.0,86300.0,310.0,863.0,118.35457705677868,10.081112398609502,87.0
109,1.0,5.0,174.0,0.9,91950.0,77900.0,310.0,779.0,118.03594351732991,10.141206675224646,79.0
110,1.0,5.0,174.0,0.92,88030.0,74000.0,310.0,740.0,118.95945945945945,10.135135135135135,75.0
111,1.0,5.0,176.0,0.85,91160.0,85300.0,310.0,853.0,106.86987104337634,11.48886283704572,98.0
112,1.0,5.0,176.0,0.9,85080.0,76900.0,310.0,769.0,110.6371911573472,11.963589076723016,92.0
113,1.0,5.0,176.0,0.92,77900.0,71000.0,310.0,710.0,109.71830985915494,11.690140845070422,83.0
114,1.0,5.0,178.0,0.85,100530.0,84300.0,310.0,843.0,119.25266903914591,11.625148279952551,98.0
115,1.0,5.0,178.0,0.9,88110.0,76900.0,310.0,769.0,114.57737321196359,11.833550065019507,91.0
116,1.0,5.0,178.0,0.92,82920.0,70900.0,310.0,709.0,116.95345557122707,11.847672778561353,84.0
117,1.0,5.0,180.0,0.85,99750.0,87900.0,310.0,879.0,113.48122866894197,10.921501706484642,96.0
118,1.0,5.0,180.0,0.9,88570.0,79900.0,310.0,799.0,110.85106382978725,11.013767209011265,88.0
119,1.0,5.0,180.0,0.92,86400.0,75100.0,310.0,751.0,115.04660452729694,11.451398135818907,86.0
120,1.0,5.0,182.0,0.85,110300.0,91100.0,310.0,911.0,121.07574094401757,11.306256860592754,103.0
121,1.0,5.0,182.0,0.9,95170.0,81800.0,310.0,818.0,116.34474327628361,11.00244498777506,90.0
122,1.0,5.0,182.0,0.92,91350.0,76700.0,310.0,767.0,119.10039113428942,11.21251629726206,86.0
123,1.0,5.0,184.0,0.85,75170.0,83800.0,310.0,838.0,89.70167064439141,10.739856801909307,90.0
124,1.0,5.0,184.0,0.9,66940.0,74500.0,310.0,745.0,89.85234899328859,11.140939597315436,83.0
125,1.0,5.0,184.0,0.92,60440.0,70600.0,310.0,706.0,85.60906515580736,11.048158640226628,78.0
126,1.0,5.0,186.0,0.85,99470.0,89000.0,310.0,890.0,111.76404494382022,11.685393258426966,104.0
127,1.0,5.0,186.0,0.9,90290.0,81300.0,310.0,813.0,111.05781057810577,11.562115621156211,94.0
128,1.0,5.0,186.0,0.92,83120.0,76400.0,310.0,764.0,108.7958115183246,11.387434554973822,87.0
129,1.0,5.0,188.0,0.85,102740.0,86600.0,310.0,866.0,118.63741339491918,12.009237875288683,104.0
130,1.0,5.0,188.0,0.9,92530.0,77500.0,310.0,775.0,119.39354838709677,12.0,93.0
