,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
146,1.0,8.0,148.0,0.92,68360.0,43100.0,310.0,431.0,158.60788863109047,16.241299303944317,70.0,-0.004830648566804077,4.17465652146156,4.169825872894756,23.0
157,3.0,8.0,242.0,0.9,31520.0,23800.0,156.0,238.0,132.43697478991595,10.92436974789916,26.0,-0.3818813079129867,1.90608595915495,1.5242046512419631,70.0
161,4.0,5.0,132.0,0.85,105690.0,83000.0,114.0,830.0,127.33734939759036,5.542168674698795,46.0,1.8458831946285015,0.6633407027770574,2.5092238974055587,15.0
194,5.0,5.0,190.0,0.92,35290.0,26100.0,182.0,261.0,135.21072796934865,12.643678160919542,33.0,-0.8062257748298561,2.861796321588991,2.0555705467591348,44.0
217,8.0,8.0,186.0,0.92,55240.0,37800.0,90.0,378.0,146.13756613756615,5.026455026455026,19.0,0.016710823010754095,2.6592146828782455,2.6759255058889995,42.0
224,12.0,8.0,252.0,0.9,23170.0,18500.0,67.0,185.0,125.24324324324326,6.486486486486487,12.0,,1.0,,75.0
554,13.0,8.0,252.0,0.92,50670.0,23700.0,105.0,237.0,213.79746835443035,12.658227848101266,30.0,-0.6878579555552466,3.8954104097417566,3.20755245418651,75.0
560,17.0,5.0,128.0,0.9,52330.0,36200.0,63.0,362.0,144.55801104972377,5.524861878453039,20.0,1.383251902862112,1.336547326111901,2.719799228974013,13.0
569,21.0,5.0,156.0,0.9,58770.0,48200.0,93.0,482.0,121.92946058091287,6.224066390041494,30.0,0.04554875186742754,1.4163448795476117,1.4618936314150393,27.0
577,22.0,8.0,244.0,0.85,37610.0,29100.0,71.0,291.0,129.24398625429555,6.185567010309279,18.0,1.5811388300841898,0.999039390476518,2.5801782205607076,71.0
631,26.0,8.0,236.0,0.9,34750.0,15100.0,45.0,151.0,230.13245033112585,7.947019867549669,12.0,0.6164497722383855,3.184407450873412,3.8008572231117976,67.0
