,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,4.0,5.0,242.0,0.9,13520.0,11500.0,61740.0,115.0,117.56521739130434,10.434782608695652,12.0
1,8.0,5.0,246.0,0.92,18670.0,11800.0,61740.0,118.0,158.22033898305085,14.40677966101695,17.0
2,10.0,8.0,132.0,0.9,31260.0,26500.0,61740.0,265.0,117.9622641509434,11.320754716981133,30.0
3,11.0,5.0,174.0,0.92,7880.0,13400.0,61740.0,134.0,58.805970149253724,5.223880597014925,7.0
4,12.0,8.0,264.0,0.85,7740.0,12500.0,61740.0,125.0,61.919999999999995,5.6000000000000005,7.0
5,13.0,8.0,194.0,0.92,8460.0,15000.0,61740.0,150.0,56.39999999999999,6.666666666666667,10.0
6,17.0,8.0,246.0,0.85,16980.0,15400.0,61740.0,154.0,110.25974025974025,9.740259740259742,15.0
7,21.0,8.0,170.0,0.85,26180.0,27100.0,61740.0,271.0,96.60516605166052,12.546125461254611,34.0
8,24.0,8.0,232.0,0.9,12340.0,13200.0,61740.0,132.0,93.48484848484848,7.575757575757576,10.0
9,26.0,5.0,252.0,0.92,3520.0,7400.0,61740.0,74.0,47.56756756756757,4.054054054054054,3.0
