,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1587,4.0,5.0,152.0,0.85,103260.0,86000.0,139.0,860.0,120.06976744186046,7.093023255813953,61.0,25.0
1635,4.0,5.0,184.0,0.85,75120.0,56600.0,139.0,566.0,132.7208480565371,8.12720848056537,46.0,41.0
1638,4.0,5.0,186.0,0.85,63380.0,50000.0,139.0,500.0,126.76,8.200000000000001,41.0,42.0
1641,4.0,5.0,188.0,0.85,71770.0,55600.0,139.0,556.0,129.08273381294964,7.553956834532374,42.0,43.0
1689,4.0,5.0,220.0,0.85,56400.0,42100.0,139.0,421.0,133.9667458432304,9.263657957244655,39.0,59.0
1695,4.0,5.0,224.0,0.85,54550.0,42300.0,139.0,423.0,128.9598108747045,8.983451536643026,38.0,61.0
1719,4.0,5.0,240.0,0.85,49630.0,39800.0,139.0,398.0,124.69849246231156,7.2864321608040195,29.0,69.0
1722,4.0,5.0,242.0,0.85,54560.0,36400.0,139.0,364.0,149.8901098901099,9.89010989010989,36.0,70.0
1725,4.0,5.0,244.0,0.85,38880.0,32100.0,139.0,321.0,121.1214953271028,7.78816199376947,25.0,71.0
1737,4.0,5.0,252.0,0.85,40690.0,35300.0,139.0,353.0,115.26912181303118,7.365439093484419,26.0,75.0
1758,4.0,5.0,266.0,0.85,36340.0,29000.0,139.0,290.0,125.3103448275862,8.275862068965518,24.0,82.0
1573,4.0,5.0,142.0,0.9,87120.0,74400.0,139.0,744.0,117.09677419354838,6.451612903225806,48.0,20.0
1588,4.0,5.0,152.0,0.9,90170.0,70900.0,139.0,709.0,127.17912552891396,7.6163610719323,54.0,25.0
1618,4.0,5.0,172.0,0.9,71080.0,59700.0,139.0,597.0,119.06197654941371,7.202680067001675,43.0,35.0
1636,4.0,5.0,184.0,0.9,66640.0,46700.0,139.0,467.0,142.69807280513916,8.993576017130621,42.0,41.0
1639,4.0,5.0,186.0,0.9,59340.0,39000.0,139.0,390.0,152.15384615384616,9.487179487179487,37.0,42.0
1642,4.0,5.0,188.0,0.9,51800.0,42400.0,139.0,424.0,122.1698113207547,7.311320754716981,31.0,43.0
1654,4.0,5.0,196.0,0.9,40850.0,33800.0,139.0,338.0,120.85798816568048,7.988165680473373,27.0,47.0
1660,4.0,5.0,200.0,0.9,39460.0,32500.0,139.0,325.0,121.4153846153846,8.615384615384615,28.0,49.0
1666,4.0,5.0,204.0,0.9,49630.0,40300.0,139.0,403.0,123.151364764268,8.436724565756824,34.0,51.0
1669,4.0,5.0,206.0,0.9,55970.0,38800.0,139.0,388.0,144.25257731958763,8.24742268041237,32.0,52.0
1687,4.0,5.0,218.0,0.9,43980.0,35500.0,139.0,355.0,123.88732394366198,7.605633802816901,27.0,58.0
1690,4.0,5.0,220.0,0.9,45550.0,32000.0,139.0,320.0,142.34375,9.6875,31.0,59.0
1693,4.0,5.0,222.0,0.9,32280.0,26400.0,139.0,264.0,122.27272727272728,7.954545454545454,21.0,60.0
1696,4.0,5.0,224.0,0.9,47890.0,32100.0,139.0,321.0,149.19003115264798,10.59190031152648,34.0,61.0
1720,4.0,5.0,240.0,0.9,36580.0,28700.0,139.0,287.0,127.45644599303137,7.317073170731707,21.0,69.0
1723,4.0,5.0,242.0,0.9,47660.0,26500.0,139.0,265.0,179.8490566037736,12.075471698113208,32.0,70.0
1562,4.0,5.0,134.0,0.92,76760.0,66700.0,139.0,667.0,115.08245877061468,6.896551724137931,46.0,16.0
