,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,144.0,0.92,30080.0,25300.0,65994.0,253.0,118.89328063241106,11.462450592885375,29.0
1,3.0,5.0,114.0,0.92,41150.0,43200.0,65994.0,432.0,95.25462962962963,9.49074074074074,41.0
2,4.0,5.0,230.0,0.92,15720.0,13400.0,65994.0,134.0,117.31343283582089,8.208955223880597,11.0
3,6.0,5.0,122.0,0.92,23390.0,30900.0,65994.0,309.0,75.69579288025889,7.443365695792881,23.0
4,8.0,8.0,246.0,0.85,15710.0,16800.0,65994.0,168.0,93.51190476190476,7.738095238095238,13.0
5,9.0,5.0,220.0,0.85,13910.0,12900.0,65994.0,129.0,107.82945736434108,7.751937984496124,10.0
6,12.0,8.0,182.0,0.92,14270.0,21100.0,65994.0,211.0,67.6303317535545,6.161137440758294,13.0
7,13.0,5.0,266.0,0.92,13470.0,7700.0,65994.0,77.0,174.93506493506493,12.987012987012985,10.0
8,18.0,8.0,248.0,0.92,7800.0,8700.0,65994.0,87.0,89.65517241379311,5.747126436781609,5.0
9,21.0,8.0,266.0,0.85,9380.0,11300.0,65994.0,113.0,83.00884955752213,9.734513274336283,11.0
10,22.0,8.0,228.0,0.9,8130.0,12900.0,65994.0,129.0,63.0232558139535,6.2015503875969,8.0
11,24.0,5.0,266.0,0.92,8230.0,7100.0,65994.0,71.0,115.91549295774648,8.450704225352112,6.0
