,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,144.0,0.92,56140.0,48600.0,259.0,486.0,115.51440329218107,12.757201646090536,62.0
1,3.0,5.0,114.0,0.92,114230.0,91700.0,150.0,917.0,124.56924754634677,6.2159214830970555,57.0
2,4.0,5.0,230.0,0.92,46360.0,25900.0,123.0,259.0,178.996138996139,9.652509652509652,25.0
3,6.0,5.0,122.0,0.92,74480.0,58400.0,179.0,584.0,127.53424657534246,8.732876712328768,51.0
4,8.0,8.0,246.0,0.85,35240.0,30500.0,102.0,305.0,115.54098360655738,5.901639344262295,18.0
5,9.0,5.0,220.0,0.85,52210.0,33400.0,166.0,334.0,156.31736526946108,12.275449101796406,41.0
6,12.0,8.0,182.0,0.92,56710.0,38300.0,89.0,383.0,148.06788511749346,6.005221932114883,23.0
7,13.0,5.0,266.0,0.92,35990.0,16700.0,100.0,167.0,215.50898203592817,10.778443113772456,18.0
8,18.0,8.0,248.0,0.92,30270.0,22300.0,57.0,223.0,135.73991031390133,5.829596412556054,13.0
9,21.0,8.0,266.0,0.85,32730.0,20900.0,88.0,209.0,156.60287081339712,7.655502392344498,16.0
10,22.0,8.0,228.0,0.9,42510.0,24400.0,79.0,244.0,174.22131147540983,6.147540983606557,15.0
11,24.0,5.0,266.0,0.92,44230.0,15800.0,55.0,158.0,279.9367088607595,7.59493670886076,12.0
