,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1363,3.0,8.0,170.0,0.9,89690.0,77100.0,150.0,771.0,116.32944228274968,5.836575875486381,45.0,34.0
1471,3.0,8.0,242.0,0.9,66440.0,55600.0,150.0,556.0,119.49640287769785,6.294964028776978,35.0,70.0
1364,3.0,8.0,170.0,0.92,85650.0,70900.0,150.0,709.0,120.80394922425953,5.923836389280677,42.0,34.0
1421,3.0,8.0,208.0,0.92,70550.0,60800.0,150.0,608.0,116.0361842105263,6.578947368421052,40.0,53.0
1718,4.0,5.0,238.0,0.92,87360.0,65800.0,123.0,658.0,132.7659574468085,5.623100303951368,37.0,68.0
1992,4.0,8.0,254.0,0.85,81430.0,70000.0,123.0,700.0,116.32857142857142,5.142857142857142,36.0,76.0
1990,4.0,8.0,252.0,0.9,70160.0,57800.0,123.0,578.0,121.38408304498267,5.709342560553633,33.0,75.0
1993,4.0,8.0,254.0,0.9,75600.0,60300.0,123.0,603.0,125.37313432835822,5.472636815920398,33.0,76.0
1994,4.0,8.0,254.0,0.92,70800.0,55700.0,123.0,557.0,127.10951526032316,5.565529622980251,31.0,76.0
2546,6.0,5.0,118.0,0.92,121400.0,97600.0,179.0,976.0,124.38524590163937,6.967213114754098,68.0,8.0
3980,8.0,8.0,234.0,0.92,71000.0,50100.0,102.0,501.0,141.71656686626747,6.387225548902195,32.0,66.0
4119,9.0,5.0,160.0,0.85,116960.0,92400.0,166.0,924.0,126.58008658008656,7.683982683982683,71.0,29.0
4122,9.0,5.0,162.0,0.85,104350.0,88300.0,166.0,883.0,118.1766704416761,7.134767836919592,63.0,30.0
4233,9.0,5.0,236.0,0.85,76710.0,59100.0,166.0,591.0,129.7969543147208,7.7834179357022,46.0,67.0
4257,9.0,5.0,252.0,0.85,64940.0,55800.0,166.0,558.0,116.3799283154122,9.13978494623656,51.0,75.0
4120,9.0,5.0,160.0,0.9,112360.0,81400.0,166.0,814.0,138.03439803439804,8.230958230958231,67.0,29.0
4123,9.0,5.0,162.0,0.9,100720.0,79400.0,166.0,794.0,126.85138539042822,7.682619647355164,61.0,30.0
4135,9.0,5.0,170.0,0.9,83890.0,67600.0,166.0,676.0,124.09763313609469,8.727810650887575,59.0,34.0
4234,9.0,5.0,236.0,0.9,73250.0,52000.0,166.0,520.0,140.8653846153846,8.269230769230768,43.0,67.0
4237,9.0,5.0,238.0,0.9,70210.0,58200.0,166.0,582.0,120.63573883161511,7.903780068728522,46.0,68.0
4258,9.0,5.0,252.0,0.9,56600.0,49200.0,166.0,492.0,115.04065040650406,9.34959349593496,46.0,75.0
4121,9.0,5.0,160.0,0.92,111690.0,76700.0,166.0,767.0,145.619295958279,8.604954367666231,66.0,29.0
4124,9.0,5.0,162.0,0.92,93340.0,75300.0,166.0,753.0,123.95750332005314,7.3041168658698545,55.0,30.0
4169,9.0,5.0,192.0,0.92,76110.0,64400.0,166.0,644.0,118.1832298136646,7.298136645962733,47.0,45.0
4184,9.0,5.0,202.0,0.92,73860.0,62000.0,166.0,620.0,119.12903225806453,8.709677419354838,54.0,50.0
4235,9.0,5.0,236.0,0.92,71610.0,47700.0,166.0,477.0,150.125786163522,8.59538784067086,41.0,67.0
4238,9.0,5.0,238.0,0.92,65940.0,54200.0,166.0,542.0,121.66051660516604,7.564575645756458,41.0,68.0
4259,9.0,5.0,252.0,0.92,52560.0,45600.0,166.0,456.0,115.26315789473684,9.210526315789473,42.0,75.0
4437,9.0,8.0,204.0,0.85,86030.0,69300.0,166.0,693.0,124.14141414141412,8.225108225108226,57.0,51.0
4443,9.0,8.0,208.0,0.85,67800.0,58400.0,166.0,584.0,116.09589041095892,7.534246575342466,44.0,53.0
4372,9.0,8.0,160.0,0.9,107700.0,76800.0,166.0,768.0,140.234375,8.59375,66.0,29.0
4438,9.0,8.0,204.0,0.9,76970.0,61000.0,166.0,610.0,126.18032786885244,8.524590163934425,52.0,51.0
4441,9.0,8.0,206.0,0.9,53770.0,45900.0,166.0,459.0,117.14596949891067,8.932461873638346,41.0,52.0
4495,9.0,8.0,242.0,0.9,53930.0,46500.0,166.0,465.0,115.9784946236559,7.956989247311828,37.0,70.0
4373,9.0,8.0,160.0,0.92,104520.0,72300.0,166.0,723.0,144.5643153526971,8.71369294605809,63.0,29.0
4439,9.0,8.0,204.0,0.92,73200.0,56500.0,166.0,565.0,129.5575221238938,8.495575221238937,48.0,51.0
4442,9.0,8.0,206.0,0.92,53180.0,42200.0,166.0,422.0,126.01895734597156,9.47867298578199,40.0,52.0
6157,13.0,5.0,174.0,0.9,118880.0,78500.0,100.0,785.0,151.43949044585986,5.35031847133758,42.0,36.0
6160,13.0,5.0,176.0,0.9,89260.0,72800.0,100.0,728.0,122.60989010989012,5.082417582417582,37.0,37.0
6250,13.0,5.0,236.0,0.9,68680.0,47900.0,100.0,479.0,143.3820459290188,5.010438413361169,24.0,67.0
6253,13.0,5.0,238.0,0.9,75510.0,56300.0,100.0,563.0,134.12078152753108,5.328596802841918,30.0,68.0
6295,13.0,5.0,266.0,0.9,50360.0,40900.0,100.0,409.0,123.12958435207824,5.8679706601467,24.0,82.0
6158,13.0,5.0,174.0,0.92,113920.0,72600.0,100.0,726.0,156.91460055096417,5.5096418732782375,40.0,36.0
6161,13.0,5.0,176.0,0.92,85560.0,67800.0,100.0,678.0,126.19469026548671,5.162241887905605,35.0,37.0
6251,13.0,5.0,236.0,0.92,62150.0,43700.0,100.0,437.0,142.2196796338673,5.034324942791762,22.0,67.0
6254,13.0,5.0,238.0,0.92,68640.0,51100.0,100.0,511.0,134.3248532289628,5.47945205479452,28.0,68.0
6272,13.0,5.0,250.0,0.92,52520.0,44400.0,100.0,444.0,118.28828828828829,5.63063063063063,25.0,74.0
6296,13.0,5.0,266.0,0.92,50360.0,37800.0,100.0,378.0,133.2275132275132,6.349206349206349,24.0,82.0
6495,13.0,8.0,232.0,0.85,70730.0,60000.0,100.0,600.0,117.88333333333334,5.166666666666667,31.0,65.0
6498,13.0,8.0,234.0,0.85,65010.0,52600.0,100.0,526.0,123.59315589353612,5.513307984790875,29.0,66.0
6507,13.0,8.0,240.0,0.85,81470.0,65200.0,100.0,652.0,124.95398773006134,5.214723926380368,34.0,69.0
6397,13.0,8.0,166.0,0.9,112460.0,77200.0,100.0,772.0,145.67357512953367,5.051813471502591,39.0,32.0
6400,13.0,8.0,168.0,0.9,90030.0,68800.0,100.0,688.0,130.8575581395349,5.813953488372093,40.0,33.0
6430,13.0,8.0,188.0,0.9,93760.0,71100.0,100.0,711.0,131.8706047819972,5.344585091420535,38.0,43.0
6433,13.0,8.0,190.0,0.9,82140.0,61300.0,100.0,613.0,133.99673735725938,5.220228384991843,32.0,44.0
6463,13.0,8.0,210.0,0.9,94280.0,65100.0,100.0,651.0,144.82334869431642,5.376344086021505,35.0,54.0
6466,13.0,8.0,212.0,0.9,96540.0,70100.0,100.0,701.0,137.7175463623395,5.135520684736092,36.0,55.0
6398,13.0,8.0,166.0,0.92,107370.0,73300.0,100.0,733.0,146.48021828103683,5.0477489768076405,37.0,32.0
6401,13.0,8.0,168.0,0.92,84800.0,64100.0,100.0,641.0,132.29329173166926,5.77223088923557,37.0,33.0
6431,13.0,8.0,188.0,0.92,78340.0,66000.0,100.0,660.0,118.6969696969697,5.151515151515151,34.0,43.0
6434,13.0,8.0,190.0,0.92,82140.0,56600.0,100.0,566.0,145.12367491166077,5.653710247349824,32.0,44.0
6464,13.0,8.0,210.0,0.92,94280.0,60100.0,100.0,601.0,156.87188019966723,5.823627287853577,35.0,54.0
6467,13.0,8.0,212.0,0.92,96540.0,65500.0,100.0,655.0,147.38931297709922,5.496183206106871,36.0,55.0
