,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
634,2.0,5.0,188.0,0.9,80990.0,68400.0,247.0,684.0,118.406432748538,10.23391812865497,70.0,43.0
1655,4.0,5.0,196.0,0.92,56540.0,48300.0,126.0,483.0,117.0600414078675,6.832298136645963,33.0,47.0
1980,4.0,8.0,246.0,0.85,61180.0,49400.0,126.0,494.0,123.84615384615384,6.680161943319838,33.0,72.0
1983,4.0,8.0,248.0,0.85,64220.0,50600.0,126.0,506.0,126.91699604743084,6.126482213438735,31.0,73.0
1975,4.0,8.0,242.0,0.9,66230.0,43900.0,126.0,439.0,150.8656036446469,6.605922551252847,29.0,70.0
1981,4.0,8.0,246.0,0.9,59990.0,42300.0,126.0,423.0,141.82033096926713,7.5650118203309695,32.0,72.0
1984,4.0,8.0,248.0,0.9,51450.0,43700.0,126.0,437.0,117.7345537757437,5.720823798627003,25.0,73.0
1877,4.0,8.0,176.0,0.92,69240.0,59500.0,126.0,595.0,116.36974789915966,7.394957983193278,44.0,37.0
1946,4.0,8.0,222.0,0.92,49030.0,39100.0,126.0,391.0,125.39641943734014,6.905370843989769,27.0,60.0
1964,4.0,8.0,234.0,0.92,48750.0,39000.0,126.0,390.0,125.0,6.666666666666667,26.0,66.0
1976,4.0,8.0,242.0,0.92,60520.0,39400.0,126.0,394.0,153.60406091370558,6.852791878172589,27.0,70.0
1982,4.0,8.0,246.0,0.92,57170.0,39200.0,126.0,392.0,145.84183673469389,7.653061224489796,30.0,72.0
1985,4.0,8.0,248.0,0.92,49200.0,39800.0,126.0,398.0,123.61809045226131,5.778894472361809,23.0,73.0
10218,21.0,5.0,194.0,0.85,108760.0,85100.0,121.0,851.0,127.80258519388954,5.64042303172738,48.0,46.0
10221,21.0,5.0,196.0,0.85,105100.0,80500.0,121.0,805.0,130.55900621118013,5.962732919254658,48.0,47.0
10219,21.0,5.0,194.0,0.9,98120.0,77200.0,121.0,772.0,127.09844559585493,5.699481865284974,44.0,46.0
10222,21.0,5.0,196.0,0.9,95620.0,73000.0,121.0,730.0,130.986301369863,6.027397260273973,44.0,47.0
10225,21.0,5.0,198.0,0.9,96230.0,67600.0,121.0,676.0,142.35207100591717,5.325443786982249,36.0,48.0
10288,21.0,5.0,240.0,0.9,72500.0,58900.0,121.0,589.0,123.08998302207132,5.942275042444821,35.0,69.0
10163,21.0,5.0,156.0,0.92,87080.0,74700.0,121.0,747.0,116.57295850066936,6.157965194109773,46.0,27.0
10389,21.0,8.0,140.0,0.85,121040.0,103300.0,121.0,1033.0,117.17328170377542,5.421103581800581,56.0,19.0
10392,21.0,8.0,142.0,0.85,141470.0,113600.0,121.0,1136.0,124.53345070422534,5.193661971830986,59.0,20.0
10407,21.0,8.0,152.0,0.85,127790.0,105300.0,121.0,1053.0,121.35802469135804,5.318138651471985,56.0,25.0
