,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,97940.0,138800.0,321.0,1388.0,70.56195965417868,10.37463976945245,144.0
1,1.0,5.0,102.0,0.9,92070.0,128300.0,321.0,1283.0,71.76149649259548,10.678098207326578,137.0
2,1.0,5.0,102.0,0.92,87500.0,121400.0,321.0,1214.0,72.07578253706754,10.70840197693575,130.0
3,1.0,5.0,104.0,0.85,111270.0,133700.0,321.0,1337.0,83.22363500373972,11.06955871353777,148.0
4,1.0,5.0,104.0,0.9,99560.0,122900.0,321.0,1229.0,81.00895036615134,11.065907241659886,136.0
5,1.0,5.0,104.0,0.92,94570.0,116200.0,321.0,1162.0,81.38554216867469,11.187607573149743,130.0
6,1.0,5.0,106.0,0.85,98070.0,140600.0,321.0,1406.0,69.75106685633001,10.170697012802275,143.0
7,1.0,5.0,106.0,0.9,88350.0,130000.0,321.0,1300.0,67.96153846153847,10.307692307692308,134.0
8,1.0,5.0,106.0,0.92,85510.0,124200.0,321.0,1242.0,68.84863123993559,10.38647342995169,129.0
9,1.0,5.0,108.0,0.85,103630.0,136700.0,321.0,1367.0,75.80833942940745,10.387710314557424,142.0
10,1.0,5.0,108.0,0.9,95210.0,125200.0,321.0,1252.0,76.04632587859425,10.463258785942491,131.0
11,1.0,5.0,108.0,0.92,92360.0,119100.0,321.0,1191.0,77.54827875734676,10.663308144416456,127.0
12,1.0,5.0,110.0,0.85,109160.0,131800.0,321.0,1318.0,82.82245827010622,10.698027314112291,141.0
13,1.0,5.0,110.0,0.9,98370.0,119500.0,321.0,1195.0,82.31799163179916,10.96234309623431,131.0
14,1.0,5.0,110.0,0.92,94710.0,114600.0,321.0,1146.0,82.64397905759162,10.99476439790576,126.0
15,1.0,5.0,112.0,0.85,96230.0,120600.0,321.0,1206.0,79.7927031509121,11.028192371475953,133.0
16,1.0,5.0,112.0,0.9,85930.0,109400.0,321.0,1094.0,78.54661791590493,11.151736745886655,122.0
17,1.0,5.0,112.0,0.92,81430.0,103400.0,321.0,1034.0,78.75241779497098,11.218568665377177,116.0
18,1.0,5.0,114.0,0.85,100380.0,134000.0,321.0,1340.0,74.91044776119404,10.671641791044777,143.0
19,1.0,5.0,114.0,0.9,94810.0,123000.0,321.0,1230.0,77.08130081300814,10.8130081300813,133.0
20,1.0,5.0,114.0,0.92,88250.0,114800.0,321.0,1148.0,76.87282229965156,11.149825783972126,128.0
21,1.0,5.0,116.0,0.85,99630.0,125600.0,321.0,1256.0,79.3232484076433,11.385350318471337,143.0
22,1.0,5.0,116.0,0.9,94000.0,113400.0,321.0,1134.0,82.89241622574956,11.904761904761903,135.0
23,1.0,5.0,116.0,0.92,87490.0,107200.0,321.0,1072.0,81.61380597014926,11.753731343283583,126.0
24,1.0,5.0,118.0,0.85,92740.0,121800.0,321.0,1218.0,76.14121510673235,11.16584564860427,136.0
25,1.0,5.0,118.0,0.9,87330.0,113000.0,321.0,1130.0,77.28318584070797,11.327433628318584,128.0
26,1.0,5.0,118.0,0.92,82660.0,107100.0,321.0,1071.0,77.18020541549954,11.391223155929039,122.0
27,1.0,5.0,120.0,0.85,105530.0,126700.0,321.0,1267.0,83.29123914759275,11.602209944751381,147.0
28,1.0,5.0,120.0,0.9,98460.0,117200.0,321.0,1172.0,84.01023890784984,11.604095563139932,136.0
29,1.0,5.0,120.0,0.92,95830.0,112200.0,321.0,1122.0,85.40998217468805,11.76470588235294,132.0
30,1.0,5.0,122.0,0.85,101000.0,123800.0,321.0,1238.0,81.5831987075929,11.470113085621971,142.0
31,1.0,5.0,122.0,0.9,85580.0,112500.0,321.0,1125.0,76.07111111111111,11.200000000000001,126.0
32,1.0,5.0,122.0,0.92,81280.0,106300.0,321.0,1063.0,76.46284101599248,11.382878645343368,121.0
33,1.0,5.0,124.0,0.85,81530.0,106500.0,321.0,1065.0,76.55399061032864,11.36150234741784,121.0
34,1.0,5.0,124.0,0.9,74260.0,96700.0,321.0,967.0,76.794208893485,11.582213029989658,112.0
35,1.0,5.0,124.0,0.92,72830.0,91900.0,321.0,919.0,79.24918389553864,11.860718171926006,109.0
36,1.0,5.0,126.0,0.85,98600.0,102400.0,321.0,1024.0,96.2890625,11.5234375,118.0
37,1.0,5.0,126.0,0.9,96060.0,92200.0,321.0,922.0,104.18655097613882,12.25596529284165,113.0
38,1.0,5.0,126.0,0.92,93900.0,88400.0,321.0,884.0,106.22171945701358,12.330316742081449,109.0
39,1.0,5.0,128.0,0.85,72920.0,113100.0,321.0,1131.0,64.47391688770999,10.167992926613616,115.0
40,1.0,5.0,128.0,0.9,70520.0,101900.0,321.0,1019.0,69.20510304219823,10.893032384690873,111.0
