,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
156,1.0,5.0,206.0,0.85,43850.0,38000.0,360.0,380.0,115.39473684210526,17.105263157894736,65.0,52.0
1734,4.0,5.0,250.0,0.85,44850.0,36000.0,104.0,360.0,124.58333333333331,8.055555555555555,29.0,74.0
1755,4.0,5.0,264.0,0.85,32530.0,25200.0,104.0,252.0,129.0873015873016,7.936507936507936,20.0,81.0
1758,4.0,5.0,266.0,0.85,32890.0,27600.0,104.0,276.0,119.16666666666669,7.608695652173914,21.0,82.0
1735,4.0,5.0,250.0,0.9,33360.0,28100.0,104.0,281.0,118.71886120996442,8.540925266903916,24.0,74.0
1721,4.0,5.0,240.0,0.92,24890.0,20800.0,104.0,208.0,119.66346153846156,8.653846153846153,18.0,69.0
1803,4.0,8.0,128.0,0.85,94390.0,80500.0,104.0,805.0,117.25465838509317,5.590062111801243,45.0,13.0
1866,4.0,8.0,170.0,0.85,60790.0,45800.0,104.0,458.0,132.7292576419214,6.986899563318777,32.0,34.0
1944,4.0,8.0,222.0,0.85,39270.0,34100.0,104.0,341.0,115.16129032258064,7.038123167155426,24.0,60.0
1947,4.0,8.0,224.0,0.85,42060.0,35200.0,104.0,352.0,119.48863636363636,7.386363636363637,26.0,61.0
1986,4.0,8.0,250.0,0.85,38950.0,33300.0,104.0,333.0,116.96696696696696,7.807807807807808,26.0,74.0
1992,4.0,8.0,254.0,0.85,35080.0,25400.0,104.0,254.0,138.11023622047244,8.661417322834646,22.0,76.0
1995,4.0,8.0,256.0,0.85,29520.0,24600.0,104.0,246.0,120.0,7.723577235772358,19.0,77.0
1998,4.0,8.0,258.0,0.85,38660.0,28100.0,104.0,281.0,137.58007117437722,8.540925266903916,24.0,78.0
2001,4.0,8.0,260.0,0.85,28860.0,24000.0,104.0,240.0,120.25,7.5,18.0,79.0
2004,4.0,8.0,262.0,0.85,28450.0,24700.0,104.0,247.0,115.18218623481782,8.097165991902834,20.0,80.0
1804,4.0,8.0,128.0,0.9,79110.0,64700.0,104.0,647.0,122.27202472952084,5.873261205564142,38.0,13.0
1903,4.0,8.0,194.0,0.9,41330.0,34600.0,104.0,346.0,119.45086705202311,7.514450867052023,26.0,46.0
1945,4.0,8.0,222.0,0.9,34900.0,27000.0,104.0,270.0,129.25925925925924,8.148148148148149,22.0,60.0
1948,4.0,8.0,224.0,0.9,32770.0,27100.0,104.0,271.0,120.92250922509224,8.118081180811808,22.0,61.0
1999,4.0,8.0,258.0,0.9,26640.0,21800.0,104.0,218.0,122.20183486238533,8.256880733944955,18.0,78.0
2002,4.0,8.0,260.0,0.9,25500.0,17500.0,104.0,175.0,145.7142857142857,9.142857142857142,16.0,79.0
2005,4.0,8.0,262.0,0.9,27090.0,19400.0,104.0,194.0,139.63917525773195,9.793814432989691,19.0,80.0
2011,4.0,8.0,266.0,0.9,20680.0,17900.0,104.0,179.0,115.53072625698324,8.938547486033519,16.0,82.0
