,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1230,3.0,5.0,250.0,0.85,62530.0,51500.0,143.0,515.0,121.41747572815534,7.766990291262135,40.0,74.0
1231,3.0,5.0,250.0,0.9,53530.0,44300.0,143.0,443.0,120.8352144469526,7.674943566591422,34.0,74.0
1234,3.0,5.0,252.0,0.9,51380.0,40000.0,143.0,400.0,128.45,8.75,35.0,75.0
1160,3.0,5.0,202.0,0.92,73510.0,57800.0,143.0,578.0,127.17993079584777,7.7854671280276815,45.0,50.0
1190,3.0,5.0,222.0,0.92,64240.0,55100.0,143.0,551.0,116.58802177858438,6.533575317604355,36.0,60.0
1232,3.0,5.0,250.0,0.92,52000.0,40800.0,143.0,408.0,127.45098039215684,7.84313725490196,32.0,74.0
1235,3.0,5.0,252.0,0.92,49900.0,36800.0,143.0,368.0,135.59782608695653,9.239130434782608,34.0,75.0
1238,3.0,5.0,254.0,0.92,36780.0,31000.0,143.0,310.0,118.6451612903226,8.38709677419355,26.0,76.0
1395,3.0,8.0,192.0,0.85,83180.0,61500.0,143.0,615.0,135.2520325203252,7.967479674796748,49.0,45.0
1470,3.0,8.0,242.0,0.85,67780.0,53500.0,143.0,535.0,126.69158878504672,8.037383177570094,43.0,70.0
1283,3.0,8.0,116.0,0.92,94190.0,81800.0,143.0,818.0,115.14669926650367,6.845965770171149,56.0,7.0
1373,3.0,8.0,176.0,0.92,68980.0,59300.0,143.0,593.0,116.3237774030354,7.251264755480608,43.0,37.0
1397,3.0,8.0,192.0,0.92,69480.0,49400.0,143.0,494.0,140.64777327935224,8.502024291497975,42.0,45.0
1472,3.0,8.0,242.0,0.92,52060.0,42400.0,143.0,424.0,122.78301886792453,8.018867924528301,34.0,70.0
1674,4.0,5.0,210.0,0.85,74460.0,61600.0,108.0,616.0,120.87662337662336,5.357142857142857,33.0,54.0
1716,4.0,5.0,238.0,0.85,72480.0,56800.0,108.0,568.0,127.60563380281693,5.633802816901409,32.0,68.0
1719,4.0,5.0,240.0,0.85,77100.0,60900.0,108.0,609.0,126.60098522167486,6.075533661740558,37.0,69.0
1672,4.0,5.0,208.0,0.9,65390.0,55500.0,108.0,555.0,117.8198198198198,5.7657657657657655,32.0,53.0
1717,4.0,5.0,238.0,0.9,68490.0,48700.0,108.0,487.0,140.63655030800822,6.365503080082135,31.0,68.0
1756,4.0,5.0,264.0,0.9,43240.0,35600.0,108.0,356.0,121.46067415730336,5.337078651685393,19.0,81.0
1616,4.0,5.0,170.0,0.92,73630.0,62800.0,108.0,628.0,117.2452229299363,5.095541401273886,32.0,34.0
1619,4.0,5.0,172.0,0.92,75510.0,60200.0,108.0,602.0,125.43189368770764,6.312292358803987,38.0,35.0
1655,4.0,5.0,196.0,0.92,51910.0,42700.0,108.0,427.0,121.56908665105388,5.152224824355972,22.0,47.0
1658,4.0,5.0,198.0,0.92,72410.0,59100.0,108.0,591.0,122.52115059221656,5.752961082910321,34.0,48.0
1673,4.0,5.0,208.0,0.92,65390.0,50700.0,108.0,507.0,128.97435897435898,6.31163708086785,32.0,53.0
1676,4.0,5.0,210.0,0.92,57590.0,49100.0,108.0,491.0,117.29124236252548,5.295315682281059,26.0,54.0
1688,4.0,5.0,218.0,0.92,74040.0,51900.0,108.0,519.0,142.65895953757226,6.358381502890173,33.0,58.0
1718,4.0,5.0,238.0,0.92,66350.0,44700.0,108.0,447.0,148.43400447427294,6.711409395973154,30.0,68.0
1757,4.0,5.0,264.0,0.92,42420.0,33300.0,108.0,333.0,127.3873873873874,5.405405405405405,18.0,81.0
1962,4.0,8.0,234.0,0.85,57190.0,47300.0,108.0,473.0,120.9090909090909,5.496828752642706,26.0,66.0
1965,4.0,8.0,236.0,0.85,59310.0,49400.0,108.0,494.0,120.06072874493928,5.465587044534413,27.0,67.0
1974,4.0,8.0,242.0,0.85,72790.0,55000.0,108.0,550.0,132.34545454545454,5.454545454545454,30.0,70.0
1977,4.0,8.0,244.0,0.85,65300.0,54000.0,108.0,540.0,120.92592592592592,5.37037037037037,29.0,71.0
1879,4.0,8.0,178.0,0.9,58400.0,46800.0,108.0,468.0,124.78632478632478,6.196581196581197,29.0,38.0
1963,4.0,8.0,234.0,0.9,53050.0,41000.0,108.0,410.0,129.39024390243904,5.853658536585367,24.0,66.0
1966,4.0,8.0,236.0,0.9,59310.0,42400.0,108.0,424.0,139.8820754716981,6.367924528301887,27.0,67.0
1975,4.0,8.0,242.0,0.9,70650.0,47900.0,108.0,479.0,147.49478079331942,6.05427974947808,29.0,70.0
