,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,182.0,0.85,31260.0,22700.0,45174.0,227.0,137.7092511013216,20.704845814977972,47.0
1,3.0,8.0,186.0,0.85,15180.0,22400.0,45174.0,224.0,67.76785714285715,10.714285714285714,24.0
2,5.0,5.0,118.0,0.92,23860.0,30600.0,45174.0,306.0,77.97385620915033,13.398692810457517,41.0
3,6.0,8.0,166.0,0.85,21710.0,23000.0,45174.0,230.0,94.3913043478261,10.434782608695652,24.0
4,8.0,8.0,260.0,0.9,9900.0,13200.0,45174.0,132.0,75.0,8.333333333333332,11.0
5,9.0,8.0,134.0,0.9,28500.0,33400.0,45174.0,334.0,85.32934131736528,10.179640718562874,34.0
6,11.0,8.0,188.0,0.85,22850.0,20600.0,45174.0,206.0,110.92233009708738,9.223300970873787,19.0
7,17.0,8.0,136.0,0.85,26290.0,33100.0,45174.0,331.0,79.42598187311178,8.157099697885197,27.0
8,18.0,5.0,208.0,0.92,12910.0,13800.0,45174.0,138.0,93.55072463768116,11.594202898550725,16.0
9,21.0,5.0,202.0,0.85,13680.0,17700.0,45174.0,177.0,77.28813559322035,12.994350282485875,23.0
