,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,182.0,0.85,58370.0,38500.0,434.0,385.0,151.61038961038963,20.259740259740262,78.0
1,3.0,8.0,186.0,0.85,56480.0,41900.0,203.0,419.0,134.79713603818615,10.501193317422434,44.0
2,5.0,5.0,118.0,0.92,86810.0,61500.0,296.0,615.0,141.15447154471545,11.544715447154472,71.0
3,6.0,8.0,166.0,0.85,71410.0,53600.0,269.0,536.0,133.22761194029852,12.126865671641792,65.0
4,8.0,8.0,260.0,0.9,32310.0,24200.0,117.0,242.0,133.51239669421489,9.090909090909092,22.0
5,9.0,8.0,134.0,0.9,84870.0,67400.0,199.0,674.0,125.91988130563799,9.495548961424333,64.0
6,11.0,8.0,188.0,0.85,58090.0,48500.0,102.0,485.0,119.77319587628865,6.391752577319587,31.0
7,17.0,8.0,136.0,0.85,139140.0,75400.0,83.0,754.0,184.53580901856762,5.835543766578249,44.0
8,18.0,5.0,208.0,0.92,65390.0,34400.0,58.0,344.0,190.0872093023256,5.523255813953488,19.0
9,21.0,5.0,202.0,0.85,71780.0,36400.0,98.0,364.0,197.19780219780222,7.417582417582418,27.0
