,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
18,1.0,5.0,114.0,0.85,110410.0,90800.0,434.0,908.0,121.59691629955948,17.070484581497798,155.0,6.0
21,1.0,5.0,116.0,0.85,99990.0,86300.0,434.0,863.0,115.86326767091542,15.758980301274622,136.0,7.0
42,1.0,5.0,130.0,0.85,79890.0,68000.0,434.0,680.0,117.48529411764706,16.323529411764707,111.0,14.0
69,1.0,5.0,148.0,0.85,76110.0,63900.0,434.0,639.0,119.10798122065728,15.96244131455399,102.0,23.0
75,1.0,5.0,152.0,0.85,67110.0,55900.0,434.0,559.0,120.0536672629696,16.636851520572453,93.0,25.0
120,1.0,5.0,182.0,0.85,58370.0,38500.0,434.0,385.0,151.61038961038963,20.259740259740266,78.0,40.0
123,1.0,5.0,184.0,0.85,49960.0,39200.0,434.0,392.0,127.44897959183676,19.132653061224488,75.0,41.0
126,1.0,5.0,186.0,0.85,45620.0,38400.0,434.0,384.0,118.80208333333331,18.489583333333336,71.0,42.0
147,1.0,5.0,200.0,0.85,43640.0,34500.0,434.0,345.0,126.49275362318842,19.130434782608692,66.0,49.0
150,1.0,5.0,202.0,0.85,47170.0,33100.0,434.0,331.0,142.50755287009062,21.148036253776432,70.0,50.0
22,1.0,5.0,116.0,0.9,85300.0,70200.0,434.0,702.0,121.50997150997152,16.524216524216524,116.0,7.0
67,1.0,5.0,146.0,0.9,55590.0,47500.0,434.0,475.0,117.03157894736842,17.473684210526315,83.0,22.0
70,1.0,5.0,148.0,0.9,61480.0,50600.0,434.0,506.0,121.50197628458498,16.40316205533597,83.0,23.0
76,1.0,5.0,152.0,0.9,57210.0,43700.0,434.0,437.0,130.91533180778032,17.391304347826086,76.0,25.0
79,1.0,5.0,154.0,0.9,49470.0,40700.0,434.0,407.0,121.54791154791155,18.67321867321867,76.0,26.0
85,1.0,5.0,158.0,0.9,48850.0,41300.0,434.0,413.0,118.28087167070218,17.191283292978206,71.0,28.0
23,1.0,5.0,116.0,0.92,80410.0,63600.0,434.0,636.0,126.43081761006287,17.138364779874212,109.0,7.0
26,1.0,5.0,118.0,0.92,75480.0,63900.0,434.0,639.0,118.12206572769952,17.214397496087635,110.0,8.0
47,1.0,5.0,132.0,0.92,54690.0,45200.0,434.0,452.0,120.99557522123894,17.035398230088493,77.0,15.0
71,1.0,5.0,148.0,0.92,55820.0,45000.0,434.0,450.0,124.04444444444444,16.666666666666664,75.0,23.0
285,1.0,8.0,124.0,0.85,90870.0,77400.0,434.0,774.0,117.4031007751938,16.27906976744186,126.0,11.0
306,1.0,8.0,138.0,0.85,72960.0,63100.0,434.0,631.0,115.62599049128367,18.06656101426308,114.0,18.0
309,1.0,8.0,140.0,0.85,79950.0,64700.0,434.0,647.0,123.57032457496136,17.31066460587326,112.0,19.0
333,1.0,8.0,156.0,0.85,56970.0,47600.0,434.0,476.0,119.68487394957982,17.436974789915965,83.0,27.0
351,1.0,8.0,168.0,0.85,59540.0,44600.0,434.0,446.0,133.49775784753365,20.179372197309416,90.0,33.0
354,1.0,8.0,170.0,0.85,54440.0,43500.0,434.0,435.0,125.14942528735634,18.160919540229887,79.0,34.0
363,1.0,8.0,176.0,0.85,48420.0,42000.0,434.0,420.0,115.28571428571428,16.904761904761905,71.0,37.0
366,1.0,8.0,178.0,0.85,44040.0,37000.0,434.0,370.0,119.02702702702705,18.64864864864865,69.0,38.0
369,1.0,8.0,180.0,0.85,49610.0,35500.0,434.0,355.0,139.74647887323945,21.69014084507042,77.0,39.0
372,1.0,8.0,182.0,0.85,46910.0,36400.0,434.0,364.0,128.8736263736264,20.05494505494505,73.0,40.0
375,1.0,8.0,184.0,0.85,47290.0,36600.0,434.0,366.0,129.20765027322406,19.672131147540984,72.0,41.0
301,1.0,8.0,134.0,0.9,58840.0,48200.0,434.0,482.0,122.0746887966805,17.42738589211618,84.0,16.0
310,1.0,8.0,140.0,0.9,68130.0,50800.0,434.0,508.0,134.11417322834646,18.89763779527559,96.0,19.0
