,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
5,1.0,5.0,182.0,0.85,58370.0,38500.0,434.0,385.0,151.61038961038963,20.259740259740266,78.0,-0.5483684593472181,3.328373009119769,2.780004549772551,40.0
50,3.0,8.0,186.0,0.85,56480.0,41900.0,203.0,419.0,134.79713603818615,10.501193317422434,44.0,0.6433109567764688,2.0218533476616614,2.66516430443813,42.0
63,5.0,5.0,118.0,0.92,86810.0,61500.0,296.0,615.0,141.15447154471545,11.544715447154472,71.0,0.4863408787259946,2.4657500773737486,2.952090956099743,8.0
74,6.0,8.0,166.0,0.85,71410.0,53600.0,269.0,536.0,133.22761194029852,12.126865671641792,65.0,-0.6925232487431628,1.7169022409919878,1.024378992248825,32.0
82,8.0,8.0,260.0,0.9,32310.0,24200.0,117.0,242.0,133.51239669421489,9.090909090909092,22.0,1.224744871391589,1.1965500234981035,2.4212948948896926,79.0
97,9.0,8.0,134.0,0.9,84870.0,67400.0,199.0,674.0,125.919881305638,9.495548961424332,64.0,1.5111365114170383,0.28842757148765447,1.7995640829046928,16.0
100,11.0,8.0,188.0,0.85,58090.0,48500.0,102.0,485.0,119.77319587628864,6.391752577319587,31.0,,,,43.0
174,17.0,8.0,136.0,0.85,139140.0,75400.0,83.0,754.0,184.5358090185676,5.835543766578249,44.0,3.295559795041189,2.8299767893394776,6.125536584380667,17.0
261,18.0,5.0,208.0,0.92,65390.0,34400.0,58.0,344.0,190.0872093023256,5.523255813953488,19.0,1.1547005383792546,1.766021358271034,2.9207218966502886,53.0
283,21.0,5.0,202.0,0.85,71780.0,36400.0,98.0,364.0,197.19780219780225,7.417582417582418,27.0,1.2519453320299592,2.3165581549899277,3.568503487019887,50.0
