,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1669,4.0,5.0,206.0,0.9,73880.0,55200.0,98.0,552.0,133.84057971014494,5.253623188405797,29.0,52.0
1672,4.0,5.0,208.0,0.9,78160.0,50500.0,98.0,505.0,154.77227722772278,5.544554455445545,28.0,53.0
1670,4.0,5.0,206.0,0.92,64970.0,51200.0,98.0,512.0,126.89453125,5.078125,26.0,52.0
1673,4.0,5.0,208.0,0.92,71150.0,47300.0,98.0,473.0,150.42283298097252,5.2854122621564485,25.0,53.0
2002,4.0,8.0,260.0,0.9,43490.0,32600.0,98.0,326.0,133.4049079754601,5.521472392638037,18.0,79.0
2005,4.0,8.0,262.0,0.9,40560.0,27900.0,98.0,279.0,145.3763440860215,6.093189964157706,17.0,80.0
2003,4.0,8.0,260.0,0.92,40810.0,30000.0,98.0,300.0,136.03333333333333,5.333333333333334,16.0,79.0
2006,4.0,8.0,262.0,0.92,40560.0,25900.0,98.0,259.0,156.6023166023166,6.563706563706563,17.0,80.0
2100,5.0,5.0,158.0,0.85,98570.0,81600.0,212.0,816.0,120.79656862745098,8.333333333333332,68.0,28.0
2101,5.0,5.0,158.0,0.9,89410.0,71600.0,212.0,716.0,124.87430167597766,8.798882681564246,63.0,28.0
2182,5.0,5.0,212.0,0.9,58730.0,50500.0,212.0,505.0,116.29702970297028,8.91089108910891,45.0,55.0
2185,5.0,5.0,214.0,0.9,65840.0,51400.0,212.0,514.0,128.09338521400778,9.33852140077821,48.0,56.0
2254,5.0,5.0,260.0,0.9,51280.0,43000.0,212.0,430.0,119.25581395348836,9.534883720930234,41.0,79.0
2102,5.0,5.0,158.0,0.92,79510.0,67600.0,212.0,676.0,117.61834319526628,8.431952662721894,57.0,28.0
2183,5.0,5.0,212.0,0.92,56730.0,47900.0,212.0,479.0,118.43423799582465,8.977035490605429,43.0,55.0
2186,5.0,5.0,214.0,0.92,64090.0,48300.0,212.0,483.0,132.69151138716356,9.523809523809524,46.0,56.0
2255,5.0,5.0,260.0,0.92,51280.0,39300.0,212.0,393.0,130.4834605597964,10.432569974554708,41.0,79.0
2409,5.0,8.0,196.0,0.85,86680.0,71000.0,212.0,710.0,122.08450704225352,8.169014084507042,58.0,47.0
2412,5.0,8.0,198.0,0.85,80550.0,59500.0,212.0,595.0,135.3781512605042,8.907563025210084,53.0,48.0
2430,5.0,8.0,210.0,0.85,68160.0,56900.0,212.0,569.0,119.7891036906854,8.260105448154658,47.0,54.0
2433,5.0,8.0,212.0,0.85,78980.0,62000.0,212.0,620.0,127.38709677419357,9.35483870967742,58.0,55.0
2341,5.0,8.0,150.0,0.9,96750.0,71100.0,212.0,711.0,136.0759493670886,10.126582278481012,72.0,24.0
2410,5.0,8.0,196.0,0.9,79510.0,62400.0,212.0,624.0,127.4198717948718,8.653846153846153,54.0,47.0
2413,5.0,8.0,198.0,0.9,68430.0,53000.0,212.0,530.0,129.11320754716982,8.49056603773585,45.0,48.0
2434,5.0,8.0,212.0,0.9,73320.0,53700.0,212.0,537.0,136.53631284916202,9.869646182495345,53.0,55.0
2342,5.0,8.0,150.0,0.92,95040.0,67900.0,212.0,679.0,139.9705449189985,10.309278350515465,70.0,24.0
2414,5.0,8.0,198.0,0.92,67350.0,48700.0,212.0,487.0,138.29568788501027,9.034907597535934,44.0,48.0
2653,6.0,5.0,190.0,0.9,70280.0,60900.0,204.0,609.0,115.40229885057472,9.0311986863711,55.0,44.0
4004,8.0,8.0,250.0,0.92,49680.0,40300.0,93.0,403.0,123.27543424317618,5.459057071960298,22.0,74.0
5396,11.0,8.0,170.0,0.92,80150.0,69400.0,101.0,694.0,115.4899135446686,5.187319884726225,36.0,34.0
5399,11.0,8.0,172.0,0.92,72660.0,60600.0,101.0,606.0,119.9009900990099,5.445544554455446,33.0,35.0
