,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,230.0,0.85,18640.0,15900.0,57799.0,159.0,117.23270440251572,14.465408805031446,23.0
1,2.0,8.0,106.0,0.92,23500.0,34100.0,57799.0,341.0,68.91495601173021,8.797653958944283,30.0
2,4.0,5.0,146.0,0.92,19130.0,20700.0,57799.0,207.0,92.41545893719807,9.66183574879227,20.0
3,5.0,5.0,114.0,0.85,39640.0,47500.0,57799.0,475.0,83.45263157894736,9.473684210526317,45.0
4,11.0,5.0,176.0,0.9,10020.0,18700.0,57799.0,187.0,53.58288770053476,4.81283422459893,9.0
5,17.0,5.0,252.0,0.85,11130.0,15500.0,57799.0,155.0,71.80645161290322,8.38709677419355,13.0
6,18.0,5.0,210.0,0.92,15870.0,15900.0,57799.0,159.0,99.81132075471699,7.547169811320755,12.0
7,21.0,5.0,144.0,0.92,23310.0,28800.0,57799.0,288.0,80.9375,10.416666666666668,30.0
8,22.0,5.0,218.0,0.9,16010.0,13500.0,57799.0,135.0,118.59259259259258,8.148148148148149,11.0
9,23.0,8.0,236.0,0.92,5550.0,8500.0,57799.0,85.0,65.29411764705883,8.235294117647058,7.0
10,24.0,8.0,214.0,0.92,10150.0,9300.0,57799.0,93.0,109.13978494623655,11.827956989247312,11.0
11,26.0,8.0,148.0,0.92,5840.0,14600.0,57799.0,146.0,40.0,4.10958904109589,6.0
12,27.0,8.0,182.0,0.92,5200.0,9900.0,57799.0,99.0,52.52525252525253,4.040404040404041,4.0
