,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,230.0,0.85,44880.0,31000.0,314.0,310.0,144.7741935483871,15.806451612903224,49.0
1,2.0,8.0,106.0,0.92,74120.0,64300.0,232.0,643.0,115.27216174183515,10.88646967340591,70.0
2,4.0,5.0,146.0,0.92,51030.0,40500.0,126.0,405.0,126.0,5.679012345679013,23.0
3,5.0,5.0,114.0,0.85,131760.0,99100.0,266.0,991.0,132.95660948536832,9.889001009081735,98.0
4,11.0,5.0,176.0,0.9,83620.0,36700.0,93.0,367.0,227.8474114441417,7.084468664850137,26.0
5,17.0,5.0,252.0,0.85,43090.0,31700.0,69.0,317.0,135.93059936908517,7.570977917981073,24.0
6,18.0,5.0,210.0,0.92,61500.0,30700.0,54.0,307.0,200.3257328990228,6.514657980456026,20.0
7,21.0,5.0,144.0,0.92,73630.0,56500.0,101.0,565.0,130.31858407079648,5.132743362831858,29.0
8,22.0,5.0,218.0,0.9,32120.0,24900.0,75.0,249.0,128.99598393574297,5.622489959839357,14.0
9,23.0,8.0,236.0,0.92,23520.0,19800.0,63.0,198.0,118.7878787878788,5.555555555555555,11.0
10,24.0,8.0,214.0,0.92,40720.0,19800.0,45.0,198.0,205.65656565656565,6.0606060606060606,12.0
11,26.0,8.0,148.0,0.92,90860.0,28900.0,46.0,289.0,314.39446366782005,7.26643598615917,21.0
12,27.0,8.0,182.0,0.92,58540.0,18400.0,35.0,184.0,318.15217391304344,5.978260869565218,11.0
