,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
9,1.0,5.0,108.0,0.85,112360.0,97600.0,314.0,976.0,115.12295081967213,12.807377049180326,125.0,3.0
30,1.0,5.0,122.0,0.85,103860.0,87200.0,314.0,872.0,119.10550458715596,12.385321100917432,108.0,10.0
33,1.0,5.0,124.0,0.85,103740.0,82100.0,314.0,821.0,126.35809987819732,13.763702801461632,113.0,11.0
39,1.0,5.0,128.0,0.85,91370.0,79300.0,314.0,793.0,115.22068095838588,12.862547288776796,102.0,13.0
60,1.0,5.0,142.0,0.85,86710.0,72300.0,314.0,723.0,119.93084370677732,13.55463347164592,98.0,20.0
66,1.0,5.0,146.0,0.85,83340.0,68500.0,314.0,685.0,121.66423357664232,13.138686131386862,90.0,22.0
81,1.0,5.0,156.0,0.85,75630.0,56900.0,314.0,569.0,132.91739894551847,14.938488576449911,85.0,27.0
111,1.0,5.0,176.0,0.85,52900.0,45400.0,314.0,454.0,116.51982378854626,14.537444933920703,66.0,37.0
117,1.0,5.0,180.0,0.85,42450.0,35700.0,314.0,357.0,118.90756302521008,14.565826330532214,52.0,39.0
147,1.0,5.0,200.0,0.85,54570.0,42500.0,314.0,425.0,128.4,14.823529411764705,63.0,49.0
150,1.0,5.0,202.0,0.85,43240.0,35600.0,314.0,356.0,121.46067415730336,13.48314606741573,48.0,50.0
189,1.0,5.0,228.0,0.85,37260.0,31500.0,314.0,315.0,118.28571428571428,15.555555555555555,49.0,63.0
192,1.0,5.0,230.0,0.85,44880.0,31000.0,314.0,310.0,144.7741935483871,15.806451612903224,49.0,64.0
10,1.0,5.0,108.0,0.9,96230.0,81200.0,314.0,812.0,118.50985221674875,13.30049261083744,108.0,3.0
31,1.0,5.0,122.0,0.9,83880.0,70000.0,314.0,700.0,119.82857142857142,13.142857142857142,92.0,10.0
34,1.0,5.0,124.0,0.9,84960.0,65900.0,314.0,659.0,128.9226100151745,14.56752655538695,96.0,11.0
46,1.0,5.0,132.0,0.9,82390.0,65500.0,314.0,655.0,125.78625954198472,13.740458015267176,90.0,15.0
49,1.0,5.0,134.0,0.9,71670.0,60600.0,314.0,606.0,118.26732673267328,13.2013201320132,80.0,16.0
52,1.0,5.0,136.0,0.9,74150.0,63800.0,314.0,638.0,116.22257053291536,13.79310344827586,88.0,17.0
