,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,109640.0,107100.0,314.0,1071.0,102.37161531279177,11.858076563958916,127.0
1,1.0,5.0,102.0,0.9,94680.0,86500.0,314.0,865.0,109.45664739884393,12.716763005780345,110.0
2,1.0,5.0,102.0,0.92,84460.0,77600.0,314.0,776.0,108.840206185567,13.27319587628866,103.0
3,1.0,5.0,104.0,0.85,112950.0,107900.0,314.0,1079.0,104.6802594995366,12.32622798887859,133.0
4,1.0,5.0,104.0,0.9,92590.0,86000.0,314.0,860.0,107.66279069767441,12.906976744186046,111.0
5,1.0,5.0,104.0,0.92,87480.0,77900.0,314.0,779.0,112.29781771501925,13.478818998716303,105.0
6,1.0,5.0,106.0,0.85,113080.0,105800.0,314.0,1058.0,106.88090737240074,12.003780718336483,127.0
7,1.0,5.0,106.0,0.9,87900.0,83900.0,314.0,839.0,104.76758045292014,12.038140643623361,101.0
8,1.0,5.0,106.0,0.92,82010.0,75100.0,314.0,751.0,109.20106524633822,12.383488681757656,93.0
9,1.0,5.0,108.0,0.85,112360.0,97600.0,314.0,976.0,115.12295081967213,12.807377049180326,125.0
10,1.0,5.0,108.0,0.9,96230.0,81200.0,314.0,812.0,118.50985221674877,13.30049261083744,108.0
11,1.0,5.0,108.0,0.92,87770.0,72600.0,314.0,726.0,120.8953168044077,13.774104683195592,100.0
12,1.0,5.0,110.0,0.85,110410.0,101500.0,314.0,1015.0,108.77832512315271,11.921182266009852,121.0
13,1.0,5.0,110.0,0.9,92720.0,82200.0,314.0,822.0,112.79805352798053,12.895377128953772,106.0
14,1.0,5.0,110.0,0.92,81700.0,72300.0,314.0,723.0,113.00138312586445,13.831258644536653,100.0
15,1.0,5.0,112.0,0.85,90390.0,96500.0,314.0,965.0,93.66839378238342,10.880829015544041,105.0
16,1.0,5.0,112.0,0.9,68010.0,78600.0,314.0,786.0,86.52671755725191,10.687022900763358,84.0
17,1.0,5.0,112.0,0.92,56270.0,68900.0,314.0,689.0,81.66908563134979,10.88534107402032,75.0
18,1.0,5.0,114.0,0.85,110520.0,89400.0,314.0,894.0,123.6241610738255,12.751677852348994,114.0
19,1.0,5.0,114.0,0.9,92460.0,71200.0,314.0,712.0,129.85955056179773,13.06179775280899,93.0
20,1.0,5.0,114.0,0.92,89030.0,63900.0,314.0,639.0,139.32707355242567,13.928012519561817,89.0
21,1.0,5.0,116.0,0.85,97830.0,96300.0,314.0,963.0,101.58878504672897,12.357217030114226,119.0
22,1.0,5.0,116.0,0.9,79470.0,79900.0,314.0,799.0,99.46182728410513,12.265331664580724,98.0
23,1.0,5.0,116.0,0.92,71140.0,70400.0,314.0,704.0,101.05113636363636,12.784090909090908,90.0
