,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
12,1.0,5.0,230.0,0.85,44880.0,31000.0,314.0,310.0,144.7741935483871,15.806451612903224,49.0,-1.521190962501335,4.402635791799771,2.881444829298436,64.0
59,2.0,8.0,106.0,0.92,74120.0,64300.0,232.0,643.0,115.27216174183516,10.88646967340591,70.0,,,,2.0
62,4.0,5.0,146.0,0.92,51030.0,40500.0,126.0,405.0,126.0,5.679012345679013,23.0,-0.7276068751089989,1.2677493727391813,0.5401424976301824,22.0
64,5.0,5.0,114.0,0.85,131760.0,99100.0,266.0,991.0,132.95660948536832,9.889001009081737,98.0,2.0578065752724592,1.000673766386521,3.0584803416589805,6.0
125,11.0,5.0,176.0,0.9,83620.0,36700.0,93.0,367.0,227.8474114441417,7.084468664850137,26.0,1.0467882686292582,2.4330168577253817,3.47980512635464,37.0
262,17.0,5.0,252.0,0.85,43090.0,31700.0,69.0,317.0,135.93059936908517,7.570977917981073,24.0,1.102356509219101,1.653779620728898,2.7561361299479987,75.0
295,18.0,5.0,210.0,0.92,61500.0,30700.0,54.0,307.0,200.3257328990228,6.514657980456026,20.0,1.9540245305029578,1.159741273783621,3.1137658042865786,54.0
343,21.0,5.0,144.0,0.92,73630.0,56500.0,101.0,565.0,130.31858407079648,5.132743362831858,29.0,1.0,1.0,2.0,21.0
344,22.0,5.0,218.0,0.9,32120.0,24900.0,75.0,249.0,128.99598393574297,5.622489959839357,14.0,,,,58.0
345,23.0,8.0,236.0,0.92,23520.0,19800.0,63.0,198.0,118.7878787878788,5.555555555555555,11.0,,,,67.0
352,24.0,8.0,214.0,0.92,40720.0,19800.0,45.0,198.0,205.65656565656565,6.0606060606060606,12.0,-0.3638034375544997,1.8560516247382088,1.4922481871837092,56.0
579,26.0,8.0,148.0,0.92,90860.0,28900.0,46.0,289.0,314.39446366782005,7.26643598615917,21.0,1.7042362594284397,2.85872153197253,4.56295779140097,23.0
635,27.0,8.0,182.0,0.92,58540.0,18400.0,35.0,184.0,318.15217391304344,5.978260869565218,11.0,0.6767155423319643,2.991803663505516,3.6685192058374803,40.0
