,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,106.0,0.9,51930.0,40500.0,64454.0,405.0,128.22222222222223,10.123456790123457,41.0
1,2.0,5.0,224.0,0.9,23210.0,17600.0,64454.0,176.0,131.875,9.090909090909092,16.0
2,3.0,8.0,264.0,0.85,17490.0,14800.0,64454.0,148.0,118.17567567567568,10.135135135135135,15.0
3,4.0,8.0,160.0,0.9,33460.0,27000.0,64454.0,270.0,123.92592592592592,8.518518518518519,23.0
4,7.0,8.0,138.0,0.85,24240.0,33600.0,64454.0,336.0,72.14285714285714,7.738095238095238,26.0
5,8.0,5.0,250.0,0.9,21470.0,15300.0,64454.0,153.0,140.3267973856209,9.15032679738562,14.0
6,9.0,5.0,224.0,0.9,17890.0,17800.0,64454.0,178.0,100.50561797752809,7.865168539325842,14.0
7,11.0,5.0,246.0,0.85,10140.0,14300.0,64454.0,143.0,70.9090909090909,4.895104895104895,7.0
8,12.0,8.0,184.0,0.92,22910.0,12400.0,64454.0,124.0,184.75806451612902,8.870967741935484,11.0
9,16.0,5.0,176.0,0.92,20030.0,22900.0,64454.0,229.0,87.46724890829695,6.550218340611353,15.0
10,17.0,5.0,246.0,0.9,10620.0,9200.0,64454.0,92.0,115.43478260869566,8.695652173913043,8.0
11,21.0,8.0,160.0,0.9,30410.0,23000.0,64454.0,230.0,132.2173913043478,10.434782608695652,24.0
