,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,106.0,0.9,98850.0,76500.0,258.0,765.0,129.2156862745098,12.287581699346404,94.0
1,2.0,5.0,224.0,0.9,42880.0,33200.0,208.0,332.0,129.15662650602408,12.650602409638553,42.0
2,3.0,8.0,264.0,0.85,59440.0,33200.0,124.0,332.0,179.03614457831324,7.530120481927711,25.0
3,4.0,8.0,160.0,0.9,92660.0,61800.0,119.0,618.0,149.93527508090614,7.443365695792881,46.0
4,7.0,8.0,138.0,0.85,99570.0,64000.0,134.0,640.0,155.578125,5.78125,37.0
5,8.0,5.0,250.0,0.9,32800.0,24000.0,105.0,240.0,136.66666666666666,6.666666666666667,16.0
6,9.0,5.0,224.0,0.9,48250.0,36400.0,140.0,364.0,132.55494505494505,9.065934065934066,33.0
7,11.0,5.0,246.0,0.85,39080.0,27100.0,93.0,271.0,144.20664206642067,6.642066420664207,18.0
8,12.0,8.0,184.0,0.92,34880.0,29200.0,93.0,292.0,119.45205479452055,5.821917808219178,17.0
9,16.0,5.0,176.0,0.92,117710.0,39400.0,58.0,394.0,298.75634517766497,5.0761421319796955,20.0
10,17.0,5.0,246.0,0.9,51000.0,23200.0,50.0,232.0,219.82758620689654,6.4655172413793105,15.0
11,21.0,8.0,160.0,0.9,72380.0,50100.0,103.0,501.0,144.47105788423153,5.788423153692615,29.0
