,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
54,1.0,5.0,138.0,0.85,93030.0,79200.0,258.0,792.0,117.4621212121212,10.353535353535351,82.0,18.0
81,1.0,5.0,156.0,0.85,59580.0,51500.0,258.0,515.0,115.68932038834951,10.87378640776699,56.0,27.0
84,1.0,5.0,158.0,0.85,61690.0,52900.0,258.0,529.0,116.61625708884688,10.207939508506616,54.0,28.0
87,1.0,5.0,160.0,0.85,72170.0,52600.0,258.0,526.0,137.20532319391634,11.216730038022812,59.0,29.0
114,1.0,5.0,178.0,0.85,59290.0,45400.0,258.0,454.0,130.59471365638765,11.013215859030836,50.0,38.0
159,1.0,5.0,208.0,0.85,55590.0,42500.0,258.0,425.0,130.8,11.529411764705882,49.0,53.0
61,1.0,5.0,142.0,0.9,54760.0,47300.0,258.0,473.0,115.77167019027485,10.14799154334038,48.0,20.0
82,1.0,5.0,156.0,0.9,49800.0,39600.0,258.0,396.0,125.75757575757576,11.363636363636363,45.0,27.0
88,1.0,5.0,160.0,0.9,52660.0,41700.0,258.0,417.0,126.28297362110312,10.79136690647482,45.0,29.0
91,1.0,5.0,162.0,0.9,48150.0,41700.0,258.0,417.0,115.46762589928056,9.832134292565948,41.0,30.0
258,1.0,8.0,106.0,0.85,119620.0,96800.0,258.0,968.0,123.57438016528926,11.363636363636363,110.0,2.0
264,1.0,8.0,110.0,0.85,103970.0,89100.0,258.0,891.0,116.68911335578002,10.549943883277216,94.0,4.0
312,1.0,8.0,142.0,0.85,77980.0,56900.0,258.0,569.0,137.04745166959577,11.423550087873462,65.0,20.0
318,1.0,8.0,146.0,0.85,59800.0,50000.0,258.0,500.0,119.6,9.4,47.0,22.0
321,1.0,8.0,148.0,0.85,77730.0,63200.0,258.0,632.0,122.99050632911391,10.917721518987342,69.0,23.0
324,1.0,8.0,150.0,0.85,63480.0,53500.0,258.0,535.0,118.65420560747664,11.02803738317757,59.0,24.0
348,1.0,8.0,166.0,0.85,58970.0,50100.0,258.0,501.0,117.70459081836326,10.57884231536926,53.0,32.0
351,1.0,8.0,168.0,0.85,50690.0,43600.0,258.0,436.0,116.26146788990826,10.77981651376147,47.0,33.0
390,1.0,8.0,194.0,0.85,40360.0,34100.0,258.0,341.0,118.35777126099708,11.436950146627565,39.0,46.0
259,1.0,8.0,106.0,0.9,98850.0,76500.0,258.0,765.0,129.2156862745098,12.287581699346404,94.0,2.0
265,1.0,8.0,110.0,0.9,89740.0,74500.0,258.0,745.0,120.45637583892616,10.604026845637584,79.0,4.0
322,1.0,8.0,148.0,0.9,56670.0,49000.0,258.0,490.0,115.6530612244898,10.408163265306122,51.0,23.0
325,1.0,8.0,150.0,0.9,49620.0,40900.0,258.0,409.0,121.320293398533,11.246943765281172,46.0,24.0
349,1.0,8.0,166.0,0.9,50330.0,39900.0,258.0,399.0,126.14035087719296,11.278195488721805,45.0,32.0
352,1.0,8.0,168.0,0.9,40680.0,33100.0,258.0,331.0,122.90030211480362,12.084592145015106,40.0,33.0
