,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
19,1.0,8.0,106.0,0.9,98850.0,76500.0,258.0,765.0,129.2156862745098,12.287581699346404,94.0,1.8231538627206414,0.9998193112745771,2.8229731739952184,2.0
27,2.0,5.0,224.0,0.9,42880.0,33200.0,208.0,332.0,129.15662650602408,12.650602409638552,42.0,-0.6620847108818947,1.6659254459582893,1.0038407350763947,61.0
73,3.0,8.0,264.0,0.85,59440.0,33200.0,124.0,332.0,179.03614457831324,7.530120481927711,25.0,-0.6088858281301551,4.695666023947988,4.086780195817832,81.0
112,4.0,8.0,160.0,0.9,92660.0,61800.0,119.0,618.0,149.93527508090614,7.443365695792881,46.0,0.8171201773313655,3.497254881524153,4.314375058855519,29.0
129,7.0,8.0,138.0,0.85,99570.0,64000.0,134.0,640.0,155.578125,5.78125,37.0,0.19479141780486223,2.4126691113696452,2.6074605291745074,18.0
137,8.0,5.0,250.0,0.9,32800.0,24000.0,105.0,240.0,136.66666666666666,6.666666666666667,16.0,-1.0690449676496967,1.409584178578271,0.3405392109285743,74.0
141,9.0,5.0,224.0,0.9,48250.0,36400.0,140.0,364.0,132.55494505494505,9.065934065934066,33.0,0.6834861261734091,0.4750303305245423,1.1585164566979513,61.0
145,11.0,5.0,246.0,0.85,39080.0,27100.0,93.0,271.0,144.20664206642067,6.642066420664207,18.0,1.3416407864998738,2.0527193001719177,3.3943600866717913,72.0
155,12.0,8.0,184.0,0.92,34880.0,29200.0,93.0,292.0,119.45205479452056,5.821917808219178,17.0,,,,41.0
167,16.0,5.0,176.0,0.92,117710.0,39400.0,58.0,394.0,298.75634517766497,5.076142131979696,20.0,1.7775810980614037,1.0246828641719734,2.8022639622333774,37.0
192,17.0,5.0,246.0,0.9,51000.0,23200.0,50.0,232.0,219.8275862068965,6.465517241379311,15.0,0.6354708317591973,3.06396243918689,3.6994332709460873,72.0
234,21.0,8.0,160.0,0.9,72380.0,50100.0,103.0,501.0,144.47105788423153,5.788423153692615,29.0,1.114740803426308,1.2644769707007484,2.3792177741270564,29.0
