,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
96,1.0,5.0,166.0,0.85,49320.0,42600.0,204.0,426.0,115.77464788732397,10.56338028169014,45.0,32.0
231,1.0,5.0,256.0,0.85,32820.0,26000.0,204.0,260.0,126.23076923076924,11.923076923076923,31.0,77.0
234,1.0,5.0,258.0,0.85,33520.0,27600.0,204.0,276.0,121.44927536231884,11.594202898550725,32.0,78.0
94,1.0,5.0,164.0,0.9,47540.0,37900.0,204.0,379.0,125.4353562005277,10.817941952506596,41.0,31.0
109,1.0,5.0,174.0,0.9,54820.0,43000.0,204.0,430.0,127.48837209302326,11.16279069767442,48.0,36.0
118,1.0,5.0,180.0,0.9,39240.0,31600.0,204.0,316.0,124.1772151898734,10.759493670886076,34.0,39.0
44,1.0,5.0,130.0,0.92,63840.0,52900.0,204.0,529.0,120.68052930056712,10.58601134215501,56.0,14.0
89,1.0,5.0,160.0,0.92,39560.0,33900.0,204.0,339.0,116.69616519174042,10.619469026548671,36.0,29.0
95,1.0,5.0,164.0,0.92,43540.0,32900.0,204.0,329.0,132.3404255319149,10.94224924012158,36.0,31.0
110,1.0,5.0,174.0,0.92,49390.0,37300.0,204.0,373.0,132.41286863270778,12.064343163538874,45.0,36.0
333,1.0,8.0,156.0,0.85,58320.0,50000.0,204.0,500.0,116.64,9.4,47.0,27.0
348,1.0,8.0,166.0,0.85,50110.0,40100.0,204.0,401.0,124.96259351620948,10.723192019950124,43.0,32.0
360,1.0,8.0,174.0,0.85,57200.0,49700.0,204.0,497.0,115.09054325955734,9.859154929577464,49.0,36.0
363,1.0,8.0,176.0,0.85,41890.0,36400.0,204.0,364.0,115.08241758241758,9.89010989010989,36.0,37.0
366,1.0,8.0,178.0,0.85,47620.0,38800.0,204.0,388.0,122.7319587628866,10.051546391752575,39.0,38.0
417,1.0,8.0,212.0,0.85,35630.0,30000.0,204.0,300.0,118.76666666666668,11.0,33.0,55.0
283,1.0,8.0,122.0,0.9,61930.0,53400.0,204.0,534.0,115.97378277153558,10.112359550561797,54.0,10.0
331,1.0,8.0,154.0,0.9,55390.0,44500.0,204.0,445.0,124.47191011235954,11.46067415730337,51.0,26.0
349,1.0,8.0,166.0,0.9,40060.0,31000.0,204.0,310.0,129.2258064516129,10.64516129032258,33.0,32.0
358,1.0,8.0,172.0,0.9,39580.0,32100.0,204.0,321.0,123.30218068535824,10.59190031152648,34.0,35.0
361,1.0,8.0,174.0,0.9,51060.0,40400.0,204.0,404.0,126.3861386138614,10.643564356435643,43.0,36.0
281,1.0,8.0,120.0,0.92,66640.0,56600.0,204.0,566.0,117.73851590106008,9.89399293286219,56.0,9.0
347,1.0,8.0,164.0,0.92,40170.0,33400.0,204.0,334.0,120.26946107784433,11.077844311377245,37.0,31.0
359,1.0,8.0,172.0,0.92,35730.0,28700.0,204.0,287.0,124.49477351916376,11.149825783972126,32.0,35.0
362,1.0,8.0,174.0,0.92,46710.0,35600.0,204.0,356.0,131.20786516853934,10.674157303370784,38.0,36.0
1155,3.0,5.0,200.0,0.85,49210.0,41900.0,125.0,419.0,117.44630071599045,7.875894988066825,33.0,49.0
1164,3.0,5.0,206.0,0.85,48850.0,41500.0,125.0,415.0,117.71084337349396,7.228915662650602,30.0,52.0
1167,3.0,5.0,208.0,0.85,52250.0,44200.0,125.0,442.0,118.21266968325791,7.6923076923076925,34.0,53.0
1236,3.0,5.0,254.0,0.85,41340.0,31900.0,125.0,319.0,129.5924764890282,8.77742946708464,28.0,76.0
1239,3.0,5.0,256.0,0.85,39040.0,30400.0,125.0,304.0,128.42105263157896,8.223684210526317,25.0,77.0
1242,3.0,5.0,258.0,0.85,33360.0,27300.0,125.0,273.0,122.1978021978022,8.058608058608058,22.0,78.0
1219,3.0,5.0,242.0,0.9,44560.0,32800.0,125.0,328.0,135.8536585365854,7.926829268292683,26.0,70.0
1166,3.0,5.0,206.0,0.92,35090.0,29700.0,125.0,297.0,118.14814814814817,8.080808080808081,24.0,52.0
1169,3.0,5.0,208.0,0.92,39430.0,31700.0,125.0,317.0,124.38485804416403,8.201892744479496,26.0,53.0
1503,3.0,8.0,264.0,0.85,36880.0,25200.0,125.0,252.0,146.34920634920633,10.317460317460316,26.0,81.0
1292,3.0,8.0,122.0,0.92,88010.0,76200.0,125.0,762.0,115.498687664042,7.086614173228346,54.0,10.0
1698,4.0,5.0,226.0,0.85,49630.0,39100.0,106.0,391.0,126.9309462915601,5.115089514066496,20.0,62.0
1701,4.0,5.0,228.0,0.85,44120.0,34300.0,106.0,343.0,128.62973760932945,5.539358600583091,19.0,63.0
1707,4.0,5.0,232.0,0.85,40670.0,33100.0,106.0,331.0,122.8700906344411,5.438066465256798,18.0,65.0
1710,4.0,5.0,234.0,0.85,49660.0,34600.0,106.0,346.0,143.52601156069363,5.491329479768786,19.0,66.0
1929,4.0,8.0,212.0,0.85,64590.0,41600.0,106.0,416.0,155.26442307692307,6.009615384615385,25.0,55.0
1932,4.0,8.0,214.0,0.85,58090.0,37600.0,106.0,376.0,154.49468085106383,6.117021276595745,23.0,56.0
1858,4.0,8.0,164.0,0.9,79480.0,54700.0,106.0,547.0,145.30164533820843,5.301645338208409,29.0,31.0
1861,4.0,8.0,166.0,0.9,53210.0,44900.0,106.0,449.0,118.50779510022272,5.122494432071269,23.0,32.0
2618,6.0,5.0,166.0,0.92,52710.0,38000.0,121.0,380.0,138.71052631578948,7.894736842105263,30.0,32.0
