,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,200.0,0.85,19680.0,15300.0,65412.0,153.0,128.62745098039215,17.647058823529413,27.0
1,2.0,5.0,192.0,0.85,24890.0,17200.0,65412.0,172.0,144.7093023255814,15.11627906976744,26.0
2,3.0,5.0,244.0,0.9,6700.0,12600.0,65412.0,126.0,53.17460317460318,6.349206349206349,8.0
3,4.0,5.0,174.0,0.85,15330.0,25600.0,65412.0,256.0,59.88281250000001,6.25,16.0
4,6.0,5.0,202.0,0.85,15760.0,16000.0,65412.0,160.0,98.5,8.125,13.0
5,7.0,5.0,220.0,0.9,12740.0,12800.0,65412.0,128.0,99.53125,11.71875,15.0
6,9.0,5.0,176.0,0.92,13590.0,16100.0,65412.0,161.0,84.40993788819875,7.453416149068323,12.0
7,10.0,5.0,114.0,0.92,37220.0,37500.0,65412.0,375.0,99.25333333333334,8.799999999999999,33.0
8,11.0,5.0,226.0,0.92,5510.0,12200.0,65412.0,122.0,45.16393442622951,4.098360655737705,5.0
9,17.0,8.0,144.0,0.9,27630.0,27400.0,65412.0,274.0,100.83941605839416,6.569343065693431,18.0
