,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,200.0,0.85,44300.0,35300.0,316.0,353.0,125.4957507082153,15.29745042492918,54.0
1,2.0,5.0,192.0,0.85,59170.0,42700.0,226.0,427.0,138.57142857142856,13.114754098360656,56.0
2,3.0,5.0,244.0,0.9,38070.0,29100.0,169.0,291.0,130.82474226804123,9.278350515463918,27.0
3,4.0,5.0,174.0,0.85,74420.0,53100.0,156.0,531.0,140.15065913370998,7.721280602636535,41.0
4,6.0,5.0,202.0,0.85,59790.0,31900.0,197.0,319.0,187.4294670846395,10.9717868338558,35.0
5,7.0,5.0,220.0,0.9,37110.0,27900.0,124.0,279.0,133.01075268817203,9.31899641577061,26.0
6,9.0,5.0,176.0,0.92,48590.0,35800.0,164.0,358.0,135.72625698324023,8.100558659217876,29.0
7,10.0,5.0,114.0,0.92,97730.0,81900.0,149.0,819.0,119.32844932844932,7.448107448107448,61.0
8,11.0,5.0,226.0,0.92,45040.0,29300.0,99.0,293.0,153.7201365187713,8.873720136518772,26.0
9,17.0,8.0,144.0,0.9,100070.0,54300.0,91.0,543.0,184.29097605893185,7.366482504604052,40.0
