,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
949,2.0,8.0,230.0,0.9,72850.0,62200.0,226.0,622.0,117.12218649517683,10.45016077170418,65.0,64.0
950,2.0,8.0,230.0,0.92,68560.0,59200.0,226.0,592.0,115.81081081081082,10.304054054054054,61.0,64.0
1173,3.0,5.0,212.0,0.85,107650.0,89800.0,169.0,898.0,119.87750556792874,7.015590200445435,63.0,55.0
1147,3.0,5.0,194.0,0.9,100720.0,85200.0,169.0,852.0,118.21596244131456,6.455399061032864,55.0,46.0
1237,3.0,5.0,254.0,0.9,65470.0,56200.0,169.0,562.0,116.4946619217082,7.651245551601423,43.0,76.0
1437,3.0,8.0,220.0,0.85,84810.0,71500.0,169.0,715.0,118.6153846153846,6.713286713286713,48.0,59.0
1440,3.0,8.0,222.0,0.85,107490.0,72400.0,169.0,724.0,148.4668508287293,7.596685082872928,55.0,60.0
1438,3.0,8.0,220.0,0.9,74450.0,64200.0,169.0,642.0,115.96573208722742,6.5420560747663545,42.0,59.0
1441,3.0,8.0,222.0,0.9,84000.0,64000.0,169.0,640.0,131.25,7.8125,50.0,60.0
1442,3.0,8.0,222.0,0.92,83150.0,60500.0,169.0,605.0,137.43801652892563,8.099173553719009,49.0,60.0
1548,4.0,5.0,126.0,0.85,148570.0,109200.0,156.0,1092.0,136.05311355311355,5.402930402930403,59.0,12.0
1668,4.0,5.0,206.0,0.85,89560.0,75200.0,156.0,752.0,119.09574468085108,5.585106382978723,42.0,52.0
1549,4.0,5.0,126.0,0.9,133140.0,97700.0,156.0,977.0,136.27430910951895,5.322415557830093,52.0,12.0
1603,4.0,5.0,162.0,0.9,92540.0,76200.0,156.0,762.0,121.44356955380576,6.036745406824147,46.0,30.0
1606,4.0,5.0,164.0,0.9,92660.0,80200.0,156.0,802.0,115.53615960099752,5.361596009975062,43.0,31.0
1669,4.0,5.0,206.0,0.9,78950.0,65700.0,156.0,657.0,120.16742770167428,5.631659056316591,37.0,52.0
1675,4.0,5.0,210.0,0.9,72780.0,61500.0,156.0,615.0,118.34146341463412,5.365853658536586,33.0,54.0
1550,4.0,5.0,126.0,0.92,124510.0,92600.0,156.0,926.0,134.4600431965443,5.291576673866091,49.0,12.0
1604,4.0,5.0,162.0,0.92,83890.0,71100.0,156.0,711.0,117.9887482419128,6.047819971870605,43.0,30.0
1643,4.0,5.0,188.0,0.92,85660.0,73800.0,156.0,738.0,116.07046070460704,5.420054200542006,40.0,43.0
1670,4.0,5.0,206.0,0.92,73400.0,59700.0,156.0,597.0,122.94807370184256,5.527638190954774,33.0,52.0
1673,4.0,5.0,208.0,0.92,58150.0,48600.0,156.0,486.0,119.65020576131688,6.172839506172839,30.0,53.0
1902,4.0,8.0,194.0,0.85,95230.0,77800.0,156.0,778.0,122.40359897172236,6.169665809768637,48.0,46.0
1908,4.0,8.0,198.0,0.85,92470.0,73400.0,156.0,734.0,125.9809264305177,5.858310626702997,43.0,48.0
1926,4.0,8.0,210.0,0.85,78620.0,67800.0,156.0,678.0,115.95870206489676,6.047197640117994,41.0,54.0
1929,4.0,8.0,212.0,0.85,81500.0,70600.0,156.0,706.0,115.43909348441926,5.6657223796034,40.0,55.0
2007,4.0,8.0,264.0,0.85,67680.0,52500.0,156.0,525.0,128.9142857142857,5.904761904761905,31.0,81.0
1789,4.0,8.0,118.0,0.9,149590.0,122700.0,156.0,1227.0,121.91524042379788,5.378973105134474,66.0,8.0
1930,4.0,8.0,212.0,0.9,77410.0,60900.0,156.0,609.0,127.11001642036123,6.239737274220033,38.0,55.0
2008,4.0,8.0,264.0,0.9,53410.0,44300.0,156.0,443.0,120.56433408577878,5.643340857787811,25.0,81.0
1790,4.0,8.0,118.0,0.92,137240.0,114500.0,156.0,1145.0,119.86026200873364,5.327510917030567,61.0,8.0
1904,4.0,8.0,194.0,0.92,86440.0,63800.0,156.0,638.0,135.4858934169279,6.583072100313479,42.0,46.0
1928,4.0,8.0,210.0,0.92,63320.0,53800.0,156.0,538.0,117.69516728624536,5.762081784386617,31.0,54.0
1931,4.0,8.0,212.0,0.92,74130.0,57100.0,156.0,571.0,129.8248686514886,6.129597197898424,35.0,55.0
2030,5.0,5.0,110.0,0.92,127570.0,110700.0,240.0,1107.0,115.2393857271906,8.039747064137307,89.0,4.0
2538,6.0,5.0,114.0,0.85,164840.0,137200.0,197.0,1372.0,120.1457725947522,6.778425655976676,93.0,6.0
2577,6.0,5.0,140.0,0.85,117310.0,94500.0,197.0,945.0,124.13756613756615,7.6190476190476195,72.0,19.0
2646,6.0,5.0,186.0,0.85,99050.0,79300.0,197.0,793.0,124.90542244640604,7.566204287515762,60.0,42.0
2718,6.0,5.0,234.0,0.85,84880.0,65800.0,197.0,658.0,128.9969604863222,6.231003039513678,41.0,66.0
2733,6.0,5.0,244.0,0.85,70460.0,56400.0,197.0,564.0,124.9290780141844,7.446808510638298,42.0,71.0
2536,6.0,5.0,112.0,0.9,136590.0,118500.0,197.0,1185.0,115.26582278481013,7.088607594936709,84.0,5.0
2539,6.0,5.0,114.0,0.9,148870.0,124800.0,197.0,1248.0,119.28685897435898,6.810897435897435,85.0,6.0
2578,6.0,5.0,140.0,0.9,107720.0,82400.0,197.0,824.0,130.72815533980582,8.13106796116505,67.0,19.0
2647,6.0,5.0,186.0,0.9,90590.0,69900.0,197.0,699.0,129.59942775393418,7.725321888412018,54.0,42.0
2716,6.0,5.0,232.0,0.9,77870.0,64000.0,197.0,640.0,121.671875,7.34375,47.0,65.0
2719,6.0,5.0,234.0,0.9,79330.0,56800.0,197.0,568.0,139.6654929577465,6.161971830985916,35.0,66.0
2540,6.0,5.0,114.0,0.92,144990.0,118200.0,197.0,1182.0,122.66497461928934,6.937394247038917,82.0,6.0
2579,6.0,5.0,140.0,0.92,101120.0,77100.0,197.0,771.0,131.15434500648507,7.652399481193256,59.0,19.0
2648,6.0,5.0,186.0,0.92,80160.0,63900.0,197.0,639.0,125.44600938967136,7.82472613458529,50.0,42.0
2717,6.0,5.0,232.0,0.92,75290.0,59600.0,197.0,596.0,126.3255033557047,7.550335570469799,45.0,65.0
2720,6.0,5.0,234.0,0.92,78220.0,52400.0,197.0,524.0,149.27480916030532,6.297709923664121,33.0,66.0
2901,6.0,8.0,188.0,0.85,90560.0,74900.0,197.0,749.0,120.9078771695594,7.74365821094793,58.0,43.0
3018,6.0,8.0,266.0,0.85,58040.0,49300.0,197.0,493.0,117.72819472616634,8.113590263691684,40.0,82.0
2842,6.0,8.0,148.0,0.9,114820.0,90100.0,197.0,901.0,127.4361820199778,7.769145394006658,70.0,23.0
2845,6.0,8.0,150.0,0.9,109900.0,91500.0,197.0,915.0,120.10928961748635,6.557377049180328,60.0,24.0
2899,6.0,8.0,186.0,0.9,81820.0,68100.0,197.0,681.0,120.1468428781204,6.901615271659324,47.0,42.0
2902,6.0,8.0,188.0,0.9,80910.0,64900.0,197.0,649.0,124.66872110939909,7.858243451463791,51.0,43.0
2947,6.0,8.0,218.0,0.9,72210.0,55600.0,197.0,556.0,129.87410071942446,8.093525179856115,45.0,58.0
3019,6.0,8.0,266.0,0.9,50810.0,42200.0,197.0,422.0,120.40284360189573,8.530805687203792,36.0,82.0
2780,6.0,8.0,106.0,0.92,140750.0,119600.0,197.0,1196.0,117.68394648829432,7.608695652173914,91.0,2.0
2843,6.0,8.0,148.0,0.92,112500.0,84500.0,197.0,845.0,133.1360946745562,7.928994082840236,67.0,23.0
2900,6.0,8.0,186.0,0.92,81120.0,63100.0,197.0,631.0,128.5578446909667,7.290015847860539,46.0,42.0
2903,6.0,8.0,188.0,0.92,77300.0,60200.0,197.0,602.0,128.40531561461793,8.13953488372093,49.0,43.0
3020,6.0,8.0,266.0,0.92,48550.0,38600.0,197.0,386.0,125.77720207253888,9.067357512953368,35.0,82.0
4386,9.0,8.0,170.0,0.85,128880.0,104100.0,164.0,1041.0,123.80403458213256,6.243996157540826,65.0,34.0
4389,9.0,8.0,172.0,0.85,113310.0,94900.0,164.0,949.0,119.39936775553215,5.47945205479452,52.0,35.0
4369,9.0,8.0,158.0,0.9,109610.0,92200.0,164.0,922.0,118.882863340564,5.748373101952278,53.0,28.0
4372,9.0,8.0,160.0,0.9,103000.0,88600.0,164.0,886.0,116.2528216704289,5.756207674943567,51.0,29.0
4387,9.0,8.0,170.0,0.9,108750.0,92900.0,164.0,929.0,117.06135629709364,6.350914962325081,59.0,34.0
8244,17.0,5.0,222.0,0.85,96660.0,52200.0,91.0,522.0,185.17241379310343,5.555555555555555,29.0,60.0
8265,17.0,5.0,236.0,0.85,72650.0,55400.0,91.0,554.0,131.13718411552347,5.415162454873646,30.0,67.0
8271,17.0,5.0,240.0,0.85,98570.0,52300.0,91.0,523.0,188.47036328871891,5.353728489483748,28.0,69.0
8310,17.0,5.0,266.0,0.85,57160.0,49600.0,91.0,496.0,115.24193548387096,6.048387096774194,30.0,82.0
8167,17.0,5.0,170.0,0.9,66570.0,55600.0,91.0,556.0,119.73021582733814,5.575539568345324,31.0,34.0
8170,17.0,5.0,172.0,0.9,118040.0,67100.0,91.0,671.0,175.91654247391952,5.067064083457526,34.0,35.0
8242,17.0,5.0,220.0,0.9,60910.0,52200.0,91.0,522.0,116.68582375478928,5.555555555555555,29.0,59.0
8245,17.0,5.0,222.0,0.9,79590.0,44500.0,91.0,445.0,178.85393258426967,6.067415730337078,27.0,60.0
8251,17.0,5.0,226.0,0.9,67700.0,46500.0,91.0,465.0,145.59139784946237,5.591397849462366,26.0,62.0
8254,17.0,5.0,228.0,0.9,63060.0,45600.0,91.0,456.0,138.28947368421052,5.482456140350877,25.0,63.0
8263,17.0,5.0,234.0,0.9,49530.0,41200.0,91.0,412.0,120.21844660194174,5.097087378640777,21.0,66.0
8266,17.0,5.0,236.0,0.9,57730.0,47400.0,91.0,474.0,121.79324894514768,5.69620253164557,27.0,67.0
8296,17.0,5.0,256.0,0.9,67020.0,49000.0,91.0,490.0,136.77551020408163,5.306122448979592,26.0,77.0
8299,17.0,5.0,258.0,0.9,58010.0,46000.0,91.0,460.0,126.1086956521739,5.434782608695652,25.0,78.0
8302,17.0,5.0,260.0,0.9,50500.0,43300.0,91.0,433.0,116.62817551963047,5.311778290993072,23.0,79.0
8305,17.0,5.0,262.0,0.9,83590.0,50100.0,91.0,501.0,166.84630738522955,5.389221556886228,27.0,80.0
8168,17.0,5.0,170.0,0.92,59550.0,51100.0,91.0,511.0,116.53620352250488,5.47945205479452,28.0,34.0
8171,17.0,5.0,172.0,0.92,108460.0,60500.0,91.0,605.0,179.27272727272728,5.289256198347108,32.0,35.0
8204,17.0,5.0,194.0,0.92,55960.0,47700.0,91.0,477.0,117.31656184486374,5.031446540880504,24.0,46.0
8207,17.0,5.0,196.0,0.92,80770.0,48600.0,91.0,486.0,166.19341563786008,5.967078189300412,29.0,47.0
8225,17.0,5.0,208.0,0.92,67840.0,45600.0,91.0,456.0,148.7719298245614,5.043859649122807,23.0,53.0
8228,17.0,5.0,210.0,0.92,62400.0,53900.0,91.0,539.0,115.7699443413729,5.009276437847866,27.0,54.0
8243,17.0,5.0,220.0,0.92,59890.0,48000.0,91.0,480.0,124.77083333333334,5.833333333333333,28.0,59.0
8246,17.0,5.0,222.0,0.92,78630.0,40600.0,91.0,406.0,193.66995073891627,6.403940886699508,26.0,60.0
8252,17.0,5.0,226.0,0.92,61830.0,42500.0,91.0,425.0,145.48235294117646,5.411764705882352,23.0,62.0
8255,17.0,5.0,228.0,0.92,61880.0,42000.0,91.0,420.0,147.33333333333334,5.714285714285714,24.0,63.0
8264,17.0,5.0,234.0,0.92,47560.0,37600.0,91.0,376.0,126.48936170212764,5.053191489361701,19.0,66.0
8267,17.0,5.0,236.0,0.92,55450.0,43100.0,91.0,431.0,128.65429234338748,5.800464037122969,25.0,67.0
8273,17.0,5.0,240.0,0.92,89840.0,40800.0,91.0,408.0,220.19607843137257,6.127450980392156,25.0,69.0
8276,17.0,5.0,242.0,0.92,60480.0,45100.0,91.0,451.0,134.1019955654102,5.099778270509978,23.0,70.0
8297,17.0,5.0,256.0,0.92,61890.0,45700.0,91.0,457.0,135.42669584245078,5.470459518599562,25.0,77.0
8300,17.0,5.0,258.0,0.92,56190.0,41900.0,91.0,419.0,134.10501193317424,5.727923627684964,24.0,78.0
8303,17.0,5.0,260.0,0.92,50500.0,39400.0,91.0,394.0,128.1725888324873,5.83756345177665,23.0,79.0
8306,17.0,5.0,262.0,0.92,82630.0,47200.0,91.0,472.0,175.0635593220339,5.508474576271186,26.0,80.0
8312,17.0,5.0,266.0,0.92,50120.0,39300.0,91.0,393.0,127.53180661577608,6.870229007633588,27.0,82.0
8454,17.0,8.0,194.0,0.85,73980.0,57300.0,91.0,573.0,129.10994764397904,5.5846422338568935,32.0,46.0
