,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,125760.0,138700.0,316.0,1387.0,90.67051189617881,9.733237202595529,135.0
1,1.0,5.0,102.0,0.9,109250.0,124800.0,316.0,1248.0,87.5400641025641,9.615384615384617,120.0
2,1.0,5.0,102.0,0.92,106130.0,118000.0,316.0,1180.0,89.94067796610169,9.830508474576272,116.0
3,1.0,5.0,104.0,0.85,129270.0,148700.0,316.0,1487.0,86.9334229993275,9.145931405514458,136.0
4,1.0,5.0,104.0,0.9,121660.0,134400.0,316.0,1344.0,90.52083333333333,9.598214285714286,129.0
5,1.0,5.0,104.0,0.92,115800.0,127700.0,316.0,1277.0,90.68128425998434,9.397024275646046,120.0
6,1.0,5.0,106.0,0.85,131370.0,142500.0,316.0,1425.0,92.18947368421053,9.614035087719298,137.0
7,1.0,5.0,106.0,0.9,122740.0,129600.0,316.0,1296.0,94.70679012345678,9.876543209876543,128.0
8,1.0,5.0,106.0,0.92,115990.0,122700.0,316.0,1227.0,94.53137734311329,9.942950285248573,122.0
9,1.0,5.0,108.0,0.85,125460.0,146300.0,316.0,1463.0,85.7552973342447,8.749145591250855,128.0
10,1.0,5.0,108.0,0.9,116490.0,130900.0,316.0,1309.0,88.99159663865545,9.090909090909092,119.0
11,1.0,5.0,108.0,0.92,112630.0,124300.0,316.0,1243.0,90.61142397425583,9.25181013676589,115.0
12,1.0,5.0,110.0,0.85,113900.0,146100.0,316.0,1461.0,77.96030116358659,8.555783709787816,125.0
13,1.0,5.0,110.0,0.9,100470.0,131100.0,316.0,1311.0,76.63615560640731,8.466819221967963,111.0
14,1.0,5.0,110.0,0.92,97480.0,125300.0,316.0,1253.0,77.7972865123703,8.619313647246608,108.0
15,1.0,5.0,112.0,0.85,102410.0,122600.0,316.0,1226.0,83.53181076672105,9.053833605220229,111.0
16,1.0,5.0,112.0,0.9,90900.0,109000.0,316.0,1090.0,83.39449541284404,9.174311926605505,100.0
17,1.0,5.0,112.0,0.92,89740.0,102800.0,316.0,1028.0,87.29571984435798,9.53307392996109,98.0
18,1.0,5.0,114.0,0.85,116450.0,139100.0,316.0,1391.0,83.71675053918045,9.05823148813803,126.0
19,1.0,5.0,114.0,0.9,108520.0,127000.0,316.0,1270.0,85.44881889763779,9.133858267716535,116.0
20,1.0,5.0,114.0,0.92,104900.0,119400.0,316.0,1194.0,87.85594639865997,9.212730318257957,110.0
21,1.0,5.0,116.0,0.85,117550.0,140300.0,316.0,1403.0,83.78474697077691,8.766928011404133,123.0
22,1.0,5.0,116.0,0.9,104000.0,127900.0,316.0,1279.0,81.31352619233776,8.75684128225176,112.0
23,1.0,5.0,116.0,0.92,100500.0,122200.0,316.0,1222.0,82.24222585924713,8.919803600654665,109.0
24,1.0,5.0,118.0,0.85,124760.0,127400.0,316.0,1274.0,97.92778649921507,9.811616954474097,125.0
25,1.0,5.0,118.0,0.9,114050.0,113200.0,316.0,1132.0,100.75088339222616,10.159010600706713,115.0
26,1.0,5.0,118.0,0.92,112800.0,107700.0,316.0,1077.0,104.73537604456824,10.492107706592387,113.0
27,1.0,5.0,120.0,0.85,108700.0,120800.0,316.0,1208.0,89.98344370860927,9.271523178807946,112.0
28,1.0,5.0,120.0,0.9,98010.0,109200.0,316.0,1092.0,89.75274725274726,9.065934065934066,99.0
29,1.0,5.0,120.0,0.92,92180.0,102600.0,316.0,1026.0,89.84405458089668,9.161793372319687,94.0
30,1.0,5.0,122.0,0.85,124290.0,128600.0,316.0,1286.0,96.64852255054433,10.031104199066874,129.0
31,1.0,5.0,122.0,0.9,110890.0,117200.0,316.0,1172.0,94.61604095563139,10.238907849829351,120.0
32,1.0,5.0,122.0,0.92,98930.0,110200.0,316.0,1102.0,89.77313974591652,9.891107078039928,109.0
33,1.0,5.0,124.0,0.85,117590.0,125200.0,316.0,1252.0,93.92172523961662,9.664536741214057,121.0
34,1.0,5.0,124.0,0.9,105220.0,114000.0,316.0,1140.0,92.2982456140351,9.56140350877193,109.0
35,1.0,5.0,124.0,0.92,104510.0,108800.0,316.0,1088.0,96.05698529411765,9.926470588235293,108.0
36,1.0,5.0,126.0,0.85,97370.0,108300.0,316.0,1083.0,89.90766389658357,9.695290858725762,105.0
37,1.0,5.0,126.0,0.9,92850.0,97300.0,316.0,973.0,95.42651593011306,10.174717368961973,99.0
38,1.0,5.0,126.0,0.92,84260.0,92300.0,316.0,923.0,91.28927410617551,9.967497291440953,92.0
39,1.0,5.0,128.0,0.85,122110.0,122900.0,316.0,1229.0,99.35720097640358,10.333604556550041,127.0
40,1.0,5.0,128.0,0.9,110420.0,112200.0,316.0,1122.0,98.41354723707664,10.338680926916222,116.0
41,1.0,5.0,128.0,0.92,103410.0,106100.0,316.0,1061.0,97.46465598491989,10.461828463713479,111.0
42,1.0,5.0,130.0,0.85,112830.0,124500.0,316.0,1245.0,90.62650602409639,10.120481927710843,126.0
43,1.0,5.0,130.0,0.9,104050.0,112800.0,316.0,1128.0,92.24290780141844,10.28368794326241,116.0
44,1.0,5.0,130.0,0.92,94570.0,106100.0,316.0,1061.0,89.13289349670123,10.367577756833176,110.0
45,1.0,5.0,132.0,0.85,121500.0,124200.0,316.0,1242.0,97.82608695652173,9.742351046698873,121.0
46,1.0,5.0,132.0,0.9,107990.0,112000.0,316.0,1120.0,96.41964285714286,9.732142857142858,109.0
47,1.0,5.0,132.0,0.92,99620.0,105500.0,316.0,1055.0,94.4265402843602,9.66824644549763,102.0
48,1.0,5.0,134.0,0.85,108650.0,114400.0,316.0,1144.0,94.97377622377621,9.44055944055944,108.0
49,1.0,5.0,134.0,0.9,102480.0,104500.0,316.0,1045.0,98.06698564593302,9.760765550239233,102.0
50,1.0,5.0,134.0,0.92,101720.0,99100.0,316.0,991.0,102.64379414732593,10.191725529767911,101.0
51,1.0,5.0,136.0,0.85,98900.0,122900.0,316.0,1229.0,80.4719283970708,8.787632221318145,108.0
52,1.0,5.0,136.0,0.9,89070.0,111200.0,316.0,1112.0,80.09892086330936,9.082733812949641,101.0
53,1.0,5.0,136.0,0.92,84850.0,104800.0,316.0,1048.0,80.96374045801527,9.16030534351145,96.0
54,1.0,5.0,138.0,0.85,100060.0,112400.0,316.0,1124.0,89.02135231316726,9.519572953736654,107.0
55,1.0,5.0,138.0,0.9,88120.0,99300.0,316.0,993.0,88.74118831822759,9.667673716012084,96.0
56,1.0,5.0,138.0,0.92,84850.0,93100.0,316.0,931.0,91.13856068743287,9.881847475832437,92.0
57,1.0,5.0,140.0,0.85,114680.0,119600.0,316.0,1196.0,95.88628762541806,9.698996655518394,116.0
58,1.0,5.0,140.0,0.9,107140.0,107600.0,316.0,1076.0,99.57249070631971,10.223048327137546,110.0
59,1.0,5.0,140.0,0.92,93640.0,103300.0,316.0,1033.0,90.648596321394,9.970958373668925,103.0
60,1.0,5.0,142.0,0.85,94210.0,120200.0,316.0,1202.0,78.37770382695507,8.818635607321132,106.0
61,1.0,5.0,142.0,0.9,89520.0,109600.0,316.0,1096.0,81.67883211678833,9.032846715328468,99.0
62,1.0,5.0,142.0,0.92,82690.0,103300.0,316.0,1033.0,80.0484027105518,8.906098741529526,92.0
63,1.0,5.0,144.0,0.85,90780.0,109600.0,316.0,1096.0,82.82846715328466,9.124087591240876,100.0
64,1.0,5.0,144.0,0.9,82750.0,98600.0,316.0,986.0,83.92494929006085,9.432048681541582,93.0
65,1.0,5.0,144.0,0.92,78780.0,92000.0,316.0,920.0,85.6304347826087,9.67391304347826,89.0
66,1.0,5.0,146.0,0.85,110330.0,100400.0,316.0,1004.0,109.89043824701194,11.155378486055776,112.0
67,1.0,5.0,146.0,0.9,91510.0,90100.0,316.0,901.0,101.56492785793563,10.76581576026637,97.0
68,1.0,5.0,146.0,0.92,77400.0,83500.0,316.0,835.0,92.6946107784431,10.179640718562874,85.0
