,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
1,1.0,8.0,200.0,0.85,44300.0,35300.0,316.0,353.0,125.4957507082153,15.29745042492918,54.0,,1.0,,49.0
2,2.0,5.0,192.0,0.85,59170.0,42700.0,226.0,427.0,138.57142857142856,13.114754098360656,56.0,1.2250741488556947,1.499925815804961,2.7249999646606557,45.0
36,3.0,5.0,244.0,0.9,38070.0,29100.0,169.0,291.0,130.82474226804123,9.278350515463918,27.0,-0.7669649888473704,1.38610316206425,0.6191381732168797,71.0
42,4.0,5.0,174.0,0.85,74420.0,53100.0,156.0,531.0,140.15065913370998,7.721280602636535,41.0,0.043189644364773,2.624508620834471,2.667698265199244,36.0
61,6.0,5.0,202.0,0.85,59790.0,31900.0,197.0,319.0,187.4294670846395,10.9717868338558,35.0,-0.6149467749767239,3.914207030483231,3.299260255506507,50.0
89,7.0,5.0,220.0,0.9,37110.0,27900.0,124.0,279.0,133.01075268817203,9.31899641577061,26.0,1.0,1.0000000000000029,2.0000000000000027,59.0
91,9.0,5.0,176.0,0.92,48590.0,35800.0,164.0,358.0,135.72625698324023,8.100558659217876,29.0,,,,37.0
93,10.0,5.0,114.0,0.92,97730.0,81900.0,149.0,819.0,119.32844932844932,7.448107448107448,61.0,-1.0,1.0,0.0,6.0
108,11.0,5.0,226.0,0.92,45040.0,29300.0,99.0,293.0,153.7201365187713,8.873720136518772,26.0,0.20124137966032907,2.8542420143145564,3.0554833939748853,62.0
260,17.0,8.0,144.0,0.9,100070.0,54300.0,91.0,543.0,184.29097605893185,7.366482504604052,40.0,2.454180936040378,1.9370548779335524,4.39123581397393,21.0
