,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
185,1.0,5.0,224.0,0.92,77330.0,66600.0,381.0,666.0,116.11111111111111,13.363363363363364,89.0,61.0
194,1.0,5.0,230.0,0.92,61920.0,52000.0,381.0,520.0,119.07692307692308,12.884615384615383,67.0,64.0
233,1.0,5.0,256.0,0.92,62890.0,54000.0,381.0,540.0,116.46296296296296,14.074074074074074,76.0,77.0
1518,4.0,5.0,106.0,0.85,155060.0,127700.0,147.0,1277.0,121.425215348473,6.342991386061081,81.0,2.0
1521,4.0,5.0,108.0,0.85,154950.0,124300.0,147.0,1243.0,124.6580852775543,5.792437650844731,72.0,3.0
1536,4.0,5.0,118.0,0.85,182730.0,122100.0,147.0,1221.0,149.65601965601965,5.733005733005733,70.0,8.0
1539,4.0,5.0,120.0,0.85,154050.0,125900.0,147.0,1259.0,122.35901509134231,6.115965051628276,77.0,9.0
1545,4.0,5.0,124.0,0.85,143590.0,120700.0,147.0,1207.0,118.96437448218724,6.462303231151616,78.0,11.0
1602,4.0,5.0,162.0,0.85,111630.0,93900.0,147.0,939.0,118.8817891373802,6.496272630457935,61.0,30.0
1638,4.0,5.0,186.0,0.85,102850.0,78000.0,147.0,780.0,131.85897435897436,6.923076923076923,54.0,42.0
1671,4.0,5.0,208.0,0.85,92210.0,76300.0,147.0,763.0,120.8519003931848,7.077326343381389,54.0,53.0
1674,4.0,5.0,210.0,0.85,100390.0,72600.0,147.0,726.0,138.27823691460054,6.6115702479338845,48.0,54.0
1710,4.0,5.0,234.0,0.85,76870.0,65700.0,147.0,657.0,117.0015220700152,7.91476407914764,52.0,66.0
1728,4.0,5.0,246.0,0.85,70950.0,52100.0,147.0,521.0,136.18042226487523,5.950095969289827,31.0,72.0
1731,4.0,5.0,248.0,0.85,67670.0,57700.0,147.0,577.0,117.2790294627383,7.625649913344887,44.0,73.0
1752,4.0,5.0,262.0,0.85,68150.0,57900.0,147.0,579.0,117.70293609671847,6.390328151986183,37.0,80.0
1522,4.0,5.0,108.0,0.9,138040.0,110900.0,147.0,1109.0,124.47249774571686,6.131650135256988,68.0,3.0
1537,4.0,5.0,118.0,0.9,173240.0,109800.0,147.0,1098.0,157.77777777777777,6.10200364298725,67.0,8.0
1540,4.0,5.0,120.0,0.9,139540.0,114500.0,147.0,1145.0,121.86899563318778,6.11353711790393,70.0,9.0
1546,4.0,5.0,124.0,0.9,136470.0,109500.0,147.0,1095.0,124.63013698630137,6.940639269406393,76.0,11.0
1603,4.0,5.0,162.0,0.9,103450.0,82800.0,147.0,828.0,124.93961352657006,6.280193236714976,52.0,30.0
1615,4.0,5.0,170.0,0.9,90130.0,77700.0,147.0,777.0,115.997425997426,6.306306306306306,49.0,34.0
1636,4.0,5.0,184.0,0.9,77580.0,66200.0,147.0,662.0,117.190332326284,5.438066465256798,36.0,41.0
1639,4.0,5.0,186.0,0.9,89310.0,69900.0,147.0,699.0,127.76824034334764,7.0100143061516444,49.0,42.0
1642,4.0,5.0,188.0,0.9,80190.0,69100.0,147.0,691.0,116.0492040520984,6.512301013024602,45.0,43.0
1675,4.0,5.0,210.0,0.9,96920.0,62900.0,147.0,629.0,154.0858505564388,7.154213036565977,45.0,54.0
1711,4.0,5.0,234.0,0.9,72170.0,58300.0,147.0,583.0,123.79073756432246,8.061749571183533,47.0,66.0
1720,4.0,5.0,240.0,0.9,55950.0,47100.0,147.0,471.0,118.78980891719746,7.43099787685775,35.0,69.0
1729,4.0,5.0,246.0,0.9,66450.0,45600.0,147.0,456.0,145.7236842105263,5.921052631578947,27.0,72.0
1732,4.0,5.0,248.0,0.9,61600.0,51700.0,147.0,517.0,119.14893617021276,7.156673114119923,37.0,73.0
1753,4.0,5.0,262.0,0.9,57680.0,49500.0,147.0,495.0,116.52525252525253,6.262626262626263,31.0,80.0
1523,4.0,5.0,108.0,0.92,133060.0,103700.0,147.0,1037.0,128.31243972999036,6.26808100289296,65.0,3.0
1538,4.0,5.0,118.0,0.92,155380.0,103900.0,147.0,1039.0,149.54764196342637,5.871029836381136,61.0,8.0
1541,4.0,5.0,120.0,0.92,138380.0,108300.0,147.0,1083.0,127.7746999076639,6.3711911357340725,69.0,9.0
1547,4.0,5.0,124.0,0.92,125700.0,103800.0,147.0,1038.0,121.09826589595376,6.9364161849710975,72.0,11.0
1577,4.0,5.0,144.0,0.92,115400.0,94300.0,147.0,943.0,122.37539766702017,6.150583244962885,58.0,21.0
1616,4.0,5.0,170.0,0.92,87110.0,73800.0,147.0,738.0,118.03523035230351,6.368563685636857,47.0,34.0
1625,4.0,5.0,176.0,0.92,83180.0,69500.0,147.0,695.0,119.68345323741008,6.18705035971223,43.0,37.0
1637,4.0,5.0,184.0,0.92,74720.0,61400.0,147.0,614.0,121.69381107491856,5.700325732899023,35.0,41.0
1640,4.0,5.0,186.0,0.92,75510.0,65500.0,147.0,655.0,115.2824427480916,7.022900763358779,46.0,42.0
1643,4.0,5.0,188.0,0.92,75780.0,64600.0,147.0,646.0,117.3065015479876,6.5015479876161,42.0,43.0
1664,4.0,5.0,202.0,0.92,69650.0,59300.0,147.0,593.0,117.45362563237774,6.239460370994941,37.0,50.0
1676,4.0,5.0,210.0,0.92,91190.0,57800.0,147.0,578.0,157.7681660899654,7.439446366782007,43.0,54.0
1712,4.0,5.0,234.0,0.92,63190.0,53700.0,147.0,537.0,117.67225325884544,8.193668528864059,44.0,66.0
1718,4.0,5.0,238.0,0.92,60680.0,52000.0,147.0,520.0,116.6923076923077,7.5,39.0,68.0
1721,4.0,5.0,240.0,0.92,55150.0,44000.0,147.0,440.0,125.3409090909091,7.727272727272727,34.0,69.0
1730,4.0,5.0,246.0,0.92,59470.0,41100.0,147.0,411.0,144.69586374695865,6.082725060827251,25.0,72.0
1733,4.0,5.0,248.0,0.92,55650.0,47800.0,147.0,478.0,116.4225941422594,7.112970711297072,34.0,73.0
1754,4.0,5.0,262.0,0.92,57680.0,45600.0,147.0,456.0,126.49122807017544,6.798245614035088,31.0,80.0
1770,4.0,8.0,106.0,0.85,161670.0,138100.0,147.0,1381.0,117.06734250543084,5.430847212165098,75.0,2.0
1788,4.0,8.0,118.0,0.85,140150.0,115800.0,147.0,1158.0,121.02763385146804,6.217616580310881,72.0,8.0
1794,4.0,8.0,122.0,0.85,152830.0,123500.0,147.0,1235.0,123.748987854251,6.396761133603239,79.0,10.0
1803,4.0,8.0,128.0,0.85,120670.0,103500.0,147.0,1035.0,116.58937198067632,5.507246376811594,57.0,13.0
1806,4.0,8.0,130.0,0.85,153860.0,124300.0,147.0,1243.0,123.78117457763476,5.953338696701529,74.0,14.0
1839,4.0,8.0,152.0,0.85,123120.0,102200.0,147.0,1022.0,120.4696673189824,6.360078277886497,65.0,25.0
1851,4.0,8.0,160.0,0.85,116540.0,90600.0,147.0,906.0,128.63134657836645,7.28476821192053,66.0,29.0
1890,4.0,8.0,186.0,0.85,94750.0,78100.0,147.0,781.0,121.31882202304736,6.017925736235595,47.0,42.0
1899,4.0,8.0,192.0,0.85,92360.0,76600.0,147.0,766.0,120.57441253263708,6.527415143603134,50.0,45.0
1902,4.0,8.0,194.0,0.85,104030.0,79300.0,147.0,793.0,131.18537200504414,5.926860025220681,47.0,46.0
1917,4.0,8.0,204.0,0.85,84130.0,66800.0,147.0,668.0,125.94311377245508,6.58682634730539,44.0,51.0
1944,4.0,8.0,222.0,0.85,77090.0,64700.0,147.0,647.0,119.14992272024728,6.646058732612056,43.0,60.0
1950,4.0,8.0,226.0,0.85,75540.0,57800.0,147.0,578.0,130.69204152249134,6.747404844290658,39.0,62.0
1956,4.0,8.0,230.0,0.85,63320.0,53500.0,147.0,535.0,118.35514018691588,6.915887850467289,37.0,64.0
1983,4.0,8.0,248.0,0.85,70650.0,52900.0,147.0,529.0,133.55387523629489,7.372400756143667,39.0,73.0
1992,4.0,8.0,254.0,0.85,75730.0,52100.0,147.0,521.0,145.35508637236086,7.1017274472168905,37.0,76.0
1995,4.0,8.0,256.0,0.85,73780.0,49700.0,147.0,497.0,148.45070422535213,7.042253521126761,35.0,77.0
2007,4.0,8.0,264.0,0.85,72150.0,48300.0,147.0,483.0,149.37888198757764,6.004140786749482,29.0,81.0
1804,4.0,8.0,128.0,0.9,106310.0,91200.0,147.0,912.0,116.56798245614036,5.482456140350877,50.0,13.0
1807,4.0,8.0,130.0,0.9,142030.0,110500.0,147.0,1105.0,128.5339366515837,6.244343891402715,69.0,14.0
1891,4.0,8.0,186.0,0.9,91960.0,69600.0,147.0,696.0,132.1264367816092,6.321839080459771,44.0,42.0
1918,4.0,8.0,204.0,0.9,76280.0,58000.0,147.0,580.0,131.51724137931035,6.551724137931035,38.0,51.0
1945,4.0,8.0,222.0,0.9,76460.0,57500.0,147.0,575.0,132.97391304347826,7.304347826086957,42.0,60.0
1951,4.0,8.0,226.0,0.9,73580.0,50400.0,147.0,504.0,145.9920634920635,7.341269841269842,37.0,62.0
1954,4.0,8.0,228.0,0.9,61570.0,52000.0,147.0,520.0,118.40384615384616,6.923076923076923,36.0,63.0
1957,4.0,8.0,230.0,0.9,56050.0,45400.0,147.0,454.0,123.45814977973568,7.709251101321586,35.0,64.0
1963,4.0,8.0,234.0,0.9,69230.0,55500.0,147.0,555.0,124.73873873873872,7.747747747747748,43.0,66.0
1981,4.0,8.0,246.0,0.9,49510.0,41400.0,147.0,414.0,119.58937198067632,6.521739130434782,27.0,72.0
1984,4.0,8.0,248.0,0.9,61390.0,46800.0,147.0,468.0,131.17521367521368,6.837606837606838,32.0,73.0
1987,4.0,8.0,250.0,0.9,52030.0,44900.0,147.0,449.0,115.87973273942094,6.45879732739421,29.0,74.0
1993,4.0,8.0,254.0,0.9,61140.0,44600.0,147.0,446.0,137.08520179372198,6.726457399103139,30.0,76.0
1996,4.0,8.0,256.0,0.9,68670.0,43800.0,147.0,438.0,156.78082191780825,7.077625570776255,31.0,77.0
2008,4.0,8.0,264.0,0.9,65330.0,41100.0,147.0,411.0,158.9537712895377,6.082725060827251,25.0,81.0
1775,4.0,8.0,108.0,0.92,131220.0,110300.0,147.0,1103.0,118.96645512239348,5.893019038984588,65.0,3.0
1784,4.0,8.0,114.0,0.92,122070.0,102500.0,147.0,1025.0,119.09268292682928,5.75609756097561,59.0,6.0
1790,4.0,8.0,118.0,0.92,111400.0,96100.0,147.0,961.0,115.92091571279916,5.82726326742976,56.0,8.0
1805,4.0,8.0,128.0,0.92,105250.0,86600.0,147.0,866.0,121.53579676674364,5.658198614318707,49.0,13.0
1808,4.0,8.0,130.0,0.92,140830.0,104100.0,147.0,1041.0,135.283381364073,6.532180595581172,68.0,14.0
1817,4.0,8.0,136.0,0.92,98750.0,82200.0,147.0,822.0,120.1338199513382,6.082725060827251,50.0,17.0
1820,4.0,8.0,138.0,0.92,107230.0,93200.0,147.0,932.0,115.05364806866952,5.901287553648069,55.0,18.0
1841,4.0,8.0,152.0,0.92,104060.0,86100.0,147.0,861.0,120.85946573751453,6.504065040650407,56.0,25.0
1892,4.0,8.0,186.0,0.92,83640.0,62500.0,147.0,625.0,133.824,6.239999999999999,39.0,42.0
1919,4.0,8.0,204.0,0.92,73590.0,53200.0,147.0,532.0,138.32706766917292,6.7669172932330826,36.0,51.0
1946,4.0,8.0,222.0,0.92,69900.0,52700.0,147.0,527.0,132.63757115749527,7.590132827324478,40.0,60.0
1952,4.0,8.0,226.0,0.92,63040.0,46700.0,147.0,467.0,134.98929336188436,7.494646680942184,35.0,62.0
1955,4.0,8.0,228.0,0.92,61570.0,47500.0,147.0,475.0,129.62105263157895,7.578947368421053,36.0,63.0
1985,4.0,8.0,248.0,0.92,55030.0,42400.0,147.0,424.0,129.78773584905662,6.839622641509433,29.0,73.0
1988,4.0,8.0,250.0,0.92,48800.0,40900.0,147.0,409.0,119.31540342298288,6.356968215158925,26.0,74.0
2006,4.0,8.0,262.0,0.92,48090.0,41600.0,147.0,416.0,115.60096153846152,6.009615384615385,25.0,80.0
2009,4.0,8.0,264.0,0.92,64580.0,37600.0,147.0,376.0,171.75531914893617,6.382978723404255,24.0,81.0
4751,10.0,5.0,244.0,0.92,65680.0,45900.0,175.0,459.0,143.0936819172113,8.061002178649238,37.0,71.0
5001,10.0,8.0,244.0,0.85,67620.0,57800.0,175.0,578.0,116.98961937716264,6.920415224913495,40.0,71.0
4825,10.0,8.0,126.0,0.9,131040.0,109800.0,175.0,1098.0,119.34426229508198,5.100182149362477,56.0,12.0
4915,10.0,8.0,186.0,0.9,70770.0,57000.0,175.0,570.0,124.15789473684212,7.368421052631578,42.0,42.0
4999,10.0,8.0,242.0,0.9,59210.0,49700.0,175.0,497.0,119.13480885311871,8.651911468812877,43.0,70.0
5002,10.0,8.0,244.0,0.9,63490.0,49400.0,175.0,494.0,128.52226720647772,7.894736842105263,39.0,71.0
4916,10.0,8.0,186.0,0.92,65980.0,52900.0,175.0,529.0,124.72589792060492,7.561436672967864,40.0,42.0
5000,10.0,8.0,242.0,0.92,52800.0,45700.0,175.0,457.0,115.53610503282276,8.533916849015318,39.0,70.0
5003,10.0,8.0,244.0,0.92,55740.0,45200.0,175.0,452.0,123.31858407079646,7.964601769911504,36.0,71.0
5269,11.0,5.0,254.0,0.9,54470.0,44700.0,118.0,447.0,121.85682326621924,6.711409395973154,30.0,76.0
5210,11.0,5.0,214.0,0.92,61370.0,53200.0,118.0,532.0,115.35714285714285,5.639097744360902,30.0,56.0
5267,11.0,5.0,252.0,0.92,65760.0,54500.0,118.0,545.0,120.6605504587156,6.422018348623854,35.0,75.0
5270,11.0,5.0,254.0,0.92,51840.0,41800.0,118.0,418.0,124.01913875598083,6.459330143540671,27.0,76.0
5447,11.0,8.0,204.0,0.92,72770.0,56100.0,118.0,561.0,129.71479500891266,6.23885918003565,35.0,51.0
5453,11.0,8.0,208.0,0.92,84070.0,57800.0,118.0,578.0,145.44982698961937,5.709342560553633,33.0,53.0
6249,13.0,5.0,236.0,0.85,87260.0,70400.0,115.0,704.0,123.94886363636364,6.25,44.0,67.0
6252,13.0,5.0,238.0,0.85,123640.0,76400.0,115.0,764.0,161.8324607329843,5.366492146596859,41.0,68.0
6285,13.0,5.0,260.0,0.85,71290.0,57500.0,115.0,575.0,123.98260869565216,6.086956521739131,35.0,79.0
6288,13.0,5.0,262.0,0.85,75310.0,59700.0,115.0,597.0,126.14740368509212,5.8626465661641545,35.0,80.0
6232,13.0,5.0,224.0,0.9,86750.0,66000.0,115.0,660.0,131.43939393939394,6.212121212121212,41.0,61.0
6250,13.0,5.0,236.0,0.9,82720.0,61900.0,115.0,619.0,133.63489499192244,6.78513731825525,42.0,67.0
6253,13.0,5.0,238.0,0.9,113040.0,66200.0,115.0,662.0,170.75528700906344,5.740181268882175,38.0,68.0
6280,13.0,5.0,256.0,0.9,69490.0,58500.0,115.0,585.0,118.78632478632478,5.811965811965812,34.0,77.0
6286,13.0,5.0,260.0,0.9,62690.0,49100.0,115.0,491.0,127.67820773930754,6.109979633401222,30.0,79.0
6289,13.0,5.0,262.0,0.9,67350.0,51500.0,115.0,515.0,130.7766990291262,6.019417475728155,31.0,80.0
6170,13.0,5.0,182.0,0.92,83930.0,72800.0,115.0,728.0,115.28846153846152,6.181318681318682,45.0,40.0
6233,13.0,5.0,224.0,0.92,77230.0,61000.0,115.0,610.0,126.60655737704916,6.229508196721312,38.0,61.0
6236,13.0,5.0,226.0,0.92,71110.0,59600.0,115.0,596.0,119.31208053691276,6.04026845637584,36.0,62.0
6251,13.0,5.0,236.0,0.92,82720.0,57300.0,115.0,573.0,144.3630017452007,7.329842931937172,42.0,67.0
6281,13.0,5.0,256.0,0.92,69490.0,54600.0,115.0,546.0,127.27106227106226,6.227106227106227,34.0,77.0
6284,13.0,5.0,258.0,0.92,63990.0,55400.0,115.0,554.0,115.50541516245488,5.956678700361011,33.0,78.0
6287,13.0,5.0,260.0,0.92,59350.0,45300.0,115.0,453.0,131.01545253863134,6.181015452538632,28.0,79.0
6290,13.0,5.0,262.0,0.92,65050.0,47400.0,115.0,474.0,137.23628691983123,6.118143459915612,29.0,80.0
6456,13.0,8.0,206.0,0.85,100600.0,70900.0,115.0,709.0,141.88998589562766,6.488011283497884,46.0,52.0
6498,13.0,8.0,234.0,0.85,73710.0,61900.0,115.0,619.0,119.07915993537964,6.138933764135703,38.0,66.0
6501,13.0,8.0,236.0,0.85,79780.0,61200.0,115.0,612.0,130.359477124183,7.18954248366013,44.0,67.0
6504,13.0,8.0,238.0,0.85,77650.0,66500.0,115.0,665.0,116.76691729323308,6.466165413533835,43.0,68.0
6502,13.0,8.0,236.0,0.9,75080.0,52300.0,115.0,523.0,143.55640535372848,7.839388145315487,41.0,67.0
6505,13.0,8.0,238.0,0.9,72570.0,58800.0,115.0,588.0,123.41836734693878,6.63265306122449,39.0,68.0
6544,13.0,8.0,264.0,0.9,60310.0,51500.0,115.0,515.0,117.10679611650484,5.631067961165048,29.0,81.0
6503,13.0,8.0,236.0,0.92,70160.0,49000.0,115.0,490.0,143.18367346938777,7.755102040816326,38.0,67.0
6506,13.0,8.0,238.0,0.92,64640.0,54400.0,115.0,544.0,118.82352941176472,6.4338235294117645,35.0,68.0
11310,23.0,5.0,250.0,0.85,113750.0,62500.0,72.0,625.0,182.0,5.28,33.0,74.0
11313,23.0,5.0,252.0,0.85,132740.0,63800.0,72.0,638.0,208.0564263322884,6.112852664576803,39.0,75.0
11308,23.0,5.0,248.0,0.9,58990.0,49400.0,72.0,494.0,119.41295546558705,5.060728744939271,25.0,73.0
11311,23.0,5.0,250.0,0.9,92670.0,52900.0,72.0,529.0,175.17958412098298,5.482041587901701,29.0,74.0
11314,23.0,5.0,252.0,0.9,126240.0,57700.0,72.0,577.0,218.7868284228769,6.239168110918544,36.0,75.0
11317,23.0,5.0,254.0,0.9,69120.0,47900.0,72.0,479.0,144.30062630480168,5.219206680584551,25.0,76.0
11312,23.0,5.0,250.0,0.92,84180.0,49200.0,72.0,492.0,171.09756097560975,5.487804878048781,27.0,74.0
11315,23.0,5.0,252.0,0.92,122650.0,54200.0,72.0,542.0,226.29151291512915,6.4575645756457565,35.0,75.0
11318,23.0,5.0,254.0,0.92,61210.0,43400.0,72.0,434.0,141.036866359447,5.0691244239631335,22.0,76.0
11559,23.0,8.0,248.0,0.85,73120.0,50000.0,72.0,500.0,146.23999999999998,5.2,26.0,73.0
11562,23.0,8.0,250.0,0.85,93520.0,53600.0,72.0,536.0,174.47761194029852,5.410447761194029,29.0,74.0
11560,23.0,8.0,248.0,0.9,73120.0,43400.0,72.0,434.0,168.47926267281105,5.990783410138248,26.0,73.0
11563,23.0,8.0,250.0,0.9,78870.0,47400.0,72.0,474.0,166.39240506329114,5.69620253164557,27.0,74.0
11587,23.0,8.0,266.0,0.9,76280.0,50100.0,72.0,501.0,152.2554890219561,5.788423153692615,29.0,82.0
11561,23.0,8.0,248.0,0.92,67430.0,40400.0,72.0,404.0,166.90594059405942,5.9405940594059405,24.0,73.0
11564,23.0,8.0,250.0,0.92,77480.0,44300.0,72.0,443.0,174.89841986455983,5.8690744920993225,26.0,74.0
11576,23.0,8.0,258.0,0.92,74460.0,46300.0,72.0,463.0,160.82073434125272,5.831533477321814,27.0,78.0
11579,23.0,8.0,260.0,0.92,67290.0,45100.0,72.0,451.0,149.20177383592016,5.099778270509978,23.0,79.0
11588,23.0,8.0,266.0,0.92,75300.0,47300.0,72.0,473.0,159.19661733615223,5.9196617336152215,28.0,82.0
