,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,147480.0,165300.0,381.0,1653.0,89.2196007259528,11.312764670296431,187.0
1,1.0,5.0,102.0,0.9,135700.0,151100.0,381.0,1511.0,89.80807412309728,11.317008603573791,171.0
2,1.0,5.0,102.0,0.92,131160.0,145000.0,381.0,1450.0,90.45517241379311,11.448275862068966,166.0
3,1.0,5.0,104.0,0.85,131980.0,154000.0,381.0,1540.0,85.7012987012987,10.38961038961039,160.0
4,1.0,5.0,104.0,0.9,121890.0,141500.0,381.0,1415.0,86.14134275618375,10.530035335689046,149.0
5,1.0,5.0,104.0,0.92,117790.0,133700.0,381.0,1337.0,88.1002243829469,10.770381451009724,144.0
6,1.0,5.0,106.0,0.85,121970.0,135400.0,381.0,1354.0,90.08124076809455,11.299852289512554,153.0
7,1.0,5.0,106.0,0.9,112910.0,122300.0,381.0,1223.0,92.3221586263287,11.774325429272281,144.0
8,1.0,5.0,106.0,0.92,105870.0,116200.0,381.0,1162.0,91.11015490533563,11.790017211703958,137.0
9,1.0,5.0,108.0,0.85,115760.0,130600.0,381.0,1306.0,88.63705972434916,10.10719754977029,132.0
10,1.0,5.0,108.0,0.9,107330.0,119100.0,381.0,1191.0,90.11754827875734,10.327455919395465,123.0
11,1.0,5.0,108.0,0.92,104360.0,112700.0,381.0,1127.0,92.59982253771074,10.559006211180124,119.0
12,1.0,5.0,110.0,0.85,113950.0,145400.0,381.0,1454.0,78.37001375515818,9.972489683631363,145.0
13,1.0,5.0,110.0,0.9,104810.0,134900.0,381.0,1349.0,77.6945885841364,10.007412898443292,135.0
14,1.0,5.0,110.0,0.92,100110.0,126700.0,381.0,1267.0,79.01341752170481,10.023677979479084,127.0
15,1.0,5.0,112.0,0.85,114820.0,136500.0,381.0,1365.0,84.11721611721612,10.54945054945055,144.0
16,1.0,5.0,112.0,0.9,102920.0,124000.0,381.0,1240.0,83.0,10.725806451612902,133.0
17,1.0,5.0,112.0,0.92,96930.0,119100.0,381.0,1191.0,81.3853904282116,10.495382031905962,125.0
18,1.0,5.0,114.0,0.85,115530.0,136000.0,381.0,1360.0,84.94852941176471,10.661764705882353,145.0
19,1.0,5.0,114.0,0.9,107410.0,123700.0,381.0,1237.0,86.83104284559417,10.994341147938561,136.0
20,1.0,5.0,114.0,0.92,99500.0,115500.0,381.0,1155.0,86.14718614718615,10.909090909090908,126.0
21,1.0,5.0,116.0,0.85,141810.0,140400.0,381.0,1404.0,101.0042735042735,11.253561253561253,158.0
22,1.0,5.0,116.0,0.9,128490.0,128400.0,381.0,1284.0,100.07009345794393,11.214953271028037,144.0
23,1.0,5.0,116.0,0.92,126410.0,123500.0,381.0,1235.0,102.35627530364373,11.417004048582996,141.0
24,1.0,5.0,118.0,0.85,118920.0,129800.0,381.0,1298.0,91.61787365177196,11.248073959938367,146.0
25,1.0,5.0,118.0,0.9,104380.0,117600.0,381.0,1176.0,88.75850340136054,10.884353741496598,128.0
26,1.0,5.0,118.0,0.92,100890.0,112600.0,381.0,1126.0,89.60035523978685,11.101243339253998,125.0
27,1.0,5.0,120.0,0.85,122280.0,132700.0,381.0,1327.0,92.14770158251696,10.851544837980406,144.0
28,1.0,5.0,120.0,0.9,114830.0,121800.0,381.0,1218.0,94.27750410509032,11.16584564860427,136.0
29,1.0,5.0,120.0,0.92,108320.0,115800.0,381.0,1158.0,93.54058721934369,10.880829015544041,126.0
30,1.0,5.0,122.0,0.85,118960.0,139600.0,381.0,1396.0,85.21489971346705,10.601719197707736,148.0
31,1.0,5.0,122.0,0.9,109970.0,128200.0,381.0,1282.0,85.78003120124805,10.60842433697348,136.0
32,1.0,5.0,122.0,0.92,99850.0,122000.0,381.0,1220.0,81.84426229508198,10.40983606557377,127.0
33,1.0,5.0,124.0,0.85,115520.0,127300.0,381.0,1273.0,90.74626865671642,11.154752553024352,142.0
34,1.0,5.0,124.0,0.9,106510.0,116400.0,381.0,1164.0,91.50343642611683,11.254295532646049,131.0
35,1.0,5.0,124.0,0.92,102840.0,111500.0,381.0,1115.0,92.23318385650224,11.300448430493274,126.0
36,1.0,5.0,126.0,0.85,111560.0,130600.0,381.0,1306.0,85.42113323124043,10.260336906584993,134.0
37,1.0,5.0,126.0,0.9,98670.0,119300.0,381.0,1193.0,82.70746018440906,10.477787091366302,125.0
38,1.0,5.0,126.0,0.92,97820.0,113500.0,381.0,1135.0,86.18502202643172,10.837004405286343,123.0
39,1.0,5.0,128.0,0.85,130370.0,137300.0,381.0,1373.0,94.95265841223598,10.99781500364166,151.0
40,1.0,5.0,128.0,0.9,121470.0,127100.0,381.0,1271.0,95.57041699449252,11.329661683713612,144.0
41,1.0,5.0,128.0,0.92,119070.0,121800.0,381.0,1218.0,97.75862068965517,11.658456486042693,142.0
42,1.0,5.0,130.0,0.85,116930.0,113500.0,381.0,1135.0,103.02202643171807,12.687224669603525,144.0
43,1.0,5.0,130.0,0.9,111030.0,102800.0,381.0,1028.0,108.00583657587548,13.229571984435799,136.0
44,1.0,5.0,130.0,0.92,103920.0,97400.0,381.0,974.0,106.69404517453798,13.244353182751539,129.0
45,1.0,5.0,132.0,0.85,107750.0,133600.0,381.0,1336.0,80.65119760479041,9.580838323353294,128.0
46,1.0,5.0,132.0,0.9,97340.0,121800.0,381.0,1218.0,79.91789819376027,9.60591133004926,117.0
47,1.0,5.0,132.0,0.92,89530.0,115700.0,381.0,1157.0,77.38115816767503,9.507346585998272,110.0
48,1.0,5.0,134.0,0.85,112800.0,126600.0,381.0,1266.0,89.0995260663507,10.90047393364929,138.0
49,1.0,5.0,134.0,0.9,102570.0,114400.0,381.0,1144.0,89.6590909090909,11.013986013986015,126.0
50,1.0,5.0,134.0,0.92,98770.0,108100.0,381.0,1081.0,91.3691026827012,11.193339500462535,121.0
51,1.0,5.0,136.0,0.85,106690.0,118900.0,381.0,1189.0,89.73086627417999,11.522287636669471,137.0
52,1.0,5.0,136.0,0.9,98240.0,107800.0,381.0,1078.0,91.1317254174397,11.873840445269018,128.0
53,1.0,5.0,136.0,0.92,94770.0,102300.0,381.0,1023.0,92.63929618768329,12.218963831867057,125.0
