,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,168.0,0.85,26550.0,26800.0,58726.0,268.0,99.06716417910447,13.432835820895523,36.0
1,3.0,8.0,188.0,0.85,14430.0,22000.0,58726.0,220.0,65.5909090909091,7.727272727272727,17.0
2,4.0,5.0,150.0,0.92,18160.0,21400.0,58726.0,214.0,84.85981308411215,10.2803738317757,22.0
3,7.0,8.0,144.0,0.92,13350.0,20400.0,58726.0,204.0,65.44117647058823,9.803921568627452,20.0
4,8.0,8.0,208.0,0.92,4670.0,12000.0,58726.0,120.0,38.916666666666664,6.666666666666667,8.0
5,9.0,8.0,156.0,0.92,10170.0,14000.0,58726.0,140.0,72.64285714285714,8.571428571428571,12.0
6,10.0,5.0,166.0,0.92,10820.0,18600.0,58726.0,186.0,58.17204301075268,6.989247311827956,13.0
7,13.0,8.0,232.0,0.85,19630.0,14300.0,58726.0,143.0,137.27272727272728,11.888111888111888,17.0
8,14.0,8.0,252.0,0.9,9270.0,11900.0,58726.0,119.0,77.89915966386555,11.76470588235294,14.0
9,17.0,8.0,244.0,0.85,12800.0,16000.0,58726.0,160.0,80.0,11.25,18.0
10,21.0,8.0,208.0,0.85,14730.0,16700.0,58726.0,167.0,88.20359281437126,8.383233532934131,14.0
11,22.0,8.0,156.0,0.92,19820.0,15500.0,58726.0,155.0,127.87096774193549,7.741935483870968,12.0
12,23.0,5.0,226.0,0.92,4950.0,10000.0,58726.0,100.0,49.5,6.0,6.0
