,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
2208,5.0,5.0,230.0,0.85,67890.0,56200.0,245.0,562.0,120.80071174377224,10.1423487544484,57.0,64.0
2185,5.0,5.0,214.0,0.9,65340.0,52300.0,245.0,523.0,124.93307839388146,10.51625239005736,55.0,56.0
2206,5.0,5.0,228.0,0.9,60730.0,52200.0,245.0,522.0,116.34099616858238,10.344827586206897,54.0,63.0
2209,5.0,5.0,230.0,0.9,60260.0,50600.0,245.0,506.0,119.0909090909091,9.881422924901186,50.0,64.0
2215,5.0,5.0,234.0,0.9,55270.0,47700.0,245.0,477.0,115.8700209643606,9.643605870020965,46.0,66.0
2218,5.0,5.0,236.0,0.9,54300.0,44000.0,245.0,440.0,123.4090909090909,10.681818181818182,47.0,67.0
2257,5.0,5.0,262.0,0.9,57440.0,49300.0,245.0,493.0,116.51115618661258,10.75050709939148,53.0,80.0
2183,5.0,5.0,212.0,0.92,59180.0,50900.0,245.0,509.0,116.2671905697446,9.62671905697446,49.0,55.0
2186,5.0,5.0,214.0,0.92,62630.0,48400.0,245.0,484.0,129.400826446281,10.743801652892564,52.0,56.0
2207,5.0,5.0,228.0,0.92,57670.0,48900.0,245.0,489.0,117.93456032719835,10.429447852760736,51.0,63.0
2210,5.0,5.0,230.0,0.92,57090.0,46100.0,245.0,461.0,123.83947939262472,10.19522776572668,47.0,64.0
2216,5.0,5.0,234.0,0.92,52570.0,44400.0,245.0,444.0,118.4009009009009,9.90990990990991,44.0,66.0
2219,5.0,5.0,236.0,0.92,51340.0,40600.0,245.0,406.0,126.45320197044336,10.83743842364532,44.0,67.0
3676,8.0,5.0,200.0,0.9,68320.0,56400.0,114.0,564.0,121.13475177304964,6.382978723404255,36.0,49.0
3703,8.0,5.0,218.0,0.9,70300.0,54100.0,114.0,541.0,129.9445471349353,6.469500924214418,35.0,58.0
3757,8.0,5.0,254.0,0.9,68530.0,52200.0,114.0,522.0,131.28352490421454,5.363984674329502,28.0,76.0
3704,8.0,5.0,218.0,0.92,63070.0,49900.0,114.0,499.0,126.39278557114228,6.613226452905812,33.0,58.0
