,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,131590.0,142200.0,340.0,1422.0,92.53867791842475,11.954992967651195,170.0
1,1.0,5.0,102.0,0.9,122760.0,130400.0,340.0,1304.0,94.14110429447852,12.116564417177914,158.0
2,1.0,5.0,102.0,0.92,116590.0,124400.0,340.0,1244.0,93.72186495176848,12.138263665594854,151.0
3,1.0,5.0,104.0,0.85,118550.0,129900.0,340.0,1299.0,91.26250962278675,11.162432640492687,145.0
4,1.0,5.0,104.0,0.9,109640.0,117600.0,340.0,1176.0,93.2312925170068,11.649659863945578,137.0
5,1.0,5.0,104.0,0.92,102240.0,111300.0,340.0,1113.0,91.85983827493261,11.680143755615454,130.0
6,1.0,5.0,106.0,0.85,120440.0,125900.0,340.0,1259.0,95.66322478157268,12.152501985702939,153.0
7,1.0,5.0,106.0,0.9,112100.0,114300.0,340.0,1143.0,98.07524059492565,12.685914260717409,145.0
8,1.0,5.0,106.0,0.92,101830.0,107900.0,340.0,1079.0,94.37442075996293,12.418906394810008,134.0
9,1.0,5.0,108.0,0.85,122460.0,124200.0,340.0,1242.0,98.59903381642512,12.238325281803544,152.0
10,1.0,5.0,108.0,0.9,109990.0,113700.0,340.0,1137.0,96.73702726473175,12.48900615655233,142.0
11,1.0,5.0,108.0,0.92,103570.0,107100.0,340.0,1071.0,96.70401493930906,12.605042016806722,135.0
12,1.0,5.0,110.0,0.85,124370.0,135300.0,340.0,1353.0,91.92165558019217,12.121212121212121,164.0
13,1.0,5.0,110.0,0.9,120420.0,123900.0,340.0,1239.0,97.1912832929782,12.752219531880549,158.0
14,1.0,5.0,110.0,0.92,115890.0,118800.0,340.0,1188.0,97.55050505050505,12.710437710437711,151.0
15,1.0,5.0,112.0,0.85,116620.0,133700.0,340.0,1337.0,87.22513089005236,10.99476439790576,147.0
