,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,5.0,5.0,136.0,0.9,17120.0,31300.0,61071.0,313.0,54.6964856230032,7.667731629392971,24.0
1,7.0,5.0,158.0,0.85,21750.0,24200.0,61071.0,242.0,89.87603305785123,7.43801652892562,18.0
2,10.0,8.0,242.0,0.9,13820.0,12200.0,61071.0,122.0,113.27868852459015,5.737704918032787,7.0
3,14.0,8.0,154.0,0.85,20440.0,32200.0,61071.0,322.0,63.47826086956522,3.7267080745341614,12.0
4,15.0,8.0,260.0,0.92,9070.0,10900.0,61071.0,109.0,83.21100917431193,2.7522935779816518,3.0
5,18.0,5.0,240.0,0.92,9100.0,8800.0,61071.0,88.0,103.40909090909092,9.090909090909092,8.0
6,19.0,8.0,266.0,0.92,12330.0,7700.0,61071.0,77.0,160.1298701298701,5.194805194805195,4.0
7,21.0,8.0,238.0,0.85,20680.0,16600.0,61071.0,166.0,124.57831325301206,10.843373493975903,18.0
8,22.0,8.0,174.0,0.9,18530.0,17700.0,61071.0,177.0,104.68926553672316,8.47457627118644,15.0
9,23.0,8.0,208.0,0.85,14980.0,17300.0,61071.0,173.0,86.58959537572254,9.248554913294797,16.0
10,24.0,5.0,258.0,0.92,13060.0,13600.0,61071.0,136.0,96.02941176470588,7.352941176470589,10.0
