,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,5.0,5.0,136.0,0.9,71380.0,61800.0,208.0,618.0,115.50161812297735,7.766990291262135,48.0
1,7.0,5.0,158.0,0.85,60370.0,49700.0,147.0,497.0,121.46881287726359,6.841046277665996,34.0
2,10.0,8.0,242.0,0.9,32110.0,22300.0,123.0,223.0,143.99103139013454,8.520179372197308,19.0
3,14.0,8.0,154.0,0.85,102220.0,62900.0,93.0,629.0,162.51192368839426,6.359300476947535,40.0
4,15.0,8.0,260.0,0.92,23580.0,18800.0,58.0,188.0,125.42553191489361,5.851063829787234,11.0
5,18.0,5.0,240.0,0.92,29350.0,15400.0,52.0,154.0,190.58441558441558,5.844155844155844,9.0
6,19.0,8.0,266.0,0.92,57140.0,14000.0,56.0,140.0,408.14285714285717,7.857142857142857,11.0
7,21.0,8.0,238.0,0.85,56990.0,36100.0,97.0,361.0,157.86703601108033,6.3711911357340725,23.0
8,22.0,8.0,174.0,0.9,37580.0,30800.0,96.0,308.0,122.01298701298701,8.441558441558442,26.0
9,23.0,8.0,208.0,0.85,61630.0,32700.0,64.0,327.0,188.4709480122324,6.422018348623854,21.0
10,24.0,5.0,258.0,0.92,36350.0,25000.0,38.0,250.0,145.4,5.6000000000000005,14.0
