,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
2068,5.0,5.0,136.0,0.9,71380.0,61800.0,208.0,618.0,115.50161812297736,7.766990291262135,48.0,17.0
3108,7.0,5.0,158.0,0.85,60370.0,49700.0,147.0,497.0,121.4688128772636,6.841046277665996,34.0,28.0
4707,10.0,5.0,216.0,0.85,40410.0,34700.0,123.0,347.0,116.45533141210376,7.780979827089338,27.0,57.0
4758,10.0,5.0,250.0,0.85,43250.0,35200.0,123.0,352.0,122.8693181818182,6.25,22.0,74.0
4693,10.0,5.0,206.0,0.9,36000.0,30800.0,123.0,308.0,116.88311688311688,8.441558441558442,26.0,52.0
4714,10.0,5.0,220.0,0.9,37770.0,31800.0,123.0,318.0,118.77358490566036,8.176100628930817,26.0,59.0
4670,10.0,5.0,190.0,0.92,44730.0,38400.0,123.0,384.0,116.484375,8.072916666666668,31.0,44.0
4715,10.0,5.0,220.0,0.92,33460.0,27400.0,123.0,274.0,122.11678832116787,8.02919708029197,22.0,59.0
4869,10.0,8.0,156.0,0.85,65100.0,56600.0,123.0,566.0,115.01766784452296,7.243816254416961,41.0,27.0
4971,10.0,8.0,224.0,0.85,42440.0,36600.0,123.0,366.0,115.95628415300548,7.650273224043716,28.0,61.0
4995,10.0,8.0,240.0,0.85,42860.0,33900.0,123.0,339.0,126.4306784660767,7.964601769911504,27.0,69.0
4998,10.0,8.0,242.0,0.85,35420.0,29500.0,123.0,295.0,120.06779661016948,7.796610169491526,23.0,70.0
4963,10.0,8.0,218.0,0.9,32220.0,27700.0,123.0,277.0,116.31768953068593,7.581227436823104,21.0,58.0
4996,10.0,8.0,240.0,0.9,34640.0,25700.0,123.0,257.0,134.78599221789884,8.949416342412452,23.0,69.0
4999,10.0,8.0,242.0,0.9,32110.0,22300.0,123.0,223.0,143.99103139013454,8.520179372197308,19.0,70.0
6627,14.0,5.0,152.0,0.85,107510.0,72000.0,93.0,720.0,149.31944444444446,5.972222222222222,43.0,25.0
6630,14.0,5.0,154.0,0.85,90620.0,65500.0,93.0,655.0,138.35114503816794,5.648854961832061,37.0,26.0
6633,14.0,5.0,156.0,0.85,96260.0,72800.0,93.0,728.0,132.22527472527472,5.082417582417582,37.0,27.0
6651,14.0,5.0,168.0,0.85,99580.0,71200.0,93.0,712.0,139.85955056179776,5.477528089887641,39.0,33.0
6654,14.0,5.0,170.0,0.85,75180.0,62400.0,93.0,624.0,120.48076923076924,5.128205128205128,32.0,34.0
6663,14.0,5.0,176.0,0.85,79650.0,56100.0,93.0,561.0,141.97860962566844,6.0606060606060606,34.0,37.0
6669,14.0,5.0,180.0,0.85,58580.0,48500.0,93.0,485.0,120.7835051546392,5.154639175257731,25.0,39.0
6693,14.0,5.0,196.0,0.85,61330.0,43700.0,93.0,437.0,140.3432494279176,5.491990846681922,24.0,47.0
