,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
0,5.0,5.0,136.0,0.9,71380.0,61800.0,208.0,618.0,115.50161812297736,7.766990291262135,48.0,,,,17.0
1,7.0,5.0,158.0,0.85,60370.0,49700.0,147.0,497.0,121.4688128772636,6.841046277665996,34.0,,,,28.0
14,10.0,8.0,242.0,0.9,32110.0,22300.0,123.0,223.0,143.99103139013454,8.520179372197308,19.0,-1.266783596638798,2.6615799463036915,1.3947963496648936,70.0
85,14.0,8.0,154.0,0.85,102220.0,62900.0,93.0,629.0,162.51192368839426,6.359300476947535,40.0,2.053980202775863,2.196390711130285,4.250370913906147,26.0
144,15.0,8.0,260.0,0.92,23580.0,18800.0,58.0,188.0,125.4255319148936,5.851063829787234,11.0,1.224744871391589,1.1917906444648487,2.4165355158564377,79.0
145,18.0,5.0,240.0,0.92,29350.0,15400.0,52.0,154.0,190.5844155844156,5.844155844155844,9.0,0.5773502691896258,1.5408783711098588,2.1182286402994848,69.0
187,19.0,8.0,266.0,0.92,57140.0,14000.0,56.0,140.0,408.1428571428572,7.857142857142857,11.0,-0.028542318600985397,4.189066943498919,4.160524624897934,82.0
189,21.0,8.0,238.0,0.85,56990.0,36100.0,97.0,361.0,157.86703601108033,6.3711911357340725,23.0,,0.9999999999999983,,68.0
190,22.0,8.0,174.0,0.9,37580.0,30800.0,96.0,308.0,122.012987012987,8.441558441558442,26.0,1.3887301496588271,0.1089201163132922,1.4976502659721194,36.0
229,23.0,8.0,208.0,0.85,61630.0,32700.0,64.0,327.0,188.4709480122324,6.422018348623854,21.0,1.5397008206653298,2.3963952941910085,3.9360961148563383,53.0
258,24.0,5.0,258.0,0.92,36350.0,25000.0,38.0,250.0,145.4,5.6000000000000005,14.0,,,,78.0
