,racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
0,2014.0,2,1,68.0,0.265,0.16
1,2380.0,3,1,65.0,0.382,0.16
2,2504.0,1,1,64.0,0.162,0.23
3,2505.0,1,1,64.0,0.083,0.24
4,2528.0,2,1,67.0,0.244,0.19
5,2538.0,2,1,66.0,0.171,0.20
6,2568.0,2,1,66.0,0.172,0.19
7,2585.0,2,1,63.0,0.268,0.19
8,2596.0,2,1,67.0,0.160,0.18
9,2698.0,2,1,61.0,0.166,0.20
10,2757.0,1,1,63.0,0.102,0.19
11,2776.0,2,1,62.0,0.116,0.20
12,2781.0,1,1,61.0,0.071,0.20
13,2785.0,2,1,61.0,0.304,0.18
14,2787.0,2,1,60.0,0.317,0.16
15,2816.0,2,1,62.0,0.314,0.21
16,2820.0,1,1,62.0,0.000,0.00
17,2823.0,2,1,62.0,0.172,0.21
18,2838.0,2,1,59.0,0.155,0.18
19,2841.0,2,1,59.0,0.307,0.19
20,2842.0,2,1,59.0,0.210,0.18
21,2843.0,1,1,58.0,0.040,0.21
22,2844.0,2,1,58.0,0.327,0.19
23,2850.0,1,1,63.0,0.111,0.22
24,2871.0,1,1,59.0,0.066,0.18
25,2876.0,3,1,58.0,0.428,0.19
26,2878.0,4,1,57.0,0.467,0.18
27,2883.0,2,1,62.0,0.220,0.20
28,2887.0,2,1,60.0,0.252,0.19
29,2903.0,2,1,56.0,0.339,0.19
30,2904.0,2,1,56.0,0.178,0.20
31,2907.0,2,1,61.0,0.155,0.19
32,2910.0,2,1,60.0,0.202,0.19
33,2912.0,2,1,60.0,0.285,0.19
34,2914.0,3,1,58.0,0.426,0.15
35,2930.0,4,1,59.0,0.456,0.19
36,2935.0,2,1,57.0,0.154,0.19
37,2941.0,2,1,55.0,0.217,0.18
38,2942.0,3,1,55.0,0.461,0.11
39,2958.0,2,1,58.0,0.320,0.18
40,2959.0,2,1,57.0,0.241,0.20
41,2969.0,2,1,59.0,0.180,0.19
42,2974.0,2,1,58.0,0.202,0.16
43,2983.0,3,0,56.0,0.352,0.18
44,2992.0,4,1,54.0,0.479,0.14
45,2994.0,2,1,54.0,0.176,0.21
46,2995.0,2,0,54.0,0.173,0.24
47,2997.0,2,1,53.0,0.222,0.23
48,3005.0,2,1,58.0,0.269,0.21
49,3006.0,2,1,58.0,0.128,0.21
50,3010.0,4,1,57.0,0.602,0.15
51,3013.0,2,1,57.0,0.295,0.21
52,3020.0,2,1,55.0,0.298,0.23
53,3022.0,4,1,55.0,0.554,0.16
54,3024.0,4,1,54.0,0.696,0.18
55,3025.0,2,1,53.0,0.211,0.21
56,3036.0,1,1,57.0,0.190,0.14
57,3051.0,2,1,53.0,0.293,0.17
58,3052.0,2,1,53.0,0.218,0.22
59,3054.0,4,1,52.0,0.496,0.15
60,3056.0,2,1,59.0,0.413,0.17
61,3058.0,2,1,58.0,0.219,0.18
62,3064.0,3,1,56.0,0.418,0.17
63,3065.0,2,1,56.0,0.123,0.23
64,3066.0,2,1,55.0,0.228,0.21
65,3070.0,4,1,54.0,0.475,0.17
66,3072.0,2,1,54.0,0.347,0.17
67,3073.0,2,1,53.0,0.229,0.17
68,3075.0,3,1,53.0,0.433,0.16
69,3076.0,1,0,53.0,0.081,0.19
70,3079.0,3,1,52.0,0.422,0.19
71,3081.0,3,1,52.0,0.425,0.16
72,3083.0,1,0,56.0,0.040,0.26
73,3085.0,2,1,55.0,0.226,0.20
74,3090.0,2,1,54.0,0.170,0.21
75,3092.0,1,0,54.0,0.122,0.22
76,3094.0,1,0,53.0,0.066,0.19
77,3095.0,2,1,53.0,0.213,0.19
78,3100.0,1,0,52.0,0.145,0.16
79,3103.0,2,1,52.0,0.301,0.15
80,3104.0,1,1,52.0,0.037,0.20
81,3105.0,2,1,52.0,0.285,0.18
82,3107.0,3,1,52.0,0.398,0.20
83,3108.0,2,1,52.0,0.169,0.17
84,3117.0,2,0,54.0,0.137,0.24
85,3120.0,2,1,54.0,0.129,0.19
86,3121.0,3,1,54.0,0.380,0.18
87,3122.0,2,1,54.0,0.250,0.18
88,3123.0,2,1,53.0,0.229,0.19
89,3128.0,2,0,52.0,0.185,0.18
90,3135.0,2,1,57.0,0.321,0.19
91,3136.0,2,1,56.0,0.135,0.18
92,3137.0,2,1,55.0,0.141,0.20
93,3138.0,2,1,55.0,0.144,0.23
94,3139.0,2,0,55.0,0.105,0.21
95,3141.0,2,1,54.0,0.330,0.19
96,3142.0,2,0,53.0,0.183,0.19
97,3151.0,3,1,51.0,0.398,0.15
98,3153.0,2,1,51.0,0.305,0.22
99,3156.0,4,1,51.0,0.536,0.15
100,3158.0,3,1,50.0,0.457,0.15
101,3159.0,4,1,50.0,0.553,0.15
102,3161.0,3,1,55.0,0.313,0.19
103,3164.0,3,1,54.0,0.408,0.19
104,3166.0,2,1,54.0,0.133,0.18
105,3169.0,2,0,53.0,0.163,0.23
106,3170.0,2,1,52.0,0.233,0.22
107,3171.0,2,1,52.0,0.123,0.18
108,3174.0,2,1,52.0,0.217,0.18
109,3175.0,3,0,52.0,0.311,0.16
110,3176.0,3,1,51.0,0.369,0.16
111,3177.0,2,0,51.0,0.172,0.21
112,3181.0,2,1,51.0,0.110,0.20
113,3182.0,2,0,50.0,0.261,0.17
114,3186.0,2,1,55.0,0.236,0.20
115,3187.0,2,1,54.0,0.257,0.19
116,3188.0,4,0,54.0,0.535,0.18
117,3189.0,2,1,53.0,0.115,0.22
118,3190.0,2,1,53.0,0.156,0.19
119,3191.0,1,1,53.0,0.016,0.32
120,3195.0,1,0,52.0,0.041,0.21
121,3200.0,4,1,50.0,0.558,0.15
122,3202.0,2,1,50.0,0.303,0.18
123,3207.0,2,0,50.0,0.228,0.17
124,3211.0,2,1,53.0,0.262,0.17
125,3212.0,4,1,53.0,0.452,0.17
126,3214.0,2,1,53.0,0.195,0.19
127,3220.0,3,1,51.0,0.373,0.18
128,3224.0,2,1,50.0,0.284,0.19
129,3225.0,2,0,50.0,0.138,0.26
130,3226.0,2,1,50.0,0.241,0.20
131,3227.0,4,1,50.0,0.480,0.16
132,3228.0,2,1,50.0,0.165,0.22
133,3231.0,3,1,49.0,0.346,0.17
134,3232.0,4,0,49.0,0.526,0.16
135,3233.0,3,1,48.0,0.386,0.17
136,3234.0,2,1,48.0,0.207,0.18
137,3235.0,2,1,53.0,0.214,0.18
138,3236.0,2,1,53.0,0.250,0.18
139,3243.0,1,1,51.0,0.000,0.00
140,3245.0,3,1,51.0,0.411,0.16
141,3246.0,3,1,51.0,0.339,0.16
142,3251.0,4,1,49.0,0.438,0.18
143,3254.0,2,0,48.0,0.162,0.24
144,3256.0,4,1,48.0,0.620,0.13
145,3257.0,4,1,48.0,0.663,0.14
146,3261.0,2,1,52.0,0.242,0.20
147,3265.0,4,1,50.0,0.533,0.16
148,3268.0,3,1,50.0,0.340,0.19
149,3269.0,2,1,50.0,0.144,0.19
150,3273.0,2,1,50.0,0.294,0.17
151,3276.0,2,1,49.0,0.206,0.22
152,3277.0,2,1,49.0,0.300,0.17
153,3278.0,4,1,49.0,0.474,0.16
154,3280.0,3,0,48.0,0.407,0.19
155,3281.0,2,1,48.0,0.153,0.23
156,3282.0,3,1,48.0,0.400,0.22
157,3283.0,2,1,48.0,0.255,0.17
158,3284.0,4,1,48.0,0.476,0.19
159,3286.0,2,1,47.0,0.313,0.18
160,3289.0,3,0,52.0,0.401,0.17
161,3290.0,4,1,52.0,0.451,0.15
162,3291.0,2,1,51.0,0.126,0.22
163,3293.0,2,1,50.0,0.229,0.20
164,3294.0,2,1,50.0,0.327,0.15
165,3295.0,4,1,49.0,0.511,0.16
166,3296.0,2,1,48.0,0.140,0.21
167,3297.0,4,1,48.0,0.468,0.18
168,3298.0,2,0,48.0,0.198,0.19
169,3299.0,2,0,48.0,0.183,0.22
170,3300.0,4,1,48.0,0.582,0.14
171,3302.0,4,0,48.0,0.520,0.18
172,3303.0,3,1,48.0,0.313,0.18
173,3304.0,3,1,48.0,0.386,0.16
174,3305.0,3,1,48.0,0.398,0.18
175,3306.0,2,1,47.0,0.186,0.18
176,3307.0,1,1,47.0,0.000,0.00
177,3309.0,2,1,52.0,0.202,0.20
178,3310.0,2,1,51.0,0.122,0.20
179,3312.0,4,1,50.0,0.484,0.18
180,3313.0,2,1,50.0,0.320,0.17
181,3315.0,2,1,50.0,0.118,0.28
182,3317.0,2,0,49.0,0.233,0.19
183,3319.0,3,1,48.0,0.353,0.17
184,3324.0,1,0,48.0,0.083,0.21
185,3325.0,2,1,48.0,0.222,0.20
186,3326.0,4,1,48.0,0.485,0.17
187,3327.0,4,1,48.0,0.383,0.16
188,3328.0,2,0,48.0,0.129,0.19
189,3329.0,4,1,48.0,0.494,0.14
190,3331.0,3,1,47.0,0.436,0.17
191,3333.0,4,1,47.0,0.493,0.16
192,3334.0,3,0,47.0,0.386,0.19
193,3335.0,2,1,46.0,0.159,0.20
194,3336.0,2,1,51.0,0.311,0.18
195,3338.0,3,1,50.0,0.344,0.17
196,3339.0,2,1,50.0,0.258,0.17
197,3340.0,2,1,50.0,0.211,0.22
198,3342.0,2,1,50.0,0.159,0.19
199,3343.0,3,1,50.0,0.384,0.18
200,3344.0,2,1,49.0,0.196,0.17
201,3346.0,3,1,49.0,0.363,0.16
202,3347.0,4,1,48.0,0.442,0.20
203,3349.0,4,1,47.0,0.496,0.15
204,3350.0,2,1,47.0,0.293,0.17
205,3352.0,2,1,47.0,0.261,0.14
206,3353.0,3,1,47.0,0.430,0.17
207,3355.0,2,0,47.0,0.171,0.26
208,3357.0,3,0,47.0,0.344,0.21
209,3358.0,2,1,46.0,0.222,0.23
210,3360.0,3,1,46.0,0.439,0.20
211,3361.0,2,1,46.0,0.271,0.17
212,3362.0,3,1,46.0,0.463,0.18
213,3363.0,1,1,51.0,0.224,0.18
214,3365.0,2,1,50.0,0.200,0.18
215,3370.0,2,1,49.0,0.156,0.17
216,3372.0,2,1,49.0,0.241,0.18
217,3373.0,2,1,48.0,0.222,0.19
218,3374.0,2,1,48.0,0.142,0.19
219,3376.0,2,1,48.0,0.125,0.24
220,3377.0,2,1,48.0,0.280,0.21
221,3378.0,2,1,47.0,0.144,0.24
222,3379.0,4,1,47.0,0.466,0.17
223,3381.0,3,1,47.0,0.425,0.15
224,3382.0,3,1,47.0,0.394,0.17
225,3385.0,3,1,46.0,0.403,0.18
226,3388.0,4,1,46.0,0.587,0.15
227,3391.0,3,1,50.0,0.453,0.16
228,3392.0,2,1,50.0,0.218,0.23
229,3393.0,2,1,50.0,0.174,0.20
230,3396.0,1,1,49.0,0.187,0.20
231,3397.0,2,1,49.0,0.142,0.20
232,3398.0,2,1,48.0,0.218,0.20
233,3400.0,2,1,48.0,0.320,0.18
234,3401.0,3,1,48.0,0.363,0.17
235,3404.0,2,1,48.0,0.121,0.18
236,3406.0,4,1,47.0,0.459,0.17
237,3407.0,2,1,47.0,0.205,0.20
238,3408.0,2,1,46.0,0.136,0.20
239,3409.0,2,1,46.0,0.255,0.18
240,3411.0,2,1,46.0,0.278,0.17
241,3412.0,4,1,46.0,0.510,0.17
242,3414.0,4,1,46.0,0.487,0.16
243,3415.0,4,1,46.0,0.596,0.14
244,3417.0,2,1,46.0,0.185,0.15
245,3419.0,2,1,46.0,0.285,0.21
246,3422.0,4,1,44.0,0.395,0.16
247,3424.0,2,1,49.0,0.187,0.17
248,3425.0,2,1,49.0,0.135,0.21
249,3426.0,1,1,49.0,0.102,0.21
250,3427.0,4,1,48.0,0.504,0.18
251,3430.0,2,1,47.0,0.296,0.16
252,3432.0,3,1,47.0,0.381,0.14
253,3433.0,2,1,47.0,0.127,0.22
254,3434.0,2,1,46.0,0.344,0.17
255,3435.0,4,0,46.0,0.597,0.15
256,3436.0,4,1,46.0,0.424,0.13
257,3439.0,4,1,46.0,0.481,0.15
258,3440.0,1,1,46.0,0.666,0.16
259,3441.0,3,1,46.0,0.428,0.18
260,3442.0,3,1,46.0,0.443,0.17
261,3443.0,3,1,46.0,0.421,0.21
262,3444.0,2,1,46.0,0.215,0.16
263,3445.0,4,1,46.0,0.464,0.18
264,3446.0,2,0,46.0,0.181,0.21
265,3448.0,2,1,45.0,0.333,0.16
266,3452.0,3,1,45.0,0.432,0.15
267,3454.0,3,1,44.0,0.407,0.17
268,3455.0,2,1,44.0,0.341,0.20
269,3456.0,2,1,44.0,0.132,0.20
270,3458.0,2,1,49.0,0.276,0.17
271,3459.0,2,1,48.0,0.197,0.17
272,3460.0,2,1,48.0,0.194,0.17
273,3461.0,2,1,48.0,0.250,0.17
274,3462.0,4,1,48.0,0.492,0.17
275,3463.0,3,1,48.0,0.425,0.19
276,3465.0,2,1,48.0,0.170,0.23
277,3466.0,1,1,47.0,0.108,0.20
278,3467.0,2,1,47.0,0.306,0.19
279,3469.0,2,0,46.0,0.155,0.22
280,3470.0,3,0,46.0,0.404,0.18
281,3471.0,2,1,45.0,0.229,0.20
282,3472.0,2,1,45.0,0.131,0.21
283,3473.0,4,1,45.0,0.466,0.16
284,3474.0,3,0,45.0,0.360,0.18
285,3475.0,4,1,45.0,0.459,0.16
286,3476.0,2,1,45.0,0.103,0.25
287,3477.0,2,1,45.0,0.259,0.18
288,3478.0,2,1,45.0,0.279,0.18
289,3480.0,2,1,45.0,0.116,0.18
290,3482.0,3,1,44.0,0.336,0.17
291,3483.0,2,0,44.0,0.151,0.25
292,3484.0,4,1,44.0,0.534,0.17
293,3485.0,3,1,44.0,0.375,0.19
294,3486.0,2,0,49.0,0.315,0.22
295,3488.0,3,1,48.0,0.423,0.15
296,3489.0,4,1,48.0,0.561,0.16
297,3491.0,2,1,48.0,0.152,0.21
298,3492.0,2,1,48.0,0.169,0.21
299,3493.0,2,1,47.0,0.323,0.20
300,3494.0,1,1,47.0,0.081,0.21
301,3496.0,2,1,47.0,0.285,0.17
302,3497.0,4,1,47.0,0.476,0.18
303,3498.0,2,1,47.0,0.288,0.16
304,3499.0,4,1,47.0,0.452,0.15
305,3501.0,4,1,46.0,0.474,0.15
306,3502.0,4,1,46.0,0.493,0.18
307,3503.0,2,1,46.0,0.151,0.16
308,3505.0,4,1,44.0,0.510,0.15
309,3506.0,2,1,44.0,0.204,0.23
310,3507.0,2,1,44.0,0.240,0.17
311,3508.0,2,1,44.0,0.257,0.19
312,3509.0,2,0,44.0,0.250,0.17
313,3514.0,3,1,48.0,0.500,0.16
314,3516.0,3,1,48.0,0.369,0.17
315,3517.0,4,1,48.0,0.663,0.15
316,3518.0,3,0,47.0,0.361,0.18
317,3519.0,3,1,47.0,0.320,0.18
318,3521.0,2,1,47.0,0.134,0.18
