racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
2014,2,1,70,0.195,0.16
2538,2,1,68,0.243,0.18
2568,2,1,68,0.156,0.19
2698,2,1,63,0.219,0.21
2785,2,1,63,0.204,0.19
2787,2,1,62,0.297,0.16
2816,2,1,64,0.262,0.22
2820,1,1,64,0.000,0.00
2841,2,1,61,0.299,0.18
2844,2,1,60,0.281,0.18
2876,3,1,60,0.448,0.18
2878,3,1,59,0.365,0.19
2883,2,1,64,0.129,0.21
2903,2,1,58,0.364,0.20
2907,2,1,63,0.104,0.20
2910,2,1,62,0.208,0.18
2912,2,1,62,0.333,0.20
2930,4,1,61,0.471,0.18
2935,2,1,59,0.089,0.21
2941,2,1,57,0.163,0.18
2942,3,1,57,0.388,0.12
2958,2,1,60,0.250,0.20
2969,2,1,61,0.187,0.19
2983,2,0,58,0.229,0.17
2992,4,1,56,0.433,0.13
2995,2,0,56,0.104,0.22
3005,2,1,60,0.204,0.19
3006,2,1,60,0.166,0.21
3010,4,1,59,0.598,0.15
3020,2,1,57,0.220,0.21
3022,4,1,57,0.496,0.16
3024,4,1,56,0.439,0.17
3025,2,1,55,0.253,0.23
3036,2,1,59,0.255,0.16
3044,1,1,57,0.000,0.00
3051,2,1,55,0.170,0.19
3052,2,1,55,0.157,0.19
3054,3,1,54,0.377,0.15
3058,2,1,60,0.210,0.18
3064,1,1,58,0.265,0.17
3065,2,1,58,0.207,0.21
3066,2,1,57,0.245,0.19
3070,4,1,56,0.580,0.15
3072,3,1,56,0.447,0.16
3073,2,1,55,0.241,0.18
3075,3,1,55,0.439,0.15
3079,2,1,54,0.295,0.19
3081,2,1,54,0.301,0.20
3085,2,1,57,0.186,0.19
3090,2,1,56,0.112,0.19
3105,2,1,54,0.271,0.18
3107,2,1,54,0.327,0.19
3108,2,1,54,0.132,0.18
3117,2,0,56,0.190,0.22
3122,2,1,56,0.217,0.19
3123,2,1,55,0.226,0.20
3128,2,0,54,0.204,0.19
3135,2,1,59,0.191,0.18
3136,2,1,58,0.135,0.17
3137,2,1,57,0.191,0.17
3138,2,1,57,0.148,0.22
3141,2,1,56,0.203,0.19
3142,2,0,55,0.225,0.18
3151,2,1,53,0.301,0.17
3153,2,1,53,0.207,0.23
3156,3,1,53,0.416,0.16
3158,4,1,52,0.496,0.14
3159,4,1,52,0.524,0.14
3161,3,1,57,0.330,0.18
3164,2,1,56,0.338,0.18
3170,2,1,54,0.234,0.21
3171,2,1,54,0.089,0.19
3174,2,1,54,0.217,0.20
3175,3,0,54,0.371,0.18
3176,2,1,53,0.290,0.18
3177,2,0,53,0.223,0.21
3182,2,0,52,0.149,0.20
3186,2,1,57,0.270,0.22
3187,3,1,56,0.377,0.18
3188,4,0,56,0.455,0.18
3189,2,1,55,0.110,0.19
3200,4,1,52,0.587,0.14
3202,2,1,52,0.142,0.18
3207,1,0,52,0.232,0.20
3211,3,1,55,0.407,0.15
3212,3,1,55,0.418,0.17
3214,2,1,55,0.156,0.20
3220,2,1,53,0.258,0.18
3224,3,1,52,0.357,0.18
3225,2,0,52,0.150,0.24
3226,2,1,52,0.295,0.19
3227,2,1,52,0.381,0.17
3231,3,1,51,0.415,0.17
3232,4,0,51,0.469,0.15
3233,3,1,50,0.365,0.16
3234,2,1,50,0.192,0.17
3235,2,1,55,0.237,0.20
3236,2,1,55,0.252,0.18
3243,1,1,53,0.000,0.00
3245,2,1,53,0.211,0.18
3246,2,1,53,0.195,0.18
3251,4,1,51,0.458,0.15
3254,2,0,50,0.189,0.22
3256,4,1,50,0.489,0.14
3257,4,1,50,0.564,0.15
3261,2,1,54,0.230,0.18
3265,3,1,52,0.561,0.16
3268,3,1,52,0.409,0.17
3273,2,1,52,0.345,0.16
3276,2,1,51,0.236,0.20
3277,2,1,51,0.202,0.16
3278,3,1,51,0.453,0.16
3280,2,0,50,0.313,0.18
3281,2,1,50,0.127,0.22
3282,3,1,50,0.405,0.19
3283,2,1,50,0.256,0.18
3284,4,1,50,0.570,0.18
3286,3,1,49,0.354,0.17
3289,3,0,54,0.371,0.17
3290,4,1,54,0.581,0.13
